Start Time,Frequency,Node Name,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575690061063,2500.006,169.254.195.197,6a:ab:4d:14:9a:11,90.00B,90.00B,4.76064682006836e-06,4.473733901977539e-06,-2.869129180908208e-07
1575690061057,2500.012,169.254.110.5,4e:ee:ed:ea:0e:db,90.00B,90.00B,4.423666000366211e-06,4.40511703491211e-06,-1.854896545410153e-08
1575690061074,2500.002,169.254.224.61,0a:cc:87:2c:42:9a,90.00B,90.00B,4.261493682861328e-06,4.52723503112793e-06,2.6574134826660226e-07
1575690061051,2500.01,169.254.35.37,a6:ab:b2:bc:e2:63,90.00B,90.00B,4.746723175048828e-06,4.382801055908203e-06,-3.6392211914062473e-07
1575690061049,2500.008,169.254.130.245,7a:bb:bc:39:3c:ac,90.00B,90.00B,4.494524002075196e-06,4.362010955810547e-06,-1.3251304626464877e-07
1575690061109,2500.002,169.254.22.5,b2:5c:2f:65:92:64,90.00B,90.00B,4.240798950195312e-06,4.057693481445313e-06,-1.8310546874999932e-07
1575690061064,2500.012,169.254.207.149,7e:d2:e5:8d:82:10,176.00B,90.00B,5.049991607666016e-06,4.5833587646484375e-06,-4.666328430175782e-07
1575690061056,2500.012,169.254.110.53,f6:bb:d2:e2:2b:92,90.00B,90.00B,4.4549942016601565e-06,4.589557647705078e-06,1.3456344604492167e-07
1575690061066,2500.012,169.254.25.93,9e:05:f1:73:f1:58,90.00B,176.00B,4.566287994384766e-06,4.384708404541015e-06,-1.8157958984375033e-07
1575690061056,2500.012,169.254.187.181,72:44:83:01:3a:5b,90.00B,90.00B,4.3292999267578126e-06,4.073429107666016e-06,-2.5587081909179686e-07
1575690061071,2500.01,169.254.155.253,1e:71:fe:9e:ac:44,90.00B,90.00B,4.3892383575439455e-06,4.201650619506836e-06,-1.8758773803710926e-07
1575690061101,2500.01,169.254.44.53,2e:16:cf:f9:5b:a5,90.00B,90.00B,4.175233840942383e-06,4.234981536865234e-06,5.974769592285123e-08
1575690061063,2500.01,169.254.57.141,fa:67:30:c2:90:cf,90.00B,90.00B,4.534006118774414e-06,4.291009902954102e-06,-2.42996215820312e-07
1575690061049,2500.008,169.254.70.173,ba:0d:cd:cc:ac:d5,90.00B,90.00B,4.727935791015625e-06,4.318094253540039e-06,-4.098415374755862e-07
1575690061060,2500.0,169.254.68.205,e6:9e:bc:16:8d:55,90.00B,90.00B,4.2943000793457035e-06,4.307317733764648e-06,1.301765441894462e-08
1575690061134,2500.008,169.254.74.21,46:11:ed:39:e7:bb,176.00B,90.00B,4.244089126586914e-06,4.116201400756836e-06,-1.2788772583007738e-07
1575690061080,2500.006,169.254.195.213,92:7d:11:63:3c:d3,90.00B,90.00B,4.5909881591796876e-06,4.320144653320313e-06,-2.708435058593748e-07
1575690061103,2500.008,169.254.73.245,36:44:4d:7a:cf:0a,90.00B,90.00B,4.294681549072266e-06,4.087257385253906e-06,-2.074241638183596e-07
1575690061090,2500.002,169.254.139.205,7a:f7:2c:fd:cd:12,180.00B,90.00B,4.3011665344238285e-06,4.110240936279297e-06,-1.9092559814453182e-07
1575690061151,2500.002,169.254.102.157,c2:c4:9d:ff:32:c6,90.00B,90.00B,4.410076141357422e-06,4.381036758422851e-06,-2.9039382934570397e-08
1575690061121,2500.012,169.254.207.165,aa:a3:13:f9:f7:62,90.00B,90.00B,4.296684265136719e-06,4.202747344970703e-06,-9.393692016601523e-08
1575690061071,2500.01,169.254.193.221,f2:93:b5:94:45:cb,90.00B,180.00B,4.333066940307617e-06,4.678964614868164e-06,3.458976745605471e-07
1575690061047,2500.002,169.254.53.77,7e:2c:e5:84:9f:c3,90.00B,90.00B,4.542922973632813e-06,4.541826248168946e-06,-1.0967254638671726e-09
1575690061095,2500.01,169.254.35.69,6e:2c:46:cc:52:2c,90.00B,90.00B,4.799699783325195e-06,4.466962814331055e-06,-3.327369689941402e-07
1575690061057,2500.012,169.254.237.21,fe:60:34:f1:31:50,90.00B,90.00B,4.231548309326172e-06,4.328441619873047e-06,9.689331054687534e-08
1575690061097,2500.002,169.254.155.109,b2:15:f1:05:44:5c,90.00B,90.00B,4.372024536132812e-06,4.479360580444336e-06,1.07336044311524e-07
1575690061085,2500.012,169.254.176.221,5e:80:d0:7e:de:7e,176.00B,180.00B,4.457330703735351e-06,4.514455795288086e-06,5.7125091552734225e-08
1575690061103,2500.008,169.254.129.45,8e:d3:d5:23:08:1f,90.00B,90.00B,4.2493343353271485e-06,4.043865203857422e-06,-2.0546913146972627e-07
1575690061059,2500.008,169.254.38.45,16:2f:f1:08:96:6b,90.00B,180.00B,4.2566776275634765e-06,4.219961166381836e-06,-3.6716461181640605e-08
