GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-13-23-50-63,1,63,acc229c8-0061-4118-bce1-ed0c2cf2eee0,2020-09-14 06:50:13,1,63,out/09-13-23-50/log,out/09-13-23-50/base_samples63,0,out/09-13-23-50/bit0_samples63,,0.729430917467949,F6:00:B3:25:46:58,2020-09-14 06:51:03,a2f926fe-a3ec-4f57-b3ef-1a55205e5dfd,out/09-13-23-50/bit1_samples63,09-13-23-47-69,Yes
09-13-23-50-79,1,79,e65bc552-c866-4a2b-b757-b4e14bcf20e6,2020-09-14 06:50:13,1,79,out/09-13-23-50/log,out/09-13-23-50/base_samples79,0,out/09-13-23-50/bit0_samples79,,0.813472059353184,A2:29:49:6D:DD:70,2020-09-14 06:51:03,92b3b5bc-0f2d-40ba-84c9-5c8d2d8eb02a,out/09-13-23-50/bit1_samples79,09-13-23-47-3,Yes
09-13-23-50-24,1,24,663db57b-3451-4898-8985-e4fd37f7a0d5,2020-09-14 06:50:13,1,24,out/09-13-23-50/log,out/09-13-23-50/base_samples24,0,out/09-13-23-50/bit0_samples24,,0.402246146576269,3A:B4:EB:55:D4:AE,2020-09-14 06:51:03,3b53c3b4-bb4c-472f-aaf8-a1cf55e1df38,out/09-13-23-50/bit1_samples24,09-13-23-47-20,Yes
09-13-23-50-28,1,28,20d746ff-7a98-4396-a0a2-6c72791bd97f,2020-09-14 06:50:13,1,28,out/09-13-23-50/log,out/09-13-23-50/base_samples28,0,out/09-13-23-50/bit0_samples28,,0.701239168391201,76:95:13:94:0A:BB,2020-09-14 06:51:03,b9fbfdfc-16c8-4d0e-8722-a1e6b27e5ebe,out/09-13-23-50/bit1_samples28,09-13-23-47-9,Yes
09-13-23-50-48,1,48,5003dc9f-226b-4607-9ca9-ab3a4ce3f0a4,2020-09-14 06:50:13,1,48,out/09-13-23-50/log,out/09-13-23-50/base_samples48,0,out/09-13-23-50/bit0_samples48,,0.0616884818636923,22:BE:9E:66:2A:11,2020-09-14 06:51:03,af1ada14-d958-41e8-bd87-07ee7ff121a5,out/09-13-23-50/bit1_samples48,09-13-23-47-54,Yes
09-13-23-50-83,1,83,a490750e-8603-494d-902a-0a7619121d41,2020-09-14 06:50:13,1,83,out/09-13-23-50/log,out/09-13-23-50/base_samples83,0,out/09-13-23-50/bit0_samples83,,0.31288786086053,FA:6D:10:74:6B:CB,2020-09-14 06:51:03,e13039a0-bf25-4c27-8be4-321d79b9165e,out/09-13-23-50/bit1_samples83,09-13-23-47-27,Yes
09-13-23-50-13,1,13,d8cda611-8a81-4308-873c-1a891610976b,2020-09-14 06:50:13,1,13,out/09-13-23-50/log,out/09-13-23-50/base_samples13,0,out/09-13-23-50/bit0_samples13,,0.0508535406097653,3A:44:CF:D5:19:56,2020-09-14 06:51:03,801bdde9-e248-490a-9245-b9a0844cd728,out/09-13-23-50/bit1_samples13,09-13-23-47-6,Yes
09-13-23-50-68,1,68,fa22e407-9869-464d-aebd-0e2fdbc10705,2020-09-14 06:50:13,1,68,out/09-13-23-50/log,out/09-13-23-50/base_samples68,0,out/09-13-23-50/bit0_samples68,,0.462194433025859,E2:40:CF:11:37:06,2020-09-14 06:51:03,c46f7275-7ac3-42dd-ba5b-e9628cadae42,out/09-13-23-50/bit1_samples68,09-13-23-47-65,Yes
09-13-23-50-74,1,74,19de63be-47ef-422d-a2b2-d8e0fd2dcc42,2020-09-14 06:50:13,1,74,out/09-13-23-50/log,out/09-13-23-50/base_samples74,0,out/09-13-23-50/bit0_samples74,,0.483326868193662,9E:2C:8E:12:75:02,2020-09-14 06:51:03,0f66430d-adec-412c-a407-3833e36fa802,out/09-13-23-50/bit1_samples74,09-13-23-47-48,Yes
09-13-23-50-7,1,7,65ddc494-d7d0-41ec-9a9c-0a93afe4385f,2020-09-14 06:50:13,1,7,out/09-13-23-50/log,out/09-13-23-50/base_samples7,0,out/09-13-23-50/bit0_samples7,,0.709310426522977,B2:EF:05:3E:A0:55,2020-09-14 06:51:03,a23f2d0f-7ee0-453e-9f7a-ecef7893be3b,out/09-13-23-50/bit1_samples7,09-13-23-47-64,Yes
09-13-23-50-38,1,38,688cd493-da67-4d09-8f6e-0163da4da6c7,2020-09-14 06:50:13,1,38,out/09-13-23-50/log,out/09-13-23-50/base_samples38,0,out/09-13-23-50/bit0_samples38,,0.777609857107317,CE:06:65:A2:14:C5,2020-09-14 06:51:03,be4e25b2-5790-46b7-a908-7a6c77710cbe,out/09-13-23-50/bit1_samples38,09-13-23-47-86,Yes
09-13-23-50-32,1,32,69b4ade2-0920-49dc-91d0-68180d0176c4,2020-09-14 06:50:13,1,32,out/09-13-23-50/log,out/09-13-23-50/base_samples32,0,out/09-13-23-50/bit0_samples32,,0.416372387297541,32:D2:21:1F:3F:01,2020-09-14 06:51:03,48e66d55-dcc8-4318-82ab-e88c6ab33433,out/09-13-23-50/bit1_samples32,09-13-23-47-23,Yes
09-13-23-50-17,1,17,c0af2c0b-9b25-489c-b3e7-75296e5deecc,2020-09-14 06:50:13,1,17,out/09-13-23-50/log,out/09-13-23-50/base_samples17,0,out/09-13-23-50/bit0_samples17,,0.00124402511166212,12:E3:02:32:07:5C,2020-09-14 06:51:03,0c09b5ed-2e40-4d51-80b6-ca1d3d09e44b,out/09-13-23-50/bit1_samples17,09-13-23-47-36,Yes
09-13-23-50-46,1,46,f82dc264-2476-47eb-bc43-100973e4b783,2020-09-14 06:50:13,1,46,out/09-13-23-50/log,out/09-13-23-50/base_samples46,0,out/09-13-23-50/bit0_samples46,,0.329687492736536,8A:38:50:25:D7:EC,2020-09-14 06:51:03,26dfaf29-36db-490e-b2c4-31fbbd077964,out/09-13-23-50/bit1_samples46,09-13-23-47-77,Yes
09-13-23-50-52,1,52,2125732d-359e-4faf-b593-8aa220391246,2020-09-14 06:50:13,1,52,out/09-13-23-50/log,out/09-13-23-50/base_samples52,0,out/09-13-23-50/bit0_samples52,,0.0306045070016827,82:5E:0F:04:DE:FD,2020-09-14 06:51:03,abf66471-88da-431a-af4b-1e2dfba71fa3,out/09-13-23-50/bit1_samples52,09-13-23-47-46,Yes
09-13-23-50-78,1,78,762be7fe-6426-488e-9f96-6a470ffb8945,2020-09-14 06:50:13,1,78,out/09-13-23-50/log,out/09-13-23-50/base_samples78,0,out/09-13-23-50/bit0_samples78,,0.376585741866583,2A:50:37:01:A1:4E,2020-09-14 06:51:03,6936aaa8-2ba4-485a-9bd7-23c24439510a,out/09-13-23-50/bit1_samples78,09-13-23-47-28,Yes
09-13-23-50-10,1,10,bfa17e3f-0bbf-48df-a50e-cd423ca82301,2020-09-14 06:50:13,1,10,out/09-13-23-50/log,out/09-13-23-50/base_samples10,0,out/09-13-23-50/bit0_samples10,,0.995593038211919,86:85:3C:C3:1D:BB,2020-09-14 06:51:03,16a6d61b-81d2-42f2-be97-a7c50a8e4bd5,out/09-13-23-50/bit1_samples10,09-13-23-47-58,Yes
09-13-23-50-37,1,37,6bf7044c-ed66-4442-a174-8083790cdeba,2020-09-14 06:50:13,1,37,out/09-13-23-50/log,out/09-13-23-50/base_samples37,0,out/09-13-23-50/bit0_samples37,,0.0884078113429433,D2:F1:60:73:3B:C9,2020-09-14 06:51:03,f15b752d-da01-42f6-86dd-7a90bdba2ce1,out/09-13-23-50/bit1_samples37,09-13-23-47-56,Yes
09-13-23-50-34,1,34,f32ddc34-132a-4e35-88e7-a3bcee8bbdda,2020-09-14 06:50:13,1,34,out/09-13-23-50/log,out/09-13-23-50/base_samples34,0,out/09-13-23-50/bit0_samples34,,0.0749786158573098,56:88:BD:E1:64:A6,2020-09-14 06:51:03,ab782e22-3d89-4483-b51d-efcd5f5a889c,out/09-13-23-50/bit1_samples34,09-13-23-47-60,Yes
09-13-23-50-100,1,100,186d671f-4eac-4e76-92cd-ea7565ec179f,2020-09-14 06:50:13,1,100,out/09-13-23-50/log,out/09-13-23-50/base_samples100,0,out/09-13-23-50/bit0_samples100,,0.236267015248841,E6:F5:A1:40:24:0D,2020-09-14 06:51:03,d0159cde-8abd-443e-8677-4741b30056d0,out/09-13-23-50/bit1_samples100,09-13-23-47-75,Yes
09-13-23-50-91,1,91,b4eb343b-1a26-4700-979d-9dc132be33ce,2020-09-14 06:50:13,1,91,out/09-13-23-50/log,out/09-13-23-50/base_samples91,0,out/09-13-23-50/bit0_samples91,,0.833645774338587,46:84:78:AC:DA:94,2020-09-14 06:51:03,882a20f6-3ff9-4628-9f98-fcbf858698e0,out/09-13-23-50/bit1_samples91,09-13-23-47-11,Yes
09-13-23-50-84,1,84,7f116949-714d-4a77-9208-733160b2e5f1,2020-09-14 06:50:13,1,84,out/09-13-23-50/log,out/09-13-23-50/base_samples84,0,out/09-13-23-50/bit0_samples84,,0.159797955401568,5A:9A:A7:66:32:A2,2020-09-14 06:51:03,2e90a17a-a735-4c11-90a2-e9339e7844a0,out/09-13-23-50/bit1_samples84,09-13-23-47-39,Yes
09-13-23-50-82,1,82,d8f5b39a-c1e0-4c95-9a9d-496c64181ece,2020-09-14 06:50:13,1,82,out/09-13-23-50/log,out/09-13-23-50/base_samples82,0,out/09-13-23-50/bit0_samples82,,0.0316715492477806,8E:8C:96:35:8B:9B,2020-09-14 06:51:03,4d19d37e-d72a-4c02-9cb4-e1c6ee9fc0b3,out/09-13-23-50/bit1_samples82,09-13-23-47-61,Yes
09-13-23-50-22,1,22,8498c6b8-f500-4b87-932b-068015385af1,2020-09-14 06:50:13,1,22,out/09-13-23-50/log,out/09-13-23-50/base_samples22,0,out/09-13-23-50/bit0_samples22,,0.162444539014931,3A:5F:DE:59:69:D7,2020-09-14 06:51:03,33c06164-65c0-4833-8b6c-1fb96fe68989,out/09-13-23-50/bit1_samples22,09-13-23-47-55,Yes
09-13-23-50-43,1,43,ad7cfcd5-9546-4ed3-851e-2c161aa1f2b2,2020-09-14 06:50:13,1,43,out/09-13-23-50/log,out/09-13-23-50/base_samples43,0,out/09-13-23-50/bit0_samples43,,0.151289769456628,B2:67:9A:03:B5:15,2020-09-14 06:51:03,587f2f56-e883-47ad-a7dc-2a2b26029524,out/09-13-23-50/bit1_samples43,09-13-23-47-92,Yes
09-13-23-50-97,1,97,d3055431-0609-4b77-915e-8d7eda8e68ec,2020-09-14 06:50:13,1,97,out/09-13-23-50/log,out/09-13-23-50/base_samples97,0,out/09-13-23-50/bit0_samples97,,0.197275794516935,46:7F:AF:E8:8E:A6,2020-09-14 06:51:03,45224ad9-f58f-4c29-8607-fd1db7a32009,out/09-13-23-50/bit1_samples97,09-13-23-47-88,Yes
09-13-23-50-45,1,45,810af3bf-e7b0-4e33-a525-b26cc4a30999,2020-09-14 06:50:13,1,45,out/09-13-23-50/log,out/09-13-23-50/base_samples45,0,out/09-13-23-50/bit0_samples45,,0.937133765113594,E2:41:25:B3:E3:E9,2020-09-14 06:51:03,4a67e33f-226e-461b-a57f-a7595095e14e,out/09-13-23-50/bit1_samples45,09-13-23-47-13,Yes
09-13-23-50-65,1,65,101b5020-0e81-4c6c-96ef-d0760738b76d,2020-09-14 06:50:13,1,65,out/09-13-23-50/log,out/09-13-23-50/base_samples65,0,out/09-13-23-50/bit0_samples65,,0.297151131437474,62:53:74:79:93:CA,2020-09-14 06:51:03,da39679d-8219-4abb-abbf-0a1f7c277312,out/09-13-23-50/bit1_samples65,09-13-23-47-7,Yes
09-13-23-50-35,1,35,78f97656-eacb-4c1d-bfd7-d22e66406e5e,2020-09-14 06:50:13,1,35,out/09-13-23-50/log,out/09-13-23-50/base_samples35,0,out/09-13-23-50/bit0_samples35,,0.0900622870048254,6E:5B:64:A6:2B:0F,2020-09-14 06:51:03,822f019d-c53c-4f0c-b526-0c085b994a76,out/09-13-23-50/bit1_samples35,09-13-23-47-68,Yes
09-13-23-50-75,1,75,6e3ecd65-e799-453f-a578-71d827216dba,2020-09-14 06:50:13,1,75,out/09-13-23-50/log,out/09-13-23-50/base_samples75,0,out/09-13-23-50/bit0_samples75,,0.684171018578746,DA:E2:A3:12:A5:04,2020-09-14 06:51:03,d78bc5d5-bb0a-4302-9de1-122d3f585f91,out/09-13-23-50/bit1_samples75,09-13-23-47-47,Yes
09-13-23-50-73,1,73,7842b5ce-d5c9-4510-a52a-c2b27402c6b7,2020-09-14 06:50:13,1,73,out/09-13-23-50/log,out/09-13-23-50/base_samples73,0,out/09-13-23-50/bit0_samples73,,0.364260926462674,82:54:CC:DD:ED:33,2020-09-14 06:51:03,a7dca708-3e33-4ab8-8a21-09931acf1a94,out/09-13-23-50/bit1_samples73,09-13-23-47-71,Yes
09-13-23-50-31,1,31,8c3df16a-124b-4035-bed6-26a76e019d40,2020-09-14 06:50:13,1,64,out/09-13-23-50/log,out/09-13-23-50/base_samples31,-1.36115064831296,out/09-13-23-50/bit0_samples31,,0.341779271473806,FA:FE:1E:C5:E8:6D,2020-09-14 06:51:03,89bc32f1-da5a-4522-b152-ae58c59946d0,out/09-13-23-50/bit1_samples31,09-13-23-47-16,Yes
09-13-23-50-40,1,40,0c1c3239-137f-465a-8a1a-7edd361b0c74,2020-09-14 06:50:13,1,40,out/09-13-23-50/log,out/09-13-23-50/base_samples40,0,out/09-13-23-50/bit0_samples40,,0.112197284895556,CE:95:3B:C3:D4:93,2020-09-14 06:51:03,b9f1700e-9c60-4291-bb8f-5cc398164f3e,out/09-13-23-50/bit1_samples40,09-13-23-47-83,Yes
