In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685934211,26:cc:65:51:24:88,90.00B,90.00B,23.53915762901306,17.53252124786377
Both,1575685934170,42:45:ea:65:6b:6b,90.00B,90.00B,23.583043098449707,17.57641577720642
Both,1575685934202,ce:f8:00:30:11:f7,90.00B,90.00B,23.549588441848755,17.54300546646118
Both,1575685934211,36:7d:1e:82:45:6b,180.00B,90.00B,23.542115211486816,17.535566091537476
Both,1575685934208,4a:fa:b4:b5:c9:c7,90.00B,90.00B,23.557308435440063,17.55071258544922
Both,1575685934161,d2:a6:35:ba:6e:46,90.00B,90.00B,23.608617782592773,17.602062702178955
Both,1575685934167,72:6a:18:5b:bd:4a,90.00B,90.00B,23.603363275527954,17.596785306930542
Both,1575685934210,b2:2b:93:1b:ae:61,90.00B,90.00B,23.562366724014282,17.555800914764404
Both,1575685934164,e6:6d:76:f3:3b:16,90.00B,90.00B,23.611785650253296,17.605234146118164
Both,1575685934203,e6:a7:b1:45:53:02,90.00B,90.00B,23.574556350708008,17.56798505783081
Both,1575685934208,ea:c8:9d:b9:b4:79,90.00B,90.00B,23.56998062133789,17.563402891159058
Both,1575685934166,22:e7:21:41:5d:ec,90.00B,90.00B,23.625680685043335,17.619123220443726
Both,1575685934209,82:2b:e6:a7:80:bc,90.00B,90.00B,23.579843044281006,17.573296785354614
Both,1575685934205,26:ce:4e:be:0d:2a,90.00B,176.00B,23.586376667022705,17.579801559448242
Both,1575685934160,4a:07:93:9c:c1:5c,90.00B,90.00B,23.641459703445435,17.63473892211914
Both,1575685934203,62:14:89:49:d1:97,90.00B,90.00B,23.60157871246338,17.59502148628235
Both,1575685934203,b6:01:62:07:53:bc,90.00B,90.00B,23.599576950073242,17.593026876449585
Both,1575685934166,fe:86:71:6d:b3:c0,90.00B,90.00B,23.634577989578247,17.62802028656006
Both,1575685934197,b2:9a:16:08:13:80,90.00B,90.00B,23.608174562454224,17.60160756111145
Both,1575685934204,ca:67:96:8b:b2:03,90.00B,90.00B,23.606961727142334,17.600393533706665
Both,1575685934163,2e:5e:db:64:6b:09,180.00B,90.00B,23.65485906600952,17.64827561378479
Both,1575685934168,52:9d:0d:65:26:59,90.00B,90.00B,23.65581750869751,17.649227619171143
Both,1575685934210,3a:52:90:d3:3e:77,90.00B,180.00B,23.61700749397278,17.610437154769897
Both,1575685934162,aa:8c:cf:94:90:42,90.00B,90.00B,23.66479754447937,17.658223628997803
Both,1575685934204,ea:18:fd:44:36:96,90.00B,90.00B,23.628024339675903,17.621451139450073
Both,1575685934215,a6:87:c3:63:d7:f3,90.00B,90.00B,23.621453762054443,17.614877223968506
Both,1575685934169,9e:57:ff:22:8c:2e,90.00B,90.00B,23.673784971237183,17.667224407196045
Both,1575685934205,fa:f9:ec:06:fc:f8,90.00B,180.00B,23.63686990737915,17.616650581359863
Both,1575685934167,96:3f:70:06:5e:68,90.00B,90.00B,23.679532051086426,17.672868967056274
Both,1575685934175,0e:a1:a4:b1:c7:0b,90.00B,90.00B,23.67025661468506,17.66368293762207
Both,1575685934166,b2:40:74:ee:e9:1f,90.00B,90.00B,23.68463945388794,17.680901050567627
Both,1575685934206,ee:6b:bc:f2:67:1c,90.00B,90.00B,23.650519132614136,17.64397883415222
Both,1575685934211,6a:19:6a:9e:f6:10,90.00B,90.00B,23.65392017364502,17.64736795425415
Both,1575685934157,ea:34:69:b8:6e:20,90.00B,90.00B,23.715024948120117,17.708441734313965
Both,1575685934163,da:55:c7:db:52:30,90.00B,90.00B,23.71275281906128,17.706151723861694
Both,1575685934165,26:c4:64:f0:65:ef,90.00B,90.00B,23.715043783187866,17.70846724510193
Both,1575685934169,76:87:7b:2c:13:a4,90.00B,90.00B,23.719940185546875,17.712794542312622
Both,1575685934167,a2:78:42:27:d9:58,90.00B,90.00B,23.731269598007202,17.723610162734985
Both,1575685934163,1a:b6:15:0b:56:c0,90.00B,90.00B,23.739211082458496,17.732646942138672
Both,1575685934212,26:c1:e5:53:9a:12,180.00B,90.00B,23.691293239593506,17.684738397598267
Both,1575685934161,f6:b4:5f:72:5c:e1,90.00B,90.00B,23.744625329971313,17.738064527511597
Both,1575685934167,9a:b5:a2:2f:46:e7,90.00B,176.00B,23.747090101242065,17.74052858352661
Both,1575685934211,0e:69:c0:84:38:59,90.00B,90.00B,23.715909004211426,17.709354877471924
Both,1575685934207,e6:06:16:e8:45:f4,90.00B,90.00B,23.725754976272583,17.719184398651123
Both,1575685934214,76:75:c3:d6:82:a6,90.00B,90.00B,23.72357177734375,17.717013835906982
Both,1575685934166,b6:35:61:0a:0f:c1,90.00B,176.00B,23.768024921417236,17.76147723197937
Both,1575685934208,6e:85:d6:72:b8:9a,90.00B,90.00B,23.72850799560547,17.721906900405884
Both,1575685934168,82:9f:c5:93:f9:1e,90.00B,90.00B,23.780391693115234,17.773828268051147
Both,1575685934168,fa:98:07:c1:d0:e2,90.00B,176.00B,23.782201528549194,17.77564525604248
Both,1575685934212,7a:8d:70:fe:14:b3,176.00B,90.00B,23.74365997314453,17.737092971801758
Both,1575685934208,86:bb:4c:e6:8c:eb,90.00B,176.00B,23.74699592590332,17.7404625415802
Both,1575685934209,52:eb:ee:1e:c0:40,90.00B,90.00B,23.74596357345581,17.73926043510437
Both,1575685934167,0e:87:f3:d0:fc:86,90.00B,90.00B,23.795006275177002,17.788445472717285
Both,1575685934205,b2:3f:21:00:64:a7,90.00B,90.00B,23.686137437820435,17.67954969406128
Both,1575685934194,a2:6f:27:0e:44:bd,90.00B,90.00B,23.775808572769165,17.76916527748108
Both,1575685934162,86:f3:b1:b0:5b:48,90.00B,90.00B,23.81489586830139,17.80827045440674
Both,1575685934193,7a:75:44:35:1f:01,90.00B,90.00B,23.786162853240967,17.77959132194519
Both,1575685934166,f2:da:ab:f4:f2:20,90.00B,90.00B,23.81492304801941,17.80836534500122
Both,1575685934204,32:d0:f6:93:d9:be,90.00B,180.00B,23.779065132141113,17.772507429122925
Both,1575685934168,12:47:b9:85:e0:98,90.00B,90.00B,23.82422924041748,17.817677974700928
Both,1575685934158,36:e4:b6:52:8c:64,90.00B,90.00B,23.847774982452393,17.84121298789978
Both,1575685934200,f6:e8:2a:94:62:e1,90.00B,90.00B,23.81218934059143,17.80556631088257
Both,1575685934200,ce:20:62:d8:83:e4,90.00B,90.00B,23.81501579284668,17.80846118927002
Both,1575685934196,8a:97:21:cf:b6:33,90.00B,90.00B,23.828951835632324,17.822347164154053
Both,1575685934167,7a:75:78:fc:60:d0,90.00B,90.00B,23.86700749397278,17.86044430732727
Both,1575685934170,9e:00:9f:a0:b2:e8,176.00B,90.00B,23.868552684783936,17.86195707321167
Both,1575685934202,9a:01:72:df:fd:f4,90.00B,90.00B,23.834858655929565,17.827783823013306
Both,1575685934202,ba:09:7f:7f:81:c7,90.00B,176.00B,23.837337970733643,17.830768585205078
Both,1575685934209,fa:ee:f4:47:68:33,90.00B,90.00B,23.830379962921143,17.823809385299683
Both,1575685934202,d2:9a:f9:8b:64:e6,90.00B,90.00B,23.83778429031372,17.833974838256836
Both,1575685934201,4a:6d:96:22:28:59,90.00B,90.00B,23.844403743743896,17.83785128593445
Both,1575685934241,72:22:14:e8:b5:1a,90.00B,90.00B,23.80217671394348,17.795310020446777
