In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685735542,86:1d:40:15:8b:f9,90.00B,90.00B,23.205116271972656,17.198508739471436
Both,1575685735895,0e:73:78:22:0c:da,90.00B,90.00B,23.130568981170654,17.123960494995117
Both,1575685735978,5e:11:8b:b5:46:7e,90.00B,90.00B,23.067403554916382,17.060791969299316
Both,1575685735985,7a:8d:70:fe:14:b3,176.00B,90.00B,23.070810079574585,17.06410050392151
Both,1575685735881,2e:f7:cf:83:68:ae,90.00B,90.00B,23.083482027053833,17.076863765716553
Both,1575685735960,02:da:23:7f:81:5b,90.00B,90.00B,23.045534372329712,17.038894653320312
Both,1575685735899,c2:2c:75:e9:ce:f6,90.00B,90.00B,23.098262786865234,17.0933518409729
Both,1575685735936,16:c7:3e:c1:6d:f2,90.00B,90.00B,23.122544050216675,17.11592149734497
Both,1575685735908,e6:79:ce:49:81:69,90.00B,90.00B,23.08374333381653,17.077088356018066
Both,1575685735947,72:22:14:e8:b5:1a,90.00B,90.00B,23.110231399536133,17.103609085083008
Both,1575685735978,b2:7b:aa:8f:62:b7,90.00B,90.00B,23.107686758041382,17.10107970237732
Both,1575685735898,32:67:d6:41:82:09,176.00B,90.00B,23.171645402908325,17.1649649143219
Both,1575685735990,76:75:c3:d6:82:a6,90.00B,90.00B,23.10246443748474,17.0958411693573
Both,1575685735972,a6:87:c3:63:d7:f3,90.00B,90.00B,23.11918878555298,17.112576484680176
Both,1575685736020,36:23:ad:4b:fd:83,90.00B,90.00B,23.077474355697632,17.070876598358154
Both,1575685736028,26:c1:e5:53:9a:12,180.00B,90.00B,23.076988697052002,17.070378065109253
Both,1575685735982,26:cc:65:51:24:88,90.00B,90.00B,23.126060485839844,17.119446516036987
Both,1575685735868,0e:69:c0:84:38:59,90.00B,90.00B,23.24948811531067,17.242846488952637
Both,1575685735871,92:cb:0a:51:eb:8e,90.00B,90.00B,23.24801731109619,17.241376638412476
Both,1575685735954,de:08:84:52:b2:3c,90.00B,90.00B,23.168025970458984,17.161404132843018
Both,1575685735943,7e:87:a1:82:ad:cb,180.00B,90.00B,23.190375328063965,17.183762550354004
Both,1575685736094,12:05:5c:c0:3b:fa,90.00B,90.00B,23.043503522872925,17.03690791130066
Both,1575685736017,36:7d:1e:82:45:6b,180.00B,90.00B,23.118544816970825,17.111875772476196
Both,1575685736044,ca:b1:e5:5a:69:d3,90.00B,90.00B,23.09700632095337,17.090264081954956
Both,1575685736022,6e:85:d6:72:b8:9a,90.00B,90.00B,23.11803936958313,17.111393451690674
Both,1575685736052,6a:19:6a:9e:f6:10,90.00B,90.00B,23.09242558479309,17.085824728012085
Both,1575685735998,3a:00:9d:eb:b2:d9,90.00B,90.00B,23.154847145080566,17.148258447647095
Both,1575685736026,e2:ac:3b:b0:6a:54,90.00B,90.00B,23.13202452659607,17.125394821166992
Both,1575685736000,1a:ac:25:ae:72:21,90.00B,90.00B,23.161691904067993,17.155006647109985
Both,1575685735972,3a:52:90:d3:3e:77,90.00B,180.00B,23.193639993667603,17.187010765075684
Both,1575685735985,86:a9:2f:7c:c0:23,90.00B,90.00B,23.19907855987549,17.19245409965515
Both,1575685736100,0a:af:0d:0a:6c:8e,90.00B,90.00B,23.096089124679565,17.089474201202393
Both,1575685735980,16:03:77:9d:66:b7,90.00B,90.00B,23.21967053413391,17.213796138763428
Both,1575685735981,96:40:48:d0:c7:ec,90.00B,90.00B,23.225290298461914,17.218645811080933
Both,1575685736047,52:09:ba:9c:d0:02,90.00B,90.00B,23.16341805458069,17.156827211380005
Both,1575685736157,b2:2b:93:1b:ae:61,90.00B,90.00B,23.06714129447937,17.060492038726807
Both,1575685736045,82:2b:e6:a7:80:bc,90.00B,90.00B,23.180012464523315,17.17795705795288
Both,1575685735970,ae:8e:f9:f9:42:ad,90.00B,90.00B,23.266858339309692,17.260236263275146
Both,1575685735924,06:d9:f8:25:f9:dc,90.00B,90.00B,23.313905954360962,17.307271242141724
Both,1575685735995,fa:ee:f4:47:68:33,90.00B,90.00B,23.248417139053345,17.24142098426819
Both,1575685735873,e6:06:16:e8:45:f4,90.00B,90.00B,23.374841451644897,17.368245363235474
Both,1575685735966,62:c1:15:b1:5d:8c,90.00B,90.00B,23.282336950302124,17.27572011947632
Both,1575685735917,16:32:56:7e:0c:a2,180.00B,90.00B,23.34535312652588,17.33873677253723
