In,Start Time,MAC Address,Total Bytes Sent,Total Bytes Received,Total Time,Exec Time
Both,1575685933383,aa:5d:1f:9e:71:5b,90.00B,90.00B,23.669233322143555,17.66265344619751
Both,1575685933383,26:04:c9:39:09:c8,176.00B,176.00B,23.676557064056396,17.670002460479736
Both,1575685933403,c2:67:c2:9d:e2:59,90.00B,90.00B,23.656970977783203,17.65036368370056
Both,1575685933332,3a:cd:f7:30:76:42,90.00B,90.00B,23.730047941207886,17.723021030426025
Both,1575685933391,a2:b4:42:3d:9a:97,90.00B,90.00B,23.673853397369385,17.667282342910767
Both,1575685933364,46:aa:77:72:07:a1,90.00B,90.00B,23.705122470855713,17.698411226272583
Both,1575685933377,b2:f4:23:38:84:f6,90.00B,90.00B,23.695079803466797,17.68850088119507
Both,1575685933348,e2:f8:4e:7d:05:02,90.00B,90.00B,23.73437738418579,17.72755265235901
Both,1575685933368,2e:b5:cc:4b:1b:d6,90.00B,90.00B,23.715805530548096,17.7092342376709
Both,1575685933357,be:3b:68:b6:bc:34,90.00B,90.00B,23.726914405822754,17.722907781600952
Both,1575685933374,02:58:e6:f8:a1:27,90.00B,90.00B,23.71661877632141,17.71032214164734
Both,1575685933371,f2:ba:fc:d3:74:b7,90.00B,90.00B,23.72063899040222,17.71407198905945
Both,1575685933370,ea:77:f1:5c:96:48,180.00B,90.00B,23.721123218536377,17.714553356170654
Both,1575685933388,42:51:48:fd:81:3f,90.00B,90.00B,23.705288410186768,17.698528051376343
Both,1575685933357,ba:3e:e5:e6:a6:a8,90.00B,90.00B,23.73749828338623,17.736567974090576
Both,1575685933357,32:4c:c7:46:1d:6a,90.00B,90.00B,23.74866771697998,17.742066383361816
Both,1575685933375,42:1f:bf:57:56:23,90.00B,90.00B,23.732271909713745,17.725609064102173
Both,1575685933391,e6:dd:a9:a7:7d:33,90.00B,90.00B,23.72781777381897,17.721248149871826
Both,1575685933358,c6:1b:5e:95:09:9d,90.00B,90.00B,23.766602993011475,17.763959407806396
