GUID,CPU CPI,MAC Address,Success,Id,Boot ID,End Time,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,Warm Start,Tag
10-16-03-02-8,93.085610,F2:7C:CA:47:FE:88,1,8,7c688942-1225-4702-8cef-321d57018ad6,2020-10-16 10:02:22,416c628c-904f-4fd9-a886-55529f14b98f,2020-10-16 10:02:02,0,3,8,8,8,out/10-16-03-02/log,out/10-16-03-02/base_samples8,,out/10-16-03-02/bit1_samples8,169.254.76.1,out/10-16-03-02/bit0_samples8,0,,1.2081581344754,No,DEFAULT
10-16-03-02-4,94.059065,32:3F:96:C3:54:66,1,4,ce57c15b-8a20-4afc-8def-31ab7933e523,2020-10-16 10:02:23,15dccccd-85c5-49b5-a9a8-3af9b71e5c46,2020-10-16 10:02:02,0,3,4,4,4,out/10-16-03-02/log,out/10-16-03-02/base_samples4,,out/10-16-03-02/bit1_samples4,169.254.76.1,out/10-16-03-02/bit0_samples4,0,,0.10911346234572,No,DEFAULT
10-16-03-02-10,94.572629,C2:7C:B5:FC:A7:3D,1,10,9c3150da-d094-4ef9-8f36-6aa7bf25d571,2020-10-16 10:02:22,4020b854-4c47-416b-8f09-138151eb1754,2020-10-16 10:02:02,0,3,10,10,10,out/10-16-03-02/log,out/10-16-03-02/base_samples10,,out/10-16-03-02/bit1_samples10,169.254.76.1,out/10-16-03-02/bit0_samples10,0,,0.291962359939501,No,DEFAULT
10-16-03-02-1,94.586403,BE:25:F9:4B:85:B2,1,1,1dcb736c-23a5-448d-a937-54e7625247fd,2020-10-16 10:02:23,1a7c2118-adf3-4b1e-9706-0f4fb2e3eea4,2020-10-16 10:02:02,0,3,1,1,1,out/10-16-03-02/log,out/10-16-03-02/base_samples1,,out/10-16-03-02/bit1_samples1,169.254.76.1,out/10-16-03-02/bit0_samples1,0,,0.202120008417988,No,DEFAULT
10-16-03-02-9,94.533920,8A:09:BF:D3:39:EB,1,9,7224caf1-a685-4afd-b6f4-02527313a7ac,2020-10-16 10:02:23,6d6ad23a-8e52-40be-90e7-6e31c49777f3,2020-10-16 10:02:02,0,3,9,9,9,out/10-16-03-02/log,out/10-16-03-02/base_samples9,,out/10-16-03-02/bit1_samples9,169.254.76.1,out/10-16-03-02/bit0_samples9,0,,0.343164809010449,No,DEFAULT
10-16-03-02-2,94.011039,32:05:F1:3F:8A:8C,1,2,41e38224-5e44-4394-8cd2-fc7ae2aeca23,2020-10-16 10:02:22,887f4c0e-5c45-4f98-bde2-786616a5f5aa,2020-10-16 10:02:01,0,3,2,2,2,out/10-16-03-02/log,out/10-16-03-02/base_samples2,,out/10-16-03-02/bit1_samples2,169.254.76.1,out/10-16-03-02/bit0_samples2,0,,0.278991527748,No,DEFAULT
10-16-03-02-7,95.039867,5E:AD:0D:10:93:30,1,7,8300a933-1576-4bf7-b617-8ff831738818,2020-10-16 10:02:23,2ff14ef3-1f54-4dbd-b735-a2487ece5f90,2020-10-16 10:02:02,0,3,7,7,7,out/10-16-03-02/log,out/10-16-03-02/base_samples7,,out/10-16-03-02/bit1_samples7,169.254.76.1,out/10-16-03-02/bit0_samples7,0,,0.572504896021537,No,DEFAULT
10-16-03-02-3,93.592965,B2:14:EC:F9:B3:F1,1,3,365803e0-713b-436e-8e36-9ae87726bf30,2020-10-16 10:02:22,5e9383a5-a386-411a-9ccf-6aac174c4a7d,2020-10-16 10:02:02,0,3,3,3,3,out/10-16-03-02/log,out/10-16-03-02/base_samples3,,out/10-16-03-02/bit1_samples3,169.254.76.1,out/10-16-03-02/bit0_samples3,0,,0.747577332652467,No,DEFAULT
10-16-03-02-6,92.567959,42:FD:BB:0C:0D:F6,1,6,b5a96003-b663-4d52-9390-7a827b651479,2020-10-16 10:02:22,83692d9e-8730-4fbf-953f-01e288f67475,2020-10-16 10:02:02,0,3,6,6,6,out/10-16-03-02/log,out/10-16-03-02/base_samples6,,out/10-16-03-02/bit1_samples6,169.254.76.1,out/10-16-03-02/bit0_samples6,0,,0.082218536536784,No,DEFAULT
10-16-03-02-5,94.051843,4A:28:3E:E3:5F:B4,1,5,4bdd34d4-87e0-46d1-ab44-02cf8473d59b,2020-10-16 10:02:23,ba5d77eb-d537-4b73-831c-31c03027fa71,2020-10-16 10:02:02,0,3,5,5,5,out/10-16-03-02/log,out/10-16-03-02/base_samples5,,out/10-16-03-02/bit1_samples5,169.254.76.1,out/10-16-03-02/bit0_samples5,0,,0.216710407716052,No,DEFAULT
