In,Start Time,UP Time,Boot Time,Frequency,Interface,IP Address,MAC Address,Rdseed Enabled,Total Time,Exec Time
Both,1575694838917,8.71,2019-12-07 05:00:35,2000.194,eth1,169.254.8.130,69:e2:28:d5:59:57,1,44.243664026260376,38.24136686325073
Both,1575694841582,10.98,2019-12-07 05:00:36,2000.137,eth2,169.254.8.1,51:61:53:5b:04:93,1,41.841639280319214,35.839885234832764
Both,1575694841979,10.56,2019-12-07 05:00:37,2000.137,eth1,169.254.8.130,d5:63:bd:a8:52:32,1,41.56255269050598,35.560129165649414
Both,1575694839505,8.04,2019-12-07 05:00:37,2000.145,lo,127.0.0.1,e7:f4:52:3b:19:e4,1,44.19158124923706,38.18945384025574
Both,1575694839348,7.84,2019-12-07 05:00:37,2000.194,eth2,169.254.8.1,17:34:1e:3d:da:51,1,44.3921537399292,38.38978028297424
Both,1575694843268,12.10,2019-12-07 05:00:36,2000.169,lo,127.0.0.1,4f:9a:4c:35:80:e3,1,41.1700553894043,35.15646696090698
Both,1575694843302,12.39,2019-12-07 05:00:36,2000.169,eth1,169.254.8.130,2d:2a:5b:c4:14:94,1,42.13340210914612,36.128868103027344
Both,1575694844145,10.79,2019-12-07 05:00:39,2000.169,eth2,169.254.8.1,4f:9c:ca:95:7f:f2,1,41.81135964393616,35.79306125640869
Both,1575694841123,10.01,2019-12-07 05:00:36,2000.187,eth2,169.254.8.1,75:7c:ee:e4:6c:5c,1,46.64114999771118,40.63150763511658
Both,1575694840822,9.83,2019-12-07 05:00:36,2000.187,eth0,192.168.1.1,3d:93:d7:f8:27:aa,1,47.15844798088074,41.15634036064148
Both,1575694839408,9.03,2019-12-07 05:00:36,2000.173,eth1,169.254.8.130,0d:18:05:23:c5:1b,1,49.566038846969604,43.56398391723633
Both,1575694842469,9.92,2019-12-07 05:00:37,2000.187,eth0,192.168.1.1,81:48:aa:9e:54:e6,1,46.50060200691223,40.4983229637146
Both,1575694840446,8.15,2019-12-07 05:00:37,2000.173,eth2,169.254.8.1,a3:54:17:0f:96:e7,1,48.766319036483765,42.7627489566803
Both,1575694839708,8.45,2019-12-07 05:00:36,2000.173,eth2,169.254.8.1,53:c1:7a:f5:38:3f,1,49.834728956222534,43.83278155326843
