Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,SErasures,RErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
1,24,17,200,1000,1111111111110111101110111001111111111111011111111111111110101111011111111111111011110111111111111111111111101101111111111111110111111111111101111111111111111111101111011111111111110111111101111111111111111111110111111111111111110010011111111111011011111101111111111001111111111101111111011111110101100110110111110111111101111111110101111111111101111111111111110111111111111111111111111111111111111110111111111111111111110111111111111111111101111111111111110111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111101111111101111111111101111111110101111111111101111010111111111011111111110111101111111111011110111111010011111111110111111011101111111111111101110111101111111011111111101111111111111111111111111111111111111111111111011110111111111011111101101111111111111111111111111111111111111111111111101111111111111111111111111111110111101101110111111111111111111111111011111111011110111101111111111101111111111111111111011111011111011111111101111111111101101,1111111111110111101110111001111111111111011111111111111100101111011111110111111111110111111111110111111101111101111111111111010111110111011101111111111101111111101111011111111101110111111101111111001111111011000101111111000111110011011110001111011001111101111111110001111111111101111101011111010101110110110111110111111101111111111111111111111101111111110110010111111101111111011101110111111111111111111111111111111111110111111111110111111101111111111111110111011111111110111111111111111111111111111111111111111111111111111111111111111111111111111001111101111111111111001111101111111110101111111111101111010111111111011101111110011101111111111111110111111000011111011110111111011111110111111101111110111101111111011111110101111101111101101111111111111101111111111101111011010111110111011111101101011111111111111111111111111101111111110111111101111101111110111101111111011110111101101110111100111111111111111100011110111011110111001111111111001111110111111111111011111001111011011111101111111101101101,,,49,7,80,8.0,906,69,7,94,11,11
3,26,23,200,1000,0111111110111111111110111111001111111101111011010111111111011111111110111110111111111111111101111111111111111111011101111111111110111111101011101111111101110111111111111111101111110011011111111011111111111111110101101101011111111101111101110111111111111110111111111110101110111101110101111111111111111111011101011110111111111111111011111111011111011110011110111110111011111111111011111111011111111010111101111111111111111111111111111111110101011111111110111111111111111111111111111111111111011011010111111111111111111101111111011000111101111111111111111111111111111111111111111111111111111101101110111101101011101111111111111111111111011001111111011111111111111111111011111111101111111011111111011110111111101111111110111111110111111111111111111011111011111101111101111111110110111011111111111111111111111111011111011111111110111111111111111111111110011111101111111011101111111111011001111111111110111111111011111111110111110110111111111111101111111111111111111111101101111111111011111111111001111111,1111111110111111111111111101011111111101111111110111111111011111111110111110111111111111111101111111111111111111011111111111111110111111101111101111111101110101111111111111100111110001011111011011111111011111110101111101011111111101111111011111111111111111111111111100101110111111110101111111111111111111111101111100111111111111111111111111111111011110011110111110111011111111111010111111010111111000111111111101111111011111110111111100111101011111111110111111111111111101111111111111111110011011010111111111110111111101111111011011111101111111111111111111111111111111111111111111111111111101101110111101101111111111111111111111111111011011111111011111111111111111111111111111101111011111111111111111111111101111111110111111111111111111111111011111111111111101111101111111111110111011111111011111110111111101011111111101111110111111111111111111111110011111111111011001101111111111011011111111111111111111110011111101111111110111111111111111101111111111111111111111101101111111111010111101111101111111,,,9,0,70,7.0,880,32,3,120,38,31
4,9,7,200,1000,1111000000011010010100110010010100111110001101011011100000011010000001001000101100011000000101010011110010010000110110100111011110000011000001100110101001111000111010010101010111100100000011000010100110100110001001110101011100100100000111100000001010101010100011000001011000000101101101100010010000100000100101101010011010001010110010000100110010111001001100101001100000111101111111011110010011100010000011011100000001000100000101000010001100001001000100100000001000011101110000001100000000000000001110011011100110100000100000100100101011001010100100000000011101000111011001110111010010001000110011101101010110001000010010010111000010000111100000110010100111000111101010111000010010100000000011110010001101010000010001100000011000001010011000001011101100100111001100000010000000111100000011010110011010100011110000000110011011100100100001001101110101101100000011110100101010101000000111001000010000100001100100010000101010110101001010001000100101011000000000010000011101111011111010010000101001001011,1111001001111110011101110010011100111110001101011011101000011010000001101010101100111010000101111011110010110000110110100111011110100011000001100110101001111000111010110101011111100101001010100010101110100110001001110011011100100110001111100010001010101100100011100011011000000111101101100010010000100010100101101110011010111010110010100110110011111111001100101011100000111101111111111110011011100010001011111100001001110100001101100010001100101011001100100000001000111101111000001010001000000010001110011011100110100000100110100100101011001010101100100000011101000111001001110111111011111100111011101101011110101000010110110111001010101111101000110010101111100111101010111010011010100010000011110010001101010010011001100010011000001010011000101011100100100111001100000010001000111110001111111110011010100011111000100110001011100110101001111101111101101000001111110100101010101010001111001010010000100011101100010010101010110011001010001010101101011010001000010010011100111111101011010010101001001011,,,63,0,126,12.6,407,11,2,593,115,19
6,10,8,200,1000,0111110111111111111110111111110111111110111111111011011110011011111101110111110110111111111111110111011011111100111011111111011100101101011111111101111101101011011111110111101111101001110011111111111111101011111001111110111111111111011101011111111111111101110111111010111101111111111111110110110111110101111110001111111101011010101111110111111011111111111111101010101110111111110111101111111011111111111101100111111111110011111111111111101111111111110111111111111111101110101101010011101011001011111001111101111101111111010111111111110110011111111111100111100111111111110101101001111110101111101110011111111111011111111111111111101111011111101111001110101110111111111011111110110110101110111011101011111011111111111111111111101100111111111100111001111111111111111101101101100011001101011101110100111110110111110011111001101111111111101110110111111111101011111111100011110111111101111111111010111111100101110110111111111111111111111111111110101110101110111101110111111101011111111110011111111111111111,1111111111111111111110111111111111111110111111111011011110111011111101110111110110111111111111110111011011111100111011111111011100101101011111111101111101101011011111110111101111101001111011111111111111101011111001111110111111111111011101111111110111111101111111111010111101111111111111110111111111110111111110101111111101011010101111110111111011111111111001101110101110011111110111101111111011111111111101100111111011110011111111111111101111111111111111111111111111101110101101010011101011101011111001111111111101111111011111111111111110011111111111100111101111011111110101101001111110101111101110111111111111011111111111111111101111111111101111001110101110111111111011111110111110101110111011101011111011111111111111111111101100111111111100111001111111111111111101101101100011101111011101110100111110110111110011111001101111111111101110110111111111101011111111101011110111111111111111111010111111100101111110111111111111111111111111111110101110101110111101110111111101011111111110111111111111111111,,,71,2,33,3.3,809,6,0,191,27,14
8,44,11,200,1000,1011111111111100101011110011111110101111111011011110111110111111101110111111111111000111111111111011111010111100110111111110011101111111111011001111011111111111110001110111111110010110111111011011110101010111111111111111101110111111011001111001111111101011001111110111111111110111111111011111110111110111101111111101100111111111010011111111111111111111111111111111110010111111111110110111101011111111100111101101011111111111111111111111111111110111110111110110111110111011101111110111011011111100111110100111111101011111011111111111101111111111111111111111100111111010110101011110111111101111100100100010111111101110110011111111111111100111111011111011101111111101111111100011100101111111111011100101111110000110111111111011111111110011001001011111110111111011111111011111110111011110111110111111111111110111111110111101111111000101010110111011010111011111111110011111111111111110111111111111111110111110111101111111001111111111111111011111011101111100111110111011111010011111011111110111100101111111,1111111111111110101111111011111111101111111011111110111110111111101110111111111111101111111111111011111110111100111111111110111101111111111111001111111111111111110001110111111110110110111111011011110101110111111111111111101110111111011001111001111111101011101111111111111111111111111111111111111111110011101111111101101111111111111011111111111111111111111111111111110110111110011110100110100011101111101111101101011111111111111111111111111111110111111111110110111110111011111101110111111000101100111110100111111111111111001011111111101111111110011111100000010111111100110100011110111111101111101100100010111111101110110011111111111111100011111011111111101111110111111111100011100101100011111011110011111110000110111111000011111111110011101001111111110011111011101111011100111111011110100110100011011101110011111110111101111111000111010110110011010111011111111011011100111111111111111111111110111110111110111101111111011111101111111111011111011101111100111110111111111010111011011111111011101111110101,,,143,22,103,10.3,807,54,6,193,49,25
9,60,57,200,1000,1100000011110001101000001000101000100100000010001101000000011101100100000010001101100000001101110110001100001001110011011100100111001111010110110101011010000000000101001001110111110001010000001011000000010001011001001001011001000010111100001101001000111010000000111001011001100000110100010110100111000000000010100110001000110001010100000100111111111001101100100110000010110001111100100011011001001001100110110000110100001010011100000100110000010100010000000100101101011001110101001101100100001101010000111010011100010001000000011111000010010000010100001101010010100000111111111101010101010100110000010101101011010011000110101111011011001111111000110100000001101110011010001101010011011101101010000101100100001100111000011110000001010110100011100111110000111001111100000011000111110001101001001111001010101101010101011111100010010000000000100011000100110100101110101000001001001110011100001100010111001100000000000000001011011101101000110001100110000100011000001010001111100101000000011010000101100100,1000110011111101111111101010101011100100100011001101100011011101100100001010001110101000001100111010001100001101110011011000100111001111100111111001101010001000000110001001100111110001100000001011100000011001011010001001111010001010111110001001001010111110001011111001111010100000100100011010100111001100100010101010001000111001010110000100111110111001101100101110000010110001111100101011011001001001110110110000100110001010101110010100110001010100110000001100111110011001100111001101100110001011010010111010101110010001100010011111000010011000110100001001010010101000111110111101010111010100100000011001101010010011100110101111011011001111111010110100100011101110101010001001110011011101101010001101100100001000101000011010000010011110100010100111100000111001101100101011000111110001110000001011001010101001110101011011100010011000000010101011000110110100101110101100001011001110111100001100010111001100101000001000101011011101101001111001100111001100011000001010111111101001000010111110000111100100,,,55,6,155,15.5,428,45,10,572,110,19
10,39,34,200,1000,0101110000100010110100000000011011101111101011001001101100111110101000111011000100010001011011001101111000100111100100101100000100110011011101111111001111111001010010001111100100000111111110011111111110100101101101111100101011111110100110000110011010101010100011111110111110011000011110010111100011010111111010001101100110110010111110101100010101111001101110100101111100101010101110111110000010111111011101111100100001001000110001111011100111001001101110100100111010011100100101001111001001110111111001001011111111011111011011011111111100001010111011010110010000101111111111111110010001011110100011111101010101100100101110100101100010101011111100000110100101111100100101011000000111110101110001101111111111111001111101101111001100101110111011110011011101011100101001000100011100101110011101011011110110110010011110011110110001011011111110111010010001011110000111101110110011001001010110110010101010111111011111110101101101101000011110001111010010001011110011010101111100100101111011111100101111110010,0111111100100010111100000010011011101111101011101011101100111010101000111011000100010011011011101101111000110111101100101110000100110011011101111111001111111001011010001110100100000111111110111111111110100101101101111110101111111110101110000110011010101010101111111110111110011010011110010111101111010111111010101111100111110010111110101110010101111011101110111101111100111011101110100110100010111011111101111100100001101011110111111011101111001011101110100100111010111100101101001111001001110111111001001011111111111111011011111111111100001010111111111110011000101111111111111110010001111110101011111101010111100100101110100111100010101011111110000110101101111110100101011010001111110101111001111111111111111001111101101111001100101110111011110011011101011110101001100100011100101110011101011011111110110010011110010000111011011011111110111010010001111110001111101110111011001011011110110010101111111111011111111111111101111010011110101111010010101011110011111101101110110110111011011100101111111011,,,19,8,96,9.6,589,11,1,411,85,20
11,80,40,200,1000,0000011000101000000000010001110000000010001000001010111001000010000001100100010100000101000001010010010100010001010000000010010000001000000100011100001000010000000000000011101101000100000000010000010100000000000000011000100100000011000000000010010000110000000000001001000000100000000000010000000000000011110001000000000000000000000010010000000000011101000000010000000000001000000110100100100000000000100101010110000000000000010001101001011100011010010111001000101100000000010000000001000000100100011100010100000000010001000000000000001000000000011000000000010010000000000110100100000011000000011000011001001100100000000000000010000011000001000100010000011000010000010000000000000011000101000000001001010100010000000000000000010110000100000000000000000000001100010000000000000000001000000000100100010101100000000000000010011010000010010001000000000000001000000000000000000100010010000001100010100000000100100000001000000000000000000000010001000000010000000100000111101000000000001100001000000000010000,1111011100111001000101011111010000010111101000010011111001111111111001111100111111011101000001010011011110011001110000011111010000011101000101011101001000010001100000011011101101010101100000010001010101011001100000011001110110010011000000011011110000110001110000011001000100110000000100011000000100010111110111010000000101010100000110010001000110011101000100010000100100011000000110100101100100000001100101010110000100010000010101111001011100011000010101011000101100010000010100010001000110100100011101010100000100010001100100000001001100000001011100000000010110000001000100100101001011011001011000010101001100111001000000010010100001010001000110010000011100010000010101010000000111100101100100001001010110010001100000010001011110010110000111000101101010010010010100010000101010000001000100100101010101100001100100000011011111000011010101000001000000000001000100000001000100011111000001110010100100011100000100010000000100010000000100010001000100010001000100000111101000010001001100011000000100010100,,,13,2,209,20.9,202,13,6,798,196,24
12,68,36,200,1000,0000100101100000000110001000001010010000000110001000101010110110100111001001101000010100101001110100010000100101000011000000000000000010011000000110000010110000000001000000100000000011010100000001010010010000100100010000010011010000000101100001000000100010010000100110010100100001010101001011110001000000010010000010001100110111010010000101000100000000000111000000010000000000000010000000001100000011101001000011000100100000101011001010000010010000001001100010000000000001011010110000011001010010010101100000000101001000001000100100011110110011000111000000001101000000000100110110010110001101000001001000000110001000100000001010010101010010001000000110001000000101000000000011000000100100001001010110001000000010101000001000000001001010110000101101100110110000111100010010110100101000100000011000100000100011000000010110000101000010000000010010000000100101000111010001000100011000110100101110010100001100001000001000001110000000011010001110100100010100001101011010000110010001110011001000100100010011,1010101111100010001010001010001010010010001110001000101110110110101111001011101000110110101001110110010000100111000011000010000000100010011000100110001010110010001001000000101000000011011100000011011010010010101110010010011011011110001101100011000000100010010000100110010100110001011101101011111001100000011000100010001100110111010010100101001100000010001111000010011000000010001000000010001100000011101001100011000100100010101011101010001010010010001001100010001000000011011010110010011001010010011101100010001101001010001001100110011110110011000111100010001101100000001100110110011110101101001001101000001110101000101000101010011101010010001000000110001000000111000001000011000000100100001001110110001000000010101000001010001001001010110000101111100110110000111000010110110100100010100000111000101000100011001000110110001101101010001000110010001000100101001111110001001100110000111100101110011100001110101100001011001110000010011010001110101110010110001101111010001110110011110011001010000100110011,,,14,1,125,12.5,309,7,2,691,118,17
13,32,27,200,1000,1111111010011110111011001111011011011100111010010101101111010010101111101101100110110110111111101110110010100111111101110111011101111111111100011111001011110111111101111111111010100000011000111101001111100000001011011111101111111011101101111110111010111111010011001111110011011111111111101101110110001000101011011111110011010001000110000111110111011000010010110111111110111111111110110111110111101001111010100110101111001100111110101111001010000111100110101011111010100101101011011011011110010111100110010101101001110011011110110010010000110111011010111111001000001001001011101000011111111111110011111111111111111110101110011001011101011101110011111011011011101011111101111111111111111111111010101111100111101110111101011110110011111101111111010000111000011111111111110101110110111011101111101111100011111111011110110011111110110011111010111110100101111101000100111111011111111001111111101001110111001111011111111000110111111111010111011101010110011010101110100111111001101100101000010110101101110010,1111111010011110111101001111011111001101111010010101101111010011101111111101101110110111111111111111110010110111111101110111011101111111111100010111001101110111111101111111111110100001011100111101001111110001011011011111101111111011101101111111111010111111010111001111110011011111001111111101110010010000101111011111110111000001000110000111110111001001010010110110111110111111111110110111110111101001111100110111111111001101111110111111001110100111101100111011111010111111101111011110010100000111111110010101101101110011011111110010010100110111011110101111001000001001001011111001011011111110110011111111111111111111111110011001011101010100110111111011011111101011011101111111111111111111111011110111101111101111111001011110000111111101111011010000111100001111111101100001110110111010101111110011100011111111011110110011111110110011111010111111100001111100000100111111011111111001111111111001110111011111011111100000110111101110010111011101010110011011101110100111111001111100111100010110101101110011,,,73,15,107,10.7,676,41,6,324,66,20
14,76,59,200,1000,0100111111010000001010011111100010001110010010110001100101111111111010111101110111101101010010111010001010100101010100011011010101101101111011010010111000101001101110011011111011101001001000110110111100111010000010110110101111001111111110110111100111111101011100011000011111101110011011111001101001011101011111111111111011101110111001110101101111000100110001111010011011001000101011001110000001001100101101101011110111011011001111110011111111110110001101101011010011110000111000010001111001100000011111110100101101011011101101101011111110000101111110010110001110011010111001110000101111100011010101110011011000010100111111001010110011110111111111101100000110110111101010100011011101101111101011011101111101111101111110111110010110001111001101111010111000100111110010111001111001010110101110000111100011100100001011111010011100010011111111011011101001011111110100001100101001111011110110100010010111111111110111111100100101101011100110111111111010100110110110101100111110100011011011001111111101000111,1100111111011010101010011111100010001010010010110001100111111111111010111101110111101001010010111010101010101101100100011011110101101101111011010000111000101001101110010011111010101001001000111110111110111010000010110110001111001111111110111011100111110101010010011000111111101110011011111001101011011101101111110111111011101110111011110101101111000000110000111010011011001000101010001110000011001100101101101011110111011011101111111011111110110110001110101011110011111000100000010001111001101000111111111100101101011001101110101011111110001101111110010110101110011010111001111000101111101011110101110011111000011100111111001010110011111111101111101100000110111111101010100010011101101111101011011101111101111101111111111110010110001111001100111010111010101111100010111001111001011110101110001111100011100100011011111010011100010011011111111111101000011111110100001100101001111011110110100010110111111111010111111100100111101011100110111001111010101110110110101000101110101010100111001111111101001111,,,98,5,87,8.7,609,36,5,391,51,13
15,96,4,200,1000,1111111111111111011111111111111001101110111111111010100111110110111111111111111111011111101101111111111111011111101101111101011111110111111110110101111111011111111101010111111011010111111111111111111111111100101110111111111111011111111111110111111111011111111111111100111111101111111111111111111111111101111111111111111111011111111111111111111111111101100101111111111111111111101111111111101111111111111101111111011111111110011110011111111111101111101110111011101101111101111111111111111111111111111111111111111111110111111111111111011111110111011110111111111011111111111111111111111111111001111111111111011101111111111011100111111111111111111111111111111111111111111111111111111101111111111111111111011101001111111111111101111101111111111111001111111111111111111111111101111111111110111101111110101111111101011111111111111111111111111111111111111101111111111111110111111111111110011111111111111111111110111111111111111111111011111111111110111110111111111011111111001110011111101111111011101111111111,1111110111111101011111011111110001101110110111111000110111010110110111111111111111011111110101111111111111011111110101111101011111110111110111110101111111011101111101000111111011010101111111101111110111111101111111011111110111011101111111010111110111111101110111111100111111101101111111011111111111011101110111111111111111011111110111111101111111011001100101111111111111011111101111111111111111111101111101011111011011111110010111011101111111001111101111111111001101001101110111111101111111011111111111011111111111010111110111111100011111000111010001111101111011111111111111011111110111111001110011111101011101011111110001100111110111111101111111011111110111111101111111111101111101011111111111111101011101001111110111111101111101011111111111001111110111110101111111011101111111111110101101101110111111111101010111111101110111111111111111011111110101111100111111010111110111011100011111011111111111111100111111011111111111111001111111000110110111111111110011111111010110010111100111111111101111011111,,,112,3,120,12.0,894,103,11,106,17,16
16,51,31,200,1000,1111011101110011101101111000110111111111111011011110011110111011110111111000001111000111110111110011111010011010001001110101000001110111010101101011110111101001110111011100110001101111101111111010011110111101011011011111111010010001010111110111011111101101010010111111110101011101110100101111100101011011110010110111101011111000100011111111101110010111110111011111011110100000001111011000100111011111010010011111111111110111110010011000001111011111111110011111111111111110011111001111110011111001111010010111000111011001100010010111110111110111110101111111011001110111100111101001111011111111000011111111111111000001010111111111101010110011111111111101110111110111100111011110111101111100111011111111111111111111100011111000100110111011101000110101111101111110101110111111010110111111111101111111110111011110111111111111111111101111111110011110011111001110110100111101101110110111110111111110011011011011000011001101110111111011111110101110101101111001111000110101111101111111111111010110101111111111,1111111101110111001101111000110111111111011011011110111110111111110111111000001111000111110111111111111100011011111001111101000011111111110101110111110111111001110111011111110101111111101101111011111111111101111111011111111010011111110101110111111111111101010010111111010111011101010100111111100111011011110110111111111111111000100111111111001110011111111111011111111110111001011111010000100111011111010110011111111110110111110010011100011111011111111111011111011111110110011111001111110111111001111100010111010111011001100100011111011111111111110101111111111001111111100111111001111011111111000111111111111111011101010111111111101111110111111111110101111111110111100111011110111111111100111111111111111111111111100111111001100111111011111010111101111111111111001100110111010111111111111101111111110111011111011111111111011101101111111100011110011111001111110100111101111111110111110111111110011111010011000011010101110111110011111100110110101111111001111000110101111100011111001101010000101101111111,,,75,24,125,12.5,709,37,5,291,88,30
18,29,13,200,1000,0000000011010010100001110010001001011000000100001100000001000000000000000001000000001001000001000001000000000010000000000000000000000010100000100001000011010100000000000000000010001000000001001000101010000100000100000100100000000100011000111010001000010100000000110100000010000001000000000110010001010001000111000001100010001100000000010100100000000000000010000110001000000000100000000100010110110000001101010110001010000001001000000000000000100000000101101010101010100011000001110000001000001001000101010001000000010000000000000001011010000000011000101010010001000100000000100000000000000100001100000101111000100000000001100000110000101100000001100000100000110100000001010100000100000100100010000000101100010001001000100010000000001100011000000000001010000000110101100010000000100100010010001000101011010110010100110000001010000000000000001000100000100101000000010010000000000000000001001010000001010100000000001000000110000001001100100100001010001000000000011010001000010000101000000011010000000010,1000110111011110110001111110101001011100110100001100110001001000110000001001100000001111000011001001000011001110000011001100000011001010100011101101000011010100000010000000001011001000000011101000101010101100000110001100100010001100011010111110001010011100000011111100000010001001100000001110010011010001110111000001100010001100000010011100101011001100110010001110001010000000100011000100110111011100101101011110111010001001111000001000100000101000100111101010101011101011000011111010001011001001000111011101000011011000000011001001011011001000011010101010010011000100000010101100000011001000001111001101111010101000000011101100110010101100000011101100100010111100000011011100000111001100100011000000100111010001100010100010110010001100110111000000101010000000100101100110110000101100010010001000101011011110010110111000001010000000000010001000110010110101000010010010100010000000100010001010110001010100100010001000110110000001101111100100111010001100100010011010100000011000100000001111110000001110,,,11,3,196,19.6,233,9,3,767,187,24
