Logs,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/05-21-13-57/log,0c162bba-4b30-4426-a19c-6380b7053c3e,82:F7:B8:F3:75:D1,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,91,2809720f-9c3f-412e-979e-c3ebc5494a34,0,INVALID_STIME,-,-
out/05-21-13-57/log,ed77a4af-cd68-4952-9015-aa6ef577d42c,C6:A3:ED:B3:54:A3,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,461,c86797f2-de8b-4c99-a65b-52b096b0c823,0,INVALID_STIME,-,-
out/05-21-13-57/log,674bd363-c071-477b-a0be-8a16789a88ec,12:2E:D1:B4:94:93,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,381,ef8c77f3-da84-4aa6-a00b-887b7e129180,0,INVALID_STIME,-,-
out/05-21-13-57/log,3a4d8bcd-06d9-4d03-a09c-fc7cb5acb011,6E:FA:BE:50:3C:0E,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,161,94878a0d-7f36-4c94-8a21-45205bc366f9,0,INVALID_STIME,-,-
out/05-21-13-57/log,910e1370-a290-4feb-a0d8-c21cfacd2313,86:2C:F8:8B:15:98,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,281,7b70a3fc-d3b1-456d-8c19-d28cead9cb7c,0,INVALID_STIME,-,-
out/05-21-13-57/log,5e410285-ab52-45b8-a2be-dcbefc4a6cd1,7A:0D:4F:F9:3F:85,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,11,6ceb280b-2c6e-4190-beb9-969cc7a10dbe,0,INVALID_STIME,-,-
out/05-21-13-57/log,c84478dd-0af3-4367-9684-5b64f7fecfbc,6A:F6:F5:29:0C:AD,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,31,50c78109-7da4-4f1d-a5b5-873a3f1b4342,0,INVALID_STIME,-,-
out/05-21-13-57/log,41b89152-7117-47ad-b40b-221df7faaa66,D2:40:11:C2:74:F6,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,291,d07b2a12-4e45-42a5-93ba-7dcc187597f3,0,INVALID_STIME,-,-
out/05-21-13-57/log,7ba9651f-00f3-4e1d-96a9-34efff0405c1,2E:C9:70:D3:EC:53,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,81,dddeb0d7-dd86-497f-91cd-789ea98c8fb8,0,INVALID_STIME,-,-
out/05-21-13-57/log,8b5d725b-38b9-4a11-82bd-a8ec4ad37086,A2:FB:16:21:58:2F,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,251,79e4ff05-7aba-4906-aecf-a4964e04330b,0,INVALID_STIME,-,-
out/05-21-13-57/log,3d98b161-64f0-4ea4-a836-2389d5194ae9,56:F2:D2:13:FD:2D,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,1,b3493075-5836-4086-94ad-4660f4a9fcd2,0,INVALID_STIME,-,-
out/05-21-13-57/log,d1bd4b41-1fde-4fa8-bd14-2f40cd856786,42:11:89:53:CA:59,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,21,db46874b-30e3-4d83-88dd-dbc63f62f31d,0,INVALID_STIME,-,-
out/05-21-13-57/log,0f9dae08-54f0-4d03-9300-c56b1df79141,4A:7E:B7:D0:A3:77,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,231,aff646bb-3fba-4d0b-a8eb-46f590931d90,0,INVALID_STIME,-,-
out/05-21-13-57/log,59a28601-e50a-4168-95a1-67e03a320b03,02:0C:8A:16:F9:F8,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,41,313bfc6d-3896-4aa6-b0b2-50edf5fd6caa,0,INVALID_STIME,-,-
out/05-21-13-57/log,affeddaa-d417-4b74-b460-cbf326c2cc0f,0A:E8:2E:43:C9:E5,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,441,e44c7cba-abb0-447c-a623-b74fc4556a6b,0,INVALID_STIME,-,-
out/05-21-13-57/log,06c0e849-ad55-423b-9873-59b4c6c5ab28,3E:87:F5:A4:C3:F4,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,321,cc70a3b3-d96e-43de-8b94-829acd2b65b3,0,INVALID_STIME,-,-
out/05-21-13-57/log,2f13729a-0f4b-4c0a-ab54-fc8e0fb06852,A6:C6:E9:0F:E3:AC,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,171,478cd565-3ce0-42fa-82af-4b8b2c0fa1fb,0,INVALID_STIME,-,-
out/05-21-13-57/log,2266088a-0b66-450f-bc02-803903cc107f,56:6E:B6:77:BB:A4,-1,0,2020-05-21 20:57:02,2020-05-21 20:57:02,271,82ebb8a3-5ff2-4cc9-8945-d4232adc4ca7,0,INVALID_STIME,-,-
