start_time,MAC Addr,IP,imax_value,iavg_value,fmax_value,favg_value
1575504851081,5b:2d:b2:91:44:39,localhost,0.006571531295776367,7.244372367858887e-05,0.005891084671020508,4.930424690246582e-05
1575504855203,67:5f:f3:61:b7:13,localhost,0.00023627281188964844,2.0112037658691405e-05,0.0004608631134033203,2.104473114013672e-05
1575504855261,83:d6:0c:40:14:77,localhost,0.00042724609375,2.2453546524047853e-05,0.0004165172576904297,2.1070718765258788e-05
1575504854090,57:76:d6:66:43:bc,localhost,0.002952098846435547,3.0478954315185545e-05,0.018909931182861328,8.93251895904541e-05
1575504855222,d3:63:03:c5:0c:ac,localhost,0.001825571060180664,1.7771244049072265e-05,0.0009438991546630859,1.6566753387451173e-05
1575504855476,53:74:75:30:3a:b7,localhost,0.00039696693420410156,2.0601749420166015e-05,0.0002181529998779297,2.0089864730834962e-05
1575504855448,c3:1b:f3:08:10:3f,localhost,0.004156827926635742,2.2290945053100587e-05,0.0007839202880859375,1.5487194061279296e-05
1575504855540,5f:61:ef:4f:7d:a3,localhost,0.0031752586364746094,2.3551464080810546e-05,0.0014836788177490234,1.8774032592773437e-05
1575504855556,39:cd:e9:8e:50:f9,localhost,0.0007009506225585938,1.788020133972168e-05,0.003340482711791992,2.863788604736328e-05
1575504855637,d9:ca:87:94:a0:ef,localhost,0.0017843246459960938,2.443861961364746e-05,0.001997709274291992,2.0839691162109375e-05
1575504855786,03:c4:c3:19:e6:11,localhost,0.0022377967834472656,2.1925926208496093e-05,0.002735137939453125,1.8829822540283202e-05
1575504855870,d1:c3:e1:d2:36:53,localhost,0.0012416839599609375,2.404141426086426e-05,0.0023822784423828125,2.0389795303344727e-05
1575504855664,79:95:42:50:c7:21,localhost,0.002482175827026367,2.226138114929199e-05,0.004858732223510742,3.6663532257080076e-05
1575504855712,7b:2d:d7:e0:98:4e,localhost,0.0021004676818847656,2.5914669036865235e-05,0.0033354759216308594,3.30049991607666e-05
1575504856113,ef:8e:51:ff:55:a3,localhost,0.003107786178588867,1.9359827041625975e-05,0.0005543231964111328,1.9647598266601563e-05
1575504855979,af:c5:6c:3f:fa:5b,localhost,0.0013885498046875,2.50091552734375e-05,0.002948760986328125,2.858304977416992e-05
