start_time,MAC Addr,IP,imax_rdseed_value,iavg_rdseed_value,imax_rdrand_value,iavg_rdrand_value,fmax_rdseed_value,favg_rdseed_value,fmax_rdrand_value,favg_rdrand_value
1575514380775,dd:3d:78:e0:a0:1a,localhost,0.004202604293823242,2.952122688293457e-05,0,0,0.0015380382537841797,1.7276716232299806e-05,0,0
1575514381098,97:35:b1:96:c2:ca,localhost,0.002622842788696289,2.8340578079223633e-05,0,0,0.0014629364013671875,2.719449996948242e-05,0,0
1575514380379,47:34:78:48:b1:55,localhost,0.007731437683105469,2.8695058822631836e-05,0,0,0.03134751319885254,3.21683406829834e-05,0,0
1575514380553,2b:8e:a7:cb:bd:69,localhost,0.002716541290283203,2.674241065979004e-05,0,0,0.07803678512573242,3.9551210403442385e-05,0,0
1575514381149,25:db:4e:79:c4:86,localhost,0.002889871597290039,2.3650884628295898e-05,0,0,0.002933979034423828,2.8762149810791017e-05,0,0
1575514379903,27:46:bd:d6:31:01,localhost,0.008371829986572266,3.474926948547363e-05,0,0,0.0015861988067626953,2.0306968688964842e-05,0,0
1575514380609,db:f4:57:23:05:b8,localhost,0.0011916160583496094,1.5239095687866211e-05,0,0,0.0072307586669921875,3.193869590759277e-05,0,0
1575514379689,89:b9:da:86:94:63,localhost,0.0037763118743896484,3.065567016601562e-05,0,0,0.00189971923828125,2.0150899887084962e-05,0,0
1575514379907,2d:36:a5:9a:2c:97,localhost,0.007486820220947266,2.8856468200683592e-05,0,0,0.0023593902587890625,2.0406055450439454e-05,0,0
1575514380330,57:71:4f:0e:51:50,localhost,0.00439906120300293,2.2692155838012696e-05,0,0,0.005074501037597656,2.321629524230957e-05,0,0
1575514380260,4f:12:6b:2c:ca:75,localhost,0,0,0.003513336181640625,1.9779396057128908e-05,0,0,0.008526086807250977,1.91070556640625e-05
1575514380221,bf:04:e3:ca:53:66,localhost,0,0,0.006674051284790039,2.2745084762573242e-05,0,0,0.008020162582397461,2.1861457824707032e-05
1575514380747,5f:7c:3d:b6:42:45,localhost,0.003953218460083008,3.031449317932129e-05,0,0,0.0012748241424560547,1.9141769409179688e-05,0,0
1575514380901,d1:b5:ca:41:20:c7,localhost,0.004202365875244141,2.392115592956543e-05,0,0,0.005255460739135742,2.647857666015625e-05,0,0
1575514381181,49:63:47:d4:4d:73,localhost,0.0036163330078125,2.0189714431762694e-05,0,0,0.004349708557128906,2.2841310501098632e-05,0,0
1575514380936,c9:41:f2:c8:d1:bc,localhost,0.004233837127685547,2.315382957458496e-05,0,0,0.005959987640380859,2.6833152770996095e-05,0,0
1575514381095,4b:7a:b3:12:7a:3d,localhost,0.00558924674987793,3.008918762207031e-05,0,0,0.0023221969604492188,2.1159029006958008e-05,0,0
1575514381262,4f:c9:02:a1:ad:70,localhost,0.0045626163482666016,2.9580307006835937e-05,0,0,0.0070569515228271484,2.252388000488281e-05,0,0
1575514380994,79:6b:4a:47:f5:90,localhost,0.007321596145629883,3.290081024169922e-05,0,0,0.0012638568878173828,1.7798948287963868e-05,0,0
1575514381482,f1:1b:4e:3d:f8:ca,localhost,0.006003618240356445,2.8508281707763672e-05,0,0,0.0025479793548583984,2.756056785583496e-05,0,0
1575514380040,ef:69:c7:ca:40:8a,localhost,0.005502939224243164,4.496979713439941e-05,0,0,0.0016942024230957031,2.2262763977050782e-05,0,0
1575514380360,bf:77:a5:4d:80:2e,localhost,0.005600929260253906,4.037132263183594e-05,0,0,0.004488229751586914,3.251581192016602e-05,0,0
1575514380786,f5:ed:37:8e:ab:ea,localhost,0.00590825080871582,3.0664920806884764e-05,0,0,0.0020570755004882812,1.8608713150024415e-05,0,0
1575514380256,5d:9f:ef:02:19:0f,localhost,0.008099079132080078,4.050102233886719e-05,0,0,0.002183198928833008,2.1120691299438478e-05,0,0
1575514380933,93:f5:23:5d:40:43,localhost,0.0042650699615478516,3.333921432495117e-05,0,0,0.003061056137084961,2.035393714904785e-05,0,0
1575514380558,19:e1:96:9e:8e:25,localhost,0,0,0.019823551177978516,3.29010009765625e-05,0,0,0.0014884471893310547,1.552767753601074e-05
1575514380406,71:1d:33:de:f5:69,localhost,0.010572671890258789,4.015316963195801e-05,0,0,0.005013942718505859,2.9375123977661134e-05,0,0
1575514381099,c9:78:d6:d7:ce:4c,localhost,0.00591278076171875,2.7365541458129882e-05,0,0,0.00827479362487793,2.2076082229614258e-05,0,0
1575514381119,cf:53:01:e8:76:59,localhost,0.004006862640380859,2.7007389068603514e-05,0,0,0.007833719253540039,2.6477813720703124e-05,0,0
1575514379939,7d:78:35:60:79:da,localhost,0.006826877593994141,4.0201139450073244e-05,0,0,0.002720355987548828,2.1261835098266602e-05,0,0
1575514382755,13:c7:4d:0b:19:0d,localhost,0.0009145736694335938,1.630535125732422e-05,0,0,0.0021305084228515625,2.0563364028930663e-05,0,0
1575514382797,db:c9:b4:03:52:98,localhost,0.0011782646179199219,1.6637754440307617e-05,0,0,0.0020377635955810547,1.9615840911865234e-05,0,0
1575514380820,8f:90:d7:d5:0c:f3,localhost,0.007781267166137695,2.8302621841430664e-05,0,0,0.002545595169067383,2.3168468475341798e-05,0,0
1575514380050,53:5d:87:1f:61:0e,localhost,0.0052547454833984375,3.9112615585327146e-05,0,0,0.002524852752685547,2.2925472259521486e-05,0,0
1575514381625,41:87:87:92:63:48,localhost,0.004613399505615234,2.6331472396850586e-05,0,0,0.001371145248413086,2.1114397048950194e-05,0,0
1575514380898,79:53:00:37:f5:52,localhost,0.005960226058959961,2.7312088012695312e-05,0,0,0.0059354305267333984,2.4909591674804686e-05,0,0
1575514380970,21:ed:e7:44:17:c8,localhost,0.0074121952056884766,2.4294042587280275e-05,0,0,0.0054128170013427734,2.5685644149780274e-05,0,0
1575514381870,1f:cf:8d:28:28:c1,localhost,0.0018281936645507812,2.4697446823120117e-05,0,0,0.0031099319458007812,2.194323539733887e-05,0,0
1575514380508,e5:19:36:e7:bb:12,localhost,0.03067803382873535,3.9880657196044923e-05,0,0,0.002557992935180664,2.2256183624267577e-05,0,0
1575514381177,67:1a:4d:ce:92:0f,localhost,0.00402069091796875,2.8642749786376952e-05,0,0,0.005396127700805664,3.0332136154174805e-05,0,0
1575514381536,b3:aa:58:42:7a:cf,localhost,0.02997136116027832,2.780003547668457e-05,0,0,0.0013422966003417969,2.154240608215332e-05,0,0
1575514381412,d5:ab:ab:5f:8a:6a,localhost,0.006591796875,2.887301445007324e-05,0,0,0.0026040077209472656,1.872997283935547e-05,0,0
1575514380781,3d:fb:a9:41:a0:93,localhost,0.0055463314056396484,2.9093360900878905e-05,0,0,0.002746105194091797,2.469625473022461e-05,0,0
1575514381236,a3:02:f9:5d:44:9a,localhost,0.003414630889892578,3.3910560607910157e-05,0,0,0.00429081916809082,3.21558952331543e-05,0,0
1575514381127,09:98:4d:96:00:7e,localhost,0.013427734375,3.5506582260131835e-05,0,0,0.0052678585052490234,3.171272277832031e-05,0,0
1575514380396,0f:fc:ac:6e:c9:62,localhost,0.013347387313842773,3.90106201171875e-05,0,0,0.00162506103515625,1.8958234786987304e-05,0,0
1575514380723,dd:e5:cb:9d:f2:41,localhost,0.005400657653808594,3.4548377990722654e-05,0,0,0.0028781890869140625,2.1196603775024414e-05,0,0
1575514380963,6f:89:1e:77:03:75,localhost,0.006512641906738281,3.026108741760254e-05,0,0,0.006220340728759766,2.8302049636840822e-05,0,0
1575514381362,b3:ca:ab:ce:29:0c,localhost,0.0036895275115966797,2.364811897277832e-05,0,0,0.003612518310546875,2.73104190826416e-05,0,0
1575514380440,b9:b1:bd:8a:56:c3,localhost,0.007969141006469727,4.470152854919434e-05,0,0,0.004815340042114258,2.3856163024902344e-05,0,0
1575514381330,fb:4c:71:f8:33:d7,localhost,0.004143714904785156,2.2189903259277345e-05,0,0,0.0032618045806884766,2.8455209732055665e-05,0,0
1575514380984,83:92:44:eb:a9:11,localhost,0.0073223114013671875,2.471737861633301e-05,0,0,0.0038542747497558594,3.578009605407715e-05,0,0
1575514380961,f3:05:e0:fc:75:5d,localhost,0.006279468536376953,3.4393978118896486e-05,0,0,0.004334926605224609,2.97238826751709e-05,0,0
1575514383188,c5:3d:79:37:b9:f2,localhost,0.0013871192932128906,1.6430234909057616e-05,0,0,0.0011091232299804688,1.9824123382568358e-05,0,0
1575514380892,51:db:a8:bb:1a:90,localhost,0.011925458908081055,3.8192272186279296e-05,0,0,0.0012693405151367188,2.0761680603027343e-05,0,0
1575514382152,d7:99:00:96:32:5a,localhost,0.002201080322265625,2.0592355728149413e-05,0,0,0.004639625549316406,2.6668787002563476e-05,0,0
1575514380756,25:bc:88:bd:9d:a0,localhost,0.010236263275146484,3.8046932220458984e-05,0,0,0.0026612281799316406,1.9517946243286132e-05,0,0
1575514381948,5d:7b:5a:06:f2:1e,localhost,0.0073130130767822266,2.606058120727539e-05,0,0,0.002526998519897461,2.3335838317871094e-05,0,0
1575514380951,dd:d1:57:79:c8:99,localhost,0.013898849487304688,3.694772720336914e-05,0,0,0.006887197494506836,3.51593017578125e-05,0,0
1575514381207,a9:2d:0d:a5:7b:8d,localhost,0.00438237190246582,3.077521324157715e-05,0,0,0.0019698143005371094,2.8516530990600586e-05,0,0
1575514380862,bd:d7:d4:84:bd:1f,localhost,0.021624088287353516,3.5662460327148434e-05,0,0,0.005662679672241211,3.2636213302612305e-05,0,0
1575514381352,0f:b4:00:38:96:5c,localhost,0.006088733673095703,4.0347862243652344e-05,0,0,0.004244327545166016,3.058485984802246e-05,0,0
1575514381227,a5:f2:61:70:68:54,localhost,0.005578279495239258,3.377499580383301e-05,0,0,0.007314920425415039,3.596663475036621e-05,0,0
1575514381345,8f:48:a1:8e:d7:ae,localhost,0.008955955505371094,3.877439498901367e-05,0,0,0.002407550811767578,2.536587715148926e-05,0,0
1575514381667,0f:42:7a:81:46:e5,localhost,0.006085634231567383,3.712940216064453e-05,0,0,0.005169868469238281,3.6388254165649415e-05,0,0
1575514381558,3f:27:df:5c:b8:8f,localhost,0.0067942142486572266,3.8634300231933596e-05,0,0,0.004602909088134766,2.7587413787841795e-05,0,0
1575514381690,d1:50:a8:67:91:40,localhost,0.004369258880615234,2.9282236099243165e-05,0,0,0.006660938262939453,3.315730094909668e-05,0,0
1575514382469,9d:71:af:fd:a9:27,localhost,0.002889871597290039,3.376317024230957e-05,0,0,0.0031614303588867188,3.228340148925781e-05,0,0
1575514382004,89:e8:06:91:62:db,localhost,0.04663348197937012,5.372805595397949e-05,0,0,0.0019423961639404297,1.7626476287841798e-05,0,0
1575514381809,65:df:fc:a2:03:fb,localhost,0.023579120635986328,3.872017860412598e-05,0,0,0.003114461898803711,2.3940181732177736e-05,0,0
1575514381965,51:b9:cc:43:43:5c,localhost,0.01015782356262207,4.141278266906738e-05,0,0,0.0008144378662109375,1.716117858886719e-05,0,0
1575514380017,c1:ec:12:66:76:fe,localhost,0.008006572723388672,4.031057357788086e-05,0,0,0.003149271011352539,2.6444149017333984e-05,0,0
1575514382399,4f:7e:da:19:fb:e6,localhost,0.008802175521850586,4.174728393554687e-05,0,0,0.0019366741180419922,1.7941904067993164e-05,0,0
1575514381465,33:60:5f:e7:7b:c8,localhost,0.006697654724121094,5.257177352905274e-05,0,0,0.004920005798339844,3.621516227722168e-05,0,0
1575514381401,6b:5e:f8:bf:31:56,localhost,0.00631403923034668,5.72601318359375e-05,0,0,0.006412029266357422,3.374009132385254e-05,0,0
1575514380373,91:ad:e7:e5:9a:7e,localhost,0,0,0.004351139068603516,1.195521354675293e-05,0,0,0.004230022430419922,1.524491310119629e-05
1575514382400,5f:2c:08:5f:09:84,localhost,0.0034301280975341797,3.639321327209473e-05,0,0,0.006640911102294922,3.820619583129883e-05,0,0
1575514379794,e3:e0:21:b6:90:9f,localhost,0.007809638977050781,6.197915077209473e-05,0,0,0.0039522647857666016,2.749934196472168e-05,0,0
1575514382632,7b:ab:7c:dc:3c:74,localhost,0.013417720794677734,5.2277517318725585e-05,0,0,0.007037162780761719,3.719611167907715e-05,0,0
1575514380455,45:cd:af:8d:74:84,localhost,0.0158388614654541,6.577033996582031e-05,0,0,0.0032494068145751953,2.6428937911987304e-05,0,0
