Logs,Boot ID,MAC Address,Bit-1 Sample,Base Sample,Phase 3,Bit-0 Sample,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-10-00-28/log,59132a47-390f-44e5-a5c6-e7a126f82d3f,F2:D0:94:3A:10:8B,out/09-10-00-28/bit1_samples59,out/09-10-00-28/base_samples59,328,out/09-10-00-28/bit0_samples59,63,351,3,2020-09-10 07:28:32,2020-09-10 07:30:01,59,1c0d0cab-ce62-4993-a671-f068e7884c5f,1,
out/09-10-00-28/log,9535d3c9-0d7b-4847-b0bc-25de0c447834,B6:7D:91:21:64:0A,out/09-10-00-28/bit1_samples555,out/09-10-00-28/base_samples555,908,out/09-10-00-28/bit0_samples555,854,854,3,2020-09-10 07:28:35,2020-09-10 07:30:01,555,2d2bcc7e-690f-4fa1-b340-76f42545c112,1,
out/09-10-00-28/log,d753e785-77a3-4ba5-982a-54bb3a26d118,DA:99:F4:D6:67:20,out/09-10-00-28/bit1_samples909,out/09-10-00-28/base_samples909,909,out/09-10-00-28/bit0_samples909,936,909,3,2020-09-10 07:28:39,2020-09-10 07:30:01,909,227c51c9-5b24-4b1c-95b4-46fb2c8d2bb5,1,
out/09-10-00-28/log,12862814-37ec-412d-8663-641b1c53a360,AE:27:ED:3F:B4:35,out/09-10-00-28/bit1_samples416,out/09-10-00-28/base_samples416,488,out/09-10-00-28/bit0_samples416,481,427,3,2020-09-10 07:28:35,2020-09-10 07:30:00,416,e46454c8-cb14-485b-8ad6-7807a373c126,1,
out/09-10-00-28/log,5708c823-6e9d-4491-bec7-3090194f1331,46:B9:F2:3E:09:1B,out/09-10-00-28/bit1_samples261,out/09-10-00-28/base_samples261,312,out/09-10-00-28/bit0_samples261,262,327,3,2020-09-10 07:28:31,2020-09-10 07:30:01,261,1218c18d-9bee-4983-b0c6-a795c8b50482,1,
out/09-10-00-28/log,c5874834-ffc8-4332-abe2-5041349ec5b7,7A:DB:F9:92:6D:31,out/09-10-00-28/bit1_samples904,out/09-10-00-28/base_samples904,949,out/09-10-00-28/bit0_samples904,929,951,3,2020-09-10 07:28:50,2020-09-10 07:30:00,904,9c081181-a8bb-4103-bb5d-666bd8f6542d,1,
out/09-10-00-28/log,9c54857c-a9e9-4b22-9961-ef7671d842e1,B2:E4:EF:06:0E:47,out/09-10-00-28/bit1_samples794,out/09-10-00-28/base_samples794,800,out/09-10-00-28/bit0_samples794,797,1008,3,2020-09-10 07:28:36,2020-09-10 07:30:00,794,8e52e666-26af-470c-be9f-4f8ac1c570a0,1,
out/09-10-00-28/log,0a02d050-be4b-4f47-ab7c-777b7d12451d,6A:EC:A8:DE:58:9C,out/09-10-00-28/bit1_samples480,out/09-10-00-28/base_samples480,489,out/09-10-00-28/bit0_samples480,621,480,3,2020-09-10 07:28:44,2020-09-10 07:30:00,480,664edc26-4ab1-4a8a-869e-cf51f22fe834,1,
out/09-10-00-28/log,21ea1237-f92e-4bad-a769-d08425212f83,42:A6:6C:BA:44:19,out/09-10-00-28/bit1_samples930,out/09-10-00-28/base_samples930,936,out/09-10-00-28/bit0_samples930,997,930,3,2020-09-10 07:28:44,2020-09-10 07:30:00,930,5f6b8dd2-676c-4f74-8d2f-a4c5de6c9470,1,
out/09-10-00-28/log,c9d7327a-6dda-4f63-81c1-5f52bf1491ea,E6:11:F7:0D:A9:ED,out/09-10-00-28/bit1_samples867,out/09-10-00-28/base_samples867,969,out/09-10-00-28/bit0_samples867,918,867,3,2020-09-10 07:28:45,2020-09-10 07:30:01,867,07ff9f55-b91e-4821-91a2-b566172e3684,1,
out/09-10-00-28/log,15ec5cda-8116-4c43-81c2-eea40329e041,8A:1C:6E:E1:C5:C4,out/09-10-00-28/bit1_samples224,out/09-10-00-28/base_samples224,247,out/09-10-00-28/bit0_samples224,512,238,3,2020-09-10 07:28:31,2020-09-10 07:30:00,224,f4ce21b0-404b-49d9-81e5-35e7cd09cc3d,1,
out/09-10-00-28/log,81a07f14-460a-4c9b-8b02-25e35b7ab4c4,9E:92:AE:EC:F5:54,out/09-10-00-28/bit1_samples250,out/09-10-00-28/base_samples250,296,out/09-10-00-28/bit0_samples250,468,255,3,2020-09-10 07:28:31,2020-09-10 07:30:00,250,23d2e727-e483-494b-8609-5c40371594d9,1,
out/09-10-00-28/log,35fb128f-b8e0-45e0-82bc-f96d68fbb504,DE:38:A5:F2:F5:ED,out/09-10-00-28/bit1_samples771,out/09-10-00-28/base_samples771,771,out/09-10-00-28/bit0_samples771,771,771,3,2020-09-10 07:28:51,2020-09-10 07:30:01,771,a53436fd-3b54-4b7c-ab1b-e2d33d11f249,1,
