Id,RefDist,ClusterDist
496,2.67,5.33
667,5.33,4.67
935,0.0,0.0
710,2.67,4.0
136,3.0,2.67
557,3.33,3.33
105,3.67,4.0
111,5.0,4.67
338,3.0,4.67
798,0.0,0.0
619,4.33,4.67
908,0.0,0.0
546,3.33,2.0
163,6.0,3.33
283,5.0,2.67
835,0.0,0.0
640,4.0,2.0
135,4.33,5.33
647,1.33,2.67
155,2.0,2.67
157,4.33,5.33
289,4.67,4.0
282,5.33,4.67
364,5.33,5.33
199,2.67,2.67
36,4.67,5.33
358,4.0,4.67
426,4.0,4.0
502,3.67,4.0
564,0.33,0.67
354,0.0,0.0
913,0.0,0.0
606,5.67,4.0
184,5.33,3.33
444,4.0,5.33
321,4.67,2.67
394,3.67,5.33
479,0.0,0.0
160,2.67,4.0
961,2.0,3.33
786,3.67,3.33
109,6.33,4.0
371,6.0,4.67
94,3.67,4.67
226,0.0,0.0
170,0.0,0.0
150,5.33,6.0
238,5.0,5.33
154,4.0,6.0
476,4.0,5.33
260,4.0,4.67
946,0.0,0.0
378,1.33,2.67
475,0.0,0.0
265,4.33,2.67
754,3.67,5.33
738,0.0,0.0
491,0.0,0.0
169,5.33,3.33
920,0.67,0.67
333,5.67,4.67
152,2.0,2.67
781,3.33,4.0
304,3.0,5.33
683,5.33,2.67
777,0.0,0.0
125,6.67,4.0
145,2.0,3.33
91,6.67,1.33
682,4.0,5.33
126,6.33,4.67
631,5.0,5.33
568,0.0,0.0
517,6.0,2.67
19,4.33,4.67
196,3.0,2.67
147,3.33,4.67
780,2.67,4.0
553,2.67,4.0
219,0.0,0.0
869,3.33,4.67
300,3.67,2.67
102,5.33,6.0
412,2.0,4.0
436,2.0,4.0
506,4.67,5.33
529,3.0,2.67
255,0.0,0.0
503,1.67,2.0
634,4.33,3.33
137,4.33,2.0
256,0.0,0.0
286,6.33,4.0
212,3.67,4.67
452,4.33,3.33
120,4.0,5.33
325,5.0,4.0
201,6.0,4.67
276,4.33,3.33
771,3.0,2.67
382,5.0,6.67
772,5.33,2.67
473,5.33,3.33
334,5.0,2.0
235,0.0,0.0
846,3.67,2.0
968,0.67,1.33
767,0.0,0.0
543,5.67,3.33
977,2.0,3.33
716,4.0,5.33
404,3.67,4.67
664,1.33,2.67
182,0.0,0.0
134,4.0,4.0
548,2.33,2.67
118,3.67,6.0
287,3.33,4.67
508,4.33,6.0
542,5.33,4.0
900,2.67,4.0
902,4.0,4.0
868,4.33,4.67
814,6.33,3.33
635,0.0,0.0
950,2.67,4.0
583,3.33,4.0
77,7.0,4.0
940,1.0,2.0
709,2.67,4.67
657,5.0,4.0
398,3.67,4.67
735,0.0,0.0
547,0.0,0.0
578,0.0,0.0
673,3.67,4.67
427,5.67,4.67
151,5.0,4.67
236,4.0,4.67
64,5.67,3.33
349,3.0,4.67
818,3.67,4.0
782,4.0,4.0
121,4.0,4.67
409,4.33,2.0
945,1.33,2.67
418,4.0,4.67
622,1.33,2.0
666,2.67,3.33
326,3.67,5.33
907,1.33,2.0
188,5.67,2.67
862,0.0,0.0
765,6.33,2.67
565,0.0,0.0
794,3.0,3.33
22,5.33,5.33
259,2.67,4.0
983,0.0,0.0
193,4.33,4.0
883,0.0,0.0
434,3.67,4.0
258,1.67,3.33
223,1.67,3.33
308,2.33,4.0
383,2.33,4.67
204,3.67,4.67
591,0.0,0.0
912,2.33,4.0
406,3.33,2.67
730,3.0,2.67
417,0.0,0.0
323,0.0,0.0
694,0.0,0.0
203,5.0,2.0
266,6.0,2.0
396,4.67,4.67
438,6.33,4.0
988,0.0,0.0
227,5.67,5.33
356,0.0,0.0
628,3.67,2.67
187,4.67,4.0
864,3.33,3.33
318,4.67,5.33
348,5.33,5.33
633,3.33,4.67
327,2.0,4.0
761,1.33,1.33
510,7.33,3.33
842,0.33,0.67
672,0.67,1.33
443,4.67,5.33
393,3.67,4.0
149,4.67,2.67
320,2.0,4.0
183,6.67,4.67
787,4.0,2.0
526,5.0,2.67
112,5.0,4.0
532,1.33,2.67
274,2.67,3.33
197,3.0,3.33
460,3.33,3.33
575,6.0,4.0
837,6.33,2.67
146,5.67,4.67
301,4.0,4.67
132,3.0,4.0
106,6.0,6.0
341,0.0,0.0
206,4.33,2.67
159,0.0,0.0
698,6.0,3.33
142,0.0,0.0
505,4.0,3.33
421,3.0,4.67
316,1.0,2.0
216,1.33,2.67
820,3.67,4.67
244,3.67,5.33
824,0.0,0.0
616,6.33,2.0
688,0.0,0.0
352,3.0,5.33
659,5.33,4.0
511,7.33,3.33
482,1.67,2.0
809,3.67,3.33
313,3.0,2.0
117,4.0,4.67
173,5.33,4.0
133,3.33,2.0
453,4.67,5.33
464,3.0,1.33
295,4.0,4.67
764,3.33,4.67
701,4.0,5.33
534,0.0,0.0
292,5.33,0.67
252,3.33,4.67
366,4.67,4.67
458,2.67,2.67
176,5.0,2.0
167,3.33,4.0
415,1.0,2.0
554,5.0,4.0
561,3.67,3.33
597,1.33,2.67
229,1.67,3.33
228,3.0,4.0
621,3.67,5.33
733,4.33,5.33
587,5.67,5.33
54,4.33,6.0
769,4.0,2.67
303,4.0,5.33
579,3.33,2.67
245,5.0,2.67
309,4.0,4.0
649,3.67,4.67
380,3.33,4.0
367,4.33,6.0
596,5.0,2.0
315,1.0,2.0
481,5.33,4.0
572,2.33,4.67
880,2.0,4.0
586,2.67,3.33
829,2.67,3.33
917,3.67,4.0
844,2.67,4.0
766,0.0,0.0
732,1.67,2.67
459,0.0,0.0
312,3.0,4.0
629,2.0,3.33
718,4.33,4.67
161,3.67,4.67
927,3.0,4.0
518,5.0,3.33
428,3.0,4.67
742,0.0,0.0
737,0.67,1.33
654,5.67,4.0
972,0.67,1.33
788,1.33,2.67
643,0.0,0.0
648,4.33,2.67
962,1.0,2.0
385,1.33,2.67
221,3.33,4.0
424,4.67,3.33
101,0.0,0.0
374,2.0,4.0
703,0.0,0.0
712,1.33,2.67
143,3.67,4.67
714,3.0,5.33
708,2.67,2.0
311,3.67,5.33
731,0.0,0.0
744,1.67,0.67
746,2.33,4.67
943,0.0,0.0
626,3.0,4.67
601,3.0,4.67
432,2.33,3.33
451,5.67,5.33
281,5.67,3.33
504,4.33,6.0
389,1.67,2.67
324,5.67,4.0
991,1.67,3.33
987,0.0,0.0
423,4.0,3.33
213,0.0,0.0
512,2.67,4.0
719,6.0,1.33
617,5.33,1.33
347,3.33,5.33
431,0.0,0.0
827,6.0,4.0
612,4.33,4.67
524,3.33,3.33
158,5.33,6.67
386,0.67,1.33
758,0.0,0.0
691,4.0,4.67
752,0.0,0.0
722,1.67,3.33
877,1.33,2.67
186,6.33,2.0
408,2.33,2.67
625,4.0,2.67
471,0.0,0.0
277,4.0,5.33
486,5.67,4.67
819,1.33,1.33
537,5.0,2.67
384,3.0,3.33
671,3.33,5.33
602,3.0,4.67
595,4.33,5.33
198,2.67,4.0
220,0.0,0.0
965,0.0,0.0
302,5.67,4.0
440,0.0,0.0
509,0.0,0.0
297,4.67,4.0
891,0.0,0.0
156,5.33,4.67
863,4.0,4.0
519,4.0,2.67
567,0.0,0.0
681,4.0,4.0
275,2.67,3.33
441,8.0,2.0
507,5.33,6.67
878,0.33,0.67
811,3.67,2.67
535,5.33,3.33
858,0.0,0.0
477,0.0,0.0
12,6.0,5.33
845,2.67,4.0
107,6.0,4.0
335,6.33,3.33
580,3.0,4.67
413,2.67,4.67
330,4.33,4.67
381,5.0,5.33
538,4.67,3.33
540,0.0,0.0
131,3.67,5.33
329,4.0,4.0
331,4.0,1.33
717,3.67,4.0
162,4.0,2.67
830,5.33,2.0
435,5.33,6.0
879,2.0,4.0
951,0.0,0.0
437,6.67,3.33
687,0.0,0.0
362,5.67,2.67
699,4.0,6.0
774,2.0,4.0
250,6.33,3.33
604,0.0,0.0
693,0.0,0.0
636,1.67,3.33
947,0.0,0.0
707,0.0,0.0
373,2.33,4.67
536,1.33,2.67
448,4.33,6.0
369,1.67,2.67
239,5.67,3.33
489,0.67,1.33
834,1.33,2.0
148,4.33,3.33
944,2.0,4.0
582,5.0,4.0
702,1.67,3.33
1,5.0,6.0
263,3.67,4.0
494,4.33,5.33
401,1.33,2.0
114,7.33,4.0
465,3.33,4.0
185,0.0,0.0
291,6.33,4.67
563,1.67,2.67
679,3.0,5.33
792,2.67,4.0
487,5.67,4.67
293,4.33,2.0
566,2.0,3.33
773,4.67,5.33
823,2.67,3.33
472,5.33,5.33
545,2.33,3.33
728,4.33,5.33
140,6.0,1.33
573,1.67,3.33
836,4.0,5.33
873,1.0,1.33
600,2.33,3.33
668,1.67,3.33
749,4.0,4.67
805,3.67,4.67
446,4.33,4.0
923,2.33,3.33
882,4.0,1.33
310,7.0,1.33
