Logs,Boot ID,MAC Address,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
Yes,a67834da-cdda-4dc2-b778-c35ee4efab01,66:A4:0B:52:23:F0,191,191,2,2020-04-03 19:54:26,2020-04-03 19:54:52,191,22275097-c5b8-4dba-8f99-28d325107dde,1,
Yes,550aea76-e08c-4625-a169-a8d4f7ea410a,8E:3B:D7:54:EF:3C,491,491,2,2020-04-03 19:54:26,2020-04-03 19:54:52,491,75b27922-fc27-433a-aa87-b917afbfa68d,1,
Yes,d9571fb4-c6d4-4af3-ad39-5df1e997dece,EE:A0:F6:9D:9A:4F,1023,509,2,2020-04-03 19:54:26,2020-04-03 19:54:52,301,fb7f1246-4d79-44c3-9ecd-9d4910c624f9,1,
Yes,be070526-dffc-40fd-adb5-e45360168881,76:D8:CD:D0:6D:AF,141,141,2,2020-04-03 19:54:26,2020-04-03 19:54:52,141,bcac0a12-3a18-49c0-a784-3a6778eb022c,1,
Yes,d6f80255-fec8-4019-80c2-60f4570fc637,72:2D:49:CB:F4:7C,401,401,2,2020-04-03 19:54:26,2020-04-03 19:54:52,401,a082df5f-2062-43d4-9c22-2dab8e9a13b9,1,
Yes,31d51ea1-1101-49c5-be21-32416a810dd3,76:09:41:AE:54:A5,351,351,2,2020-04-03 19:54:26,2020-04-03 19:54:52,351,5e10af17-1fd0-485b-b9bb-273ad0622dc4,1,
Yes,23f60766-214c-4ff2-8914-c1a5a5f6d930,0E:46:2C:AE:DD:61,171,546,2,2020-04-03 19:54:26,2020-04-03 19:54:52,171,3d886c27-f75e-4c1a-9826-857ef538a459,1,
Yes,5426bec1-439b-4493-a412-63f95d470b7e,92:CD:7C:47:31:5B,431,431,2,2020-04-03 19:54:26,2020-04-03 19:54:52,431,2e10bfa7-c18b-4888-bc71-650449126586,1,
Yes,98c8a648-f758-41e8-ba4c-d6b14f0a8035,EE:4C:B5:5B:4B:4E,11,514,2,2020-04-03 19:54:26,2020-04-03 19:54:52,11,f54f90f8-47eb-400d-a093-bfa0fd44a224,1,
Yes,8ef0e81a-f86c-4a26-9778-f06a3e0255f1,92:7A:A1:AE:5F:C3,241,244,2,2020-04-03 19:54:26,2020-04-03 19:54:52,241,73c57b95-8925-4ebd-90e3-7f6723e8ef2a,1,
Yes,5e7bc18d-d222-49dc-8def-b70d126a1510,FA:2E:0C:C3:4A:E3,161,512,2,2020-04-03 19:54:26,2020-04-03 19:54:52,161,0e5fb25b-e4f2-4bee-b5a5-d20d359dd599,1,
Yes,1c26f48a-8707-40db-b570-4a4cbca28f6a,92:1B:D3:86:EA:EE,471,471,2,2020-04-03 19:54:26,2020-04-03 19:54:52,471,24792890-03a8-4c8c-bbae-63fd8219be60,1,
Yes,3115b1d8-f81f-4678-90b6-21ef59ec6695,1A:F0:37:27:4B:FE,71,71,2,2020-04-03 19:54:26,2020-04-03 19:54:52,71,c8c9464b-e607-4e85-a118-cb50b5fd9255,1,
Yes,97a1dc45-0eb6-4d48-a0bf-d8306f226ef1,12:09:07:07:7B:72,381,381,2,2020-04-03 19:54:26,2020-04-03 19:54:52,381,c57b327b-99e9-4885-8a63-1f266b9519b9,1,
Yes,136b0ee7-d7e0-4417-8319-99fdf5c5ece0,EA:44:00:54:3A:B8,211,211,2,2020-04-03 19:54:26,2020-04-03 19:54:52,211,05b6d3c3-564e-4a7e-a972-d0ce5a2f0dc2,1,
Yes,ab957022-e82d-4304-b9c5-ff55461cb908,AA:3C:19:FD:75:6F,111,111,2,2020-04-03 19:54:26,2020-04-03 19:54:52,111,9ad00d0c-a1f4-4679-8420-5eacf8a27fb3,1,
