Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,RErasures,SErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
1,52,26,10,50,00001000110110001100011000110100011001001010101000,11111111111111111111111111111111111111111111111111,,,0,0,31,62.0,19,0,0,31,31,100
3,98,1,10,50,11110111000000111110100001111000111110110110100111,11111111111111111111111111111111111111111111111111,,,0,0,20,40.0,30,0,0,20,20,100
4,89,72,10,50,11000001000101100001111111011000100101101111001000,11111111111111111111111111111111111111111111111111,,,0,0,26,52.0,24,0,0,26,26,100
5,59,51,10,50,01111111111110101101110101111001111111101011001111,11111111111111111111111111111111111111111111111111,,,0,0,12,24.0,38,0,0,12,12,100
8,80,45,10,50,00000000001000000000000000000100000000001000000000,11111111111111111111111111111111111111111111111111,,,0,0,47,94.0,3,0,0,47,47,100
9,84,43,10,50,11111111111111111111101111000001110111111101111101,11111111111111111111111111111111111111111111111111,,,0,0,9,18.0,41,0,0,9,9,100
10,38,35,10,50,00001100101010000000100010000000100000001000001101,11111111111111111111111111111111111111111111111111,,,0,0,38,76.0,12,0,0,38,38,100
11,96,40,10,50,00101000001000100000101100110010000000000100001010,11111111111111111111111111111111111111111111111111,,,0,0,37,74.0,13,0,0,37,37,100
12,75,73,10,50,10011001111110111111110111110101110100110111000111,11111111111111111111111111111111111111111111111111,,,0,0,15,30.0,35,0,0,15,15,100
13,78,14,10,50,10111010111111110101110111111111110111101111111111,11111111111111111111111111111111111111111111111111,,,0,0,8,16.0,42,0,0,8,8,100
14,39,27,10,50,01000000010010010000000000000100001010000010000001,11111101111111111111111111111111111111111111111111,,,0,0,40,80.0,9,0,0,41,40,97
15,92,82,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,0,0.0,50,0,0,0,0,-
16,100,85,10,50,11011101111110111011111110110011111100010111101101,11111111111111111111111111111111111111111111111111,,,0,0,13,26.0,37,0,0,13,13,100
17,44,10,10,50,00011001110011100000000111001110111111011100000001,11111111111111111111111111111111111111111111111111,,,0,0,26,52.0,24,0,0,26,26,100
18,86,42,10,50,01101000000000000000011000001010000000000000010000,11111111111111111111111111111111111111111111111111,,,0,0,42,84.0,8,0,0,42,42,100
19,71,68,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,0,0.0,50,0,0,0,0,-
20,74,67,10,50,00010000010010001010000100100000000000011000000000,11111111111111111111111111111111111111111111111111,,,0,0,41,82.0,9,0,0,41,41,100
22,66,37,10,50,00100000010110111100010001001000110000000111100111,11111111111111111111111111111111111111111111111111,,,0,0,30,60.0,20,0,0,30,30,100
23,99,69,10,50,11011111101011101111101110111110100011101001111011,11111111111111111111111111111111111111111111111111,,,0,0,14,28.0,36,0,0,14,14,100
