Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-18-16-26/log,4174606f-e2af-493c-9db3-708bea0ec846,46:5A:0B:15:83:B7,-1,-1,-1,0,2020-08-18 23:24:30,-1,2020-08-18 23:26:08,3,cf709976-0c8f-497d-9f34-6ae3afc3a96b,1,,-,-
out/08-18-16-26/log,a0527089-c951-433e-81c9-c97a34493246,62:7F:B1:5A:02:6C,-1,-1,-1,0,2020-08-18 23:24:30,-1,2020-08-18 23:26:09,1,bce0bf35-beaf-46a5-ac56-55c909a36fe3,1,,-,-
out/08-18-16-26/log,6c07d994-b4af-4c36-a03c-49fe13f6d42e,96:C6:24:8F:CA:0D,-1,-1,-1,0,2020-08-18 23:24:30,-1,2020-08-18 23:26:09,4,9d261c23-284e-4853-a7d9-6a1f6af79f8a,1,,-,-
