Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-17-08/log,02-03-17-08-22,,169.254.76.1,1,22,7.750517,D6:CA:CE:77:D6:FD,50f5c320-9a88-456d-be5f-70cece02d6d5,2021-02-04 01:08:08,30,2,70,22,-1,2021-02-04 01:09:01,077ac859-aa23-4d29-9d68-657246db4d35,02-03-17-06-61,-,-,-,Yes,DEFAULT,9,-,-
out/02-03-17-08/log,02-03-17-08-38,,169.254.76.1,1,38,7.938102,AE:BE:62:33:20:DB,557d2877-6f1e-49af-ad19-b9357144136a,2021-02-04 01:08:08,30,3,96,90,89,2021-02-04 01:08:52,adb5db68-192a-49b4-91aa-e93d8790a21a,02-03-17-06-85,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-99,,169.254.76.1,1,99,7.874228,A6:DE:F3:5B:D3:FA,8d376e4a-b782-427c-92e6-b3713df87807,2021-02-04 01:08:08,30,3,99,92,68,2021-02-04 01:09:02,209cb78b-5e1c-47a3-a93f-354d17af4bed,02-03-17-06-25,-,-,out/02-03-17-08/bit0_samples99,Yes,DEFAULT,15,-,-
out/02-03-17-08/log,02-03-17-08-35,,169.254.76.1,1,35,7.740137,06:7B:11:D5:2E:3E,a898ca43-5b7a-4cfe-88bd-de76faac8db5,2021-02-04 01:08:08,20,1,35,-1,-1,2021-02-04 01:08:42,85f62c99-713e-41b7-8255-49f07ea37e39,02-03-17-06-42,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-97,,169.254.76.1,1,97,7.863317,42:95:7D:9B:B3:F0,8986d945-d567-47a3-b9cd-65309248f138,2021-02-04 01:08:08,30,3,97,77,69,2021-02-04 01:09:01,0e78913c-7546-49d7-8591-9eacf366636b,02-03-17-06-20,-,-,-,Yes,DEFAULT,16,-,-
out/02-03-17-08/log,02-03-17-08-52,,169.254.76.1,1,52,7.899799,F2:79:0A:8B:0E:25,c4ee4c78-ae8c-40b8-93f3-660962e66374,2021-02-04 01:08:08,30,2,52,36,-1,2021-02-04 01:09:01,a221e697-ceae-45b6-8133-782cd54f8282,02-03-17-06-58,-,-,-,Yes,DEFAULT,17,-,-
out/02-03-17-08/log,02-03-17-08-82,,169.254.76.1,1,82,7.729672,F6:41:87:94:ED:00,435853a3-a10b-40f4-8b9a-11da4a2344e8,2021-02-04 01:08:08,20,1,82,-1,-1,2021-02-04 01:08:42,e9ce316a-81cd-4327-a511-df10b6f05271,02-03-17-06-46,-,-,-,Yes,DEFAULT,-,-,-
out/02-03-17-08/log,02-03-17-08-19,,169.254.76.1,1,19,7.885784,66:AF:26:3A:2C:B3,d33eadb0-ebe4-430f-833c-735fad1eb546,2021-02-04 01:08:08,30,2,19,14,-1,2021-02-04 01:09:01,ff127d4c-1e76-458d-beb4-ffd0f1d72647,02-03-17-06-27,-,-,out/02-03-17-08/bit0_samples19,Yes,DEFAULT,18,-,-
out/02-03-17-08/log,02-03-17-08-93,,169.254.76.1,1,93,7.960915,92:57:2D:35:F3:A6,af5eb54d-f158-4a68-a98f-52ddc1c50c89,2021-02-04 01:08:08,30,2,93,48,-1,2021-02-04 01:09:01,f31c229b-5ab7-47f4-bbef-31a53b883d7f,02-03-17-06-2,-,-,-,Yes,DEFAULT,19,-,-
out/02-03-17-08/log,02-03-17-08-43,,169.254.76.1,1,43,7.906792,AA:01:E1:33:67:3E,008b92a4-cb26-4a06-8740-cdf3862cb5ea,2021-02-04 01:08:08,30,2,43,11,-1,2021-02-04 01:09:01,ff459c59-a41d-4824-9eb9-f922628ecf11,02-03-17-06-79,-,-,-,Yes,DEFAULT,20,-,-
