Logs,Boot ID,MAC Address,Bit-0 Sample,Bit-1 Sample,Base Sample,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/09-10-13-14/log,7f2bb65e-6023-4f5e-838a-ccf13ad9d6ca,8A:D2:D5:D0:16:BE,out/09-10-13-14/bit0_samples489,out/09-10-13-14/bit1_samples489,out/09-10-13-14/base_samples489,489,1,2020-09-10 20:14:02,2020-09-10 20:15:22,489,1cc7f155-8e99-4e3a-b062-11d78406949e,1,
out/09-10-13-14/log,a6615245-3635-4264-9bac-8df7d6cb390a,7A:7D:63:E4:11:CB,out/09-10-13-14/bit0_samples908,out/09-10-13-14/bit1_samples908,out/09-10-13-14/base_samples908,908,1,2020-09-10 20:14:15,2020-09-10 20:15:21,908,1828c3fb-d4d5-4189-8233-7e18d3b324d1,1,
out/09-10-13-14/log,aceb1fe5-68c1-4eb3-b480-90cd4e649a0a,0E:55:82:DD:EE:31,out/09-10-13-14/bit0_samples905,out/09-10-13-14/bit1_samples905,out/09-10-13-14/base_samples905,905,1,2020-09-10 20:14:12,2020-09-10 20:15:22,905,dcaa8f05-0297-4bb9-ba92-9ae4530cce1b,1,
out/09-10-13-14/log,dea9a963-7b1d-4168-9f58-199a1660d444,2E:72:0A:00:22:2B,out/09-10-13-14/bit0_samples965,out/09-10-13-14/bit1_samples965,out/09-10-13-14/base_samples965,965,1,2020-09-10 20:14:25,2020-09-10 20:15:22,965,14a22bae-e1af-4d65-863b-0e1ba1c3c448,1,
out/09-10-13-14/log,ab3cf280-f71d-4a65-8b4d-195d39f1aeb4,8A:CE:D8:34:B1:07,out/09-10-13-14/bit0_samples664,out/09-10-13-14/bit1_samples664,out/09-10-13-14/base_samples664,768,1,2020-09-10 20:14:07,2020-09-10 20:15:21,664,b4c38a78-de50-4b8a-97d8-2b3633f710ef,1,
out/09-10-13-14/log,0ebc9da9-bea8-45e6-ba8f-e4a744c63892,72:A6:45:AF:8A:CD,out/09-10-13-14/bit0_samples999,out/09-10-13-14/bit1_samples999,out/09-10-13-14/base_samples999,999,1,2020-09-10 20:14:20,2020-09-10 20:15:22,999,ce8451e3-a675-4f14-8730-ef397773c1aa,1,
out/09-10-13-14/log,f5678edb-49fc-498a-ac63-be6f8191a106,DE:7B:EE:59:4C:85,out/09-10-13-14/bit0_samples520,out/09-10-13-14/bit1_samples520,out/09-10-13-14/base_samples520,520,1,2020-09-10 20:14:18,2020-09-10 20:15:21,520,0ccc0fe8-f596-4903-a8fd-d94ff811f156,1,
out/09-10-13-14/log,fc2f5a12-3b4b-4f56-bd2f-4818c9ad6190,2A:E8:A1:3A:37:AA,out/09-10-13-14/bit0_samples598,out/09-10-13-14/bit1_samples598,out/09-10-13-14/base_samples598,600,1,2020-09-10 20:14:28,2020-09-10 20:15:21,598,fa6b3756-d480-40e3-9d43-9f6a947e06dc,1,
out/09-10-13-14/log,92697d2c-f5c1-4e29-addd-a35f425ff541,12:74:71:A7:EA:30,out/09-10-13-14/bit0_samples777,out/09-10-13-14/bit1_samples777,out/09-10-13-14/base_samples777,832,1,2020-09-10 20:14:18,2020-09-10 20:15:22,777,d04bca28-2ee2-414d-89f9-8a46fee8511a,1,
out/09-10-13-14/log,3e32561d-2c17-455e-b161-ada44523dfce,72:E0:5F:B4:BA:A8,out/09-10-13-14/bit0_samples975,out/09-10-13-14/bit1_samples975,out/09-10-13-14/base_samples975,975,1,2020-09-10 20:14:06,2020-09-10 20:15:22,975,d85a5915-c091-462d-9390-b31a4cb05c4c,1,
out/09-10-13-14/log,1adda9e7-d29d-46a4-ab48-f18a2efeff98,66:DF:83:AC:64:E8,out/09-10-13-14/bit0_samples889,out/09-10-13-14/bit1_samples889,out/09-10-13-14/base_samples889,889,1,2020-09-10 20:14:22,2020-09-10 20:15:22,889,b5cd9f05-3708-48a5-8e6a-f2e3e6ba6cbb,1,
out/09-10-13-14/log,c208ba8b-0cb1-4515-bb59-7b6b0c9c13fa,DA:68:7C:03:A9:DA,out/09-10-13-14/bit0_samples376,out/09-10-13-14/bit1_samples376,out/09-10-13-14/base_samples376,376,1,2020-09-10 20:14:02,2020-09-10 20:15:21,376,e84c1c1c-638f-4c26-bf74-916bb5a548a8,1,
out/09-10-13-14/log,bf3731e2-78ee-4f26-8b45-1cab9444b75c,C2:97:41:8B:99:4D,out/09-10-13-14/bit0_samples70,out/09-10-13-14/bit1_samples70,out/09-10-13-14/base_samples70,70,1,2020-09-10 20:14:02,2020-09-10 20:15:21,70,bf122145-3f87-4c09-9aa4-df638873cf76,1,
out/09-10-13-14/log,0bd5be84-b5ea-4031-b982-500a78489ddd,A6:FF:CA:74:FC:9F,out/09-10-13-14/bit0_samples823,out/09-10-13-14/bit1_samples823,out/09-10-13-14/base_samples823,823,1,2020-09-10 20:14:16,2020-09-10 20:15:22,823,30f53962-a865-483f-ab98-9f78f4ffd617,1,
out/09-10-13-14/log,6d37889a-64b8-4c35-88f9-b36f4934e1a8,1E:D9:F9:1B:51:B9,out/09-10-13-14/bit0_samples747,out/09-10-13-14/bit1_samples747,out/09-10-13-14/base_samples747,747,1,2020-09-10 20:14:14,2020-09-10 20:15:22,747,6fc7faa8-b01c-4a87-9f75-6e13b40121c2,1,
out/09-10-13-14/log,0b7de141-7b5d-46ed-aff3-e5bd5f17ec1c,66:C5:BA:15:4A:1D,out/09-10-13-14/bit0_samples901,out/09-10-13-14/bit1_samples901,out/09-10-13-14/base_samples901,901,1,2020-09-10 20:14:17,2020-09-10 20:15:22,901,d9485c2e-dd84-427c-bdb9-ae4d881b90f2,1,
out/09-10-13-14/log,12cce139-4ce4-4c5d-893d-ba1bb9b5a1af,96:36:86:06:A6:10,out/09-10-13-14/bit0_samples583,out/09-10-13-14/bit1_samples583,out/09-10-13-14/base_samples583,583,1,2020-09-10 20:14:06,2020-09-10 20:15:22,583,75f0f969-1e9e-4b05-a7f7-2a5044ada090,1,
out/09-10-13-14/log,c2f1ebff-5a28-4c3d-bf38-af76e53434f2,EE:93:4F:EA:71:1D,out/09-10-13-14/bit0_samples532,out/09-10-13-14/bit1_samples532,out/09-10-13-14/base_samples532,656,1,2020-09-10 20:14:13,2020-09-10 20:15:21,532,4a8f67f3-3cfa-4013-a6bf-df0b535eda7b,1,
out/09-10-13-14/log,acd7a003-f0e8-4c64-ade1-5169538bd3aa,1E:64:66:81:48:F0,out/09-10-13-14/bit0_samples746,out/09-10-13-14/bit1_samples746,out/09-10-13-14/base_samples746,768,1,2020-09-10 20:14:22,2020-09-10 20:15:21,746,fdc7e647-e82c-494a-b5c5-fb133a8dab88,1,
out/09-10-13-14/log,ffad7246-518c-4a42-a866-18ab0d0ef58a,4E:3C:A1:A0:62:0D,out/09-10-13-14/bit0_samples712,out/09-10-13-14/bit1_samples712,out/09-10-13-14/base_samples712,712,1,2020-09-10 20:14:07,2020-09-10 20:15:21,712,40232c69-ec35-4a72-8cb8-ef36c253c8b3,1,
out/09-10-13-14/log,c9f7fa51-a220-48e2-af0f-0d5f6a9f290e,02:8B:DD:97:DE:59,out/09-10-13-14/bit0_samples852,out/09-10-13-14/bit1_samples852,out/09-10-13-14/base_samples852,864,1,2020-09-10 20:14:03,2020-09-10 20:15:21,852,8a0d10dd-9b69-46aa-ac31-f17140c46a6f,1,
out/09-10-13-14/log,8bdd4345-a75e-4d4c-ba6b-0e35024ec2d1,42:78:D2:68:BC:85,out/09-10-13-14/bit0_samples953,out/09-10-13-14/bit1_samples953,out/09-10-13-14/base_samples953,953,1,2020-09-10 20:14:02,2020-09-10 20:15:22,953,3b7e6a5c-4d11-498c-b40c-b965eaed62c1,1,
out/09-10-13-14/log,c80c0796-0cc9-407a-b148-0f6bf51ac0fa,FE:6D:96:8F:53:DA,out/09-10-13-14/bit0_samples769,out/09-10-13-14/bit1_samples769,out/09-10-13-14/base_samples769,769,1,2020-09-10 20:14:06,2020-09-10 20:15:22,769,06198380-53fe-49f7-842c-8c1a270ef847,1,
out/09-10-13-14/log,61dda81a-5070-4723-950e-e8156aec5915,06:86:D0:7B:81:4C,out/09-10-13-14/bit0_samples413,out/09-10-13-14/bit1_samples413,out/09-10-13-14/base_samples413,413,1,2020-09-10 20:14:02,2020-09-10 20:15:22,413,b3707534-bc32-43be-a6b1-4ca871a45011,1,
out/09-10-13-14/log,c526fa7b-60b2-46e8-aab7-6044bf9772ff,C2:1C:09:05:69:11,out/09-10-13-14/bit0_samples755,out/09-10-13-14/bit1_samples755,out/09-10-13-14/base_samples755,755,1,2020-09-10 20:14:30,2020-09-10 20:15:22,755,d5ef5e05-4e3e-478f-bbf2-843d8575cf67,1,
out/09-10-13-14/log,f071d13a-8cd6-4f6a-a456-52cbb99466c2,EA:F0:65:1E:3B:DA,out/09-10-13-14/bit0_samples704,out/09-10-13-14/bit1_samples704,out/09-10-13-14/base_samples704,704,1,2020-09-10 20:14:07,2020-09-10 20:15:21,704,a89051ce-9b07-46fc-ba12-afd1301e2cc8,1,
out/09-10-13-14/log,0182247a-ff2b-4c8e-a76b-1a00e6ebae4f,F2:08:0B:44:11:58,out/09-10-13-14/bit0_samples774,out/09-10-13-14/bit1_samples774,out/09-10-13-14/base_samples774,774,1,2020-09-10 20:14:08,2020-09-10 20:15:21,774,eca5632e-131b-49f1-b08b-1d8acb5e445a,1,
out/09-10-13-14/log,c7569406-79d3-43b1-b50b-510b78ac2a65,96:07:C2:B3:D7:A6,out/09-10-13-14/bit0_samples754,out/09-10-13-14/bit1_samples754,out/09-10-13-14/base_samples754,754,1,2020-09-10 20:14:17,2020-09-10 20:15:21,754,4831ee7d-bad3-400d-adfa-fcd5a91b0ae8,1,
out/09-10-13-14/log,fceaa39d-2e47-4bf3-87f0-d99a1b5a15b4,86:D1:EF:B1:A5:F2,out/09-10-13-14/bit0_samples756,out/09-10-13-14/bit1_samples756,out/09-10-13-14/base_samples756,757,1,2020-09-10 20:14:17,2020-09-10 20:15:21,756,be843c1f-6b61-4340-882a-e6da36239578,1,
out/09-10-13-14/log,f176caf3-d255-4bc4-9a9f-f789b8e9270d,1A:FC:72:F4:F2:E7,out/09-10-13-14/bit0_samples418,out/09-10-13-14/bit1_samples418,out/09-10-13-14/base_samples418,432,1,2020-09-10 20:14:02,2020-09-10 20:15:21,418,d9fcb5ab-aec2-477e-a2f9-d2e04d713111,1,
out/09-10-13-14/log,4ed16b78-fcfb-46bd-aa8c-3b33ffb56e28,16:84:DB:B8:9B:CE,out/09-10-13-14/bit0_samples312,out/09-10-13-14/bit1_samples312,out/09-10-13-14/base_samples312,448,1,2020-09-10 20:14:02,2020-09-10 20:15:21,312,35c86eb0-27fb-492a-a289-a30484287b53,1,
out/09-10-13-14/log,c2ecec4e-b797-4e1a-8038-89cdcdc1a76b,9E:AA:36:F7:89:54,out/09-10-13-14/bit0_samples977,out/09-10-13-14/bit1_samples977,out/09-10-13-14/base_samples977,977,1,2020-09-10 20:14:25,2020-09-10 20:15:22,977,090bbc22-55b6-436d-8843-c556fe0bd81d,1,
out/09-10-13-14/log,ec724689-0638-4d6f-9de0-42758109a329,92:0F:29:54:52:1B,out/09-10-13-14/bit0_samples929,out/09-10-13-14/bit1_samples929,out/09-10-13-14/base_samples929,929,1,2020-09-10 20:14:02,2020-09-10 20:15:22,929,e4d529df-c01e-4539-a84b-f35a8193551d,1,
out/09-10-13-14/log,3e427d3a-dd44-49c3-85e6-eeb677ca1a02,5A:F8:9A:6C:4F:23,out/09-10-13-14/bit0_samples408,out/09-10-13-14/bit1_samples408,out/09-10-13-14/base_samples408,408,1,2020-09-10 20:14:02,2020-09-10 20:15:21,408,6203cdd1-1f65-4524-84cf-696365c60623,1,
out/09-10-13-14/log,33a4c43a-9985-41c8-92c2-31fa1e8ca780,D2:D9:21:39:8D:9E,out/09-10-13-14/bit0_samples762,out/09-10-13-14/bit1_samples762,out/09-10-13-14/base_samples762,762,1,2020-09-10 20:14:22,2020-09-10 20:15:21,762,93caee72-4797-4ed9-b9bd-53adfcb95b77,1,
out/09-10-13-14/log,a4e7a215-9f17-46ea-9ec3-6ff7d7e22cf7,EE:67:61:77:CB:28,out/09-10-13-14/bit0_samples623,out/09-10-13-14/bit1_samples623,out/09-10-13-14/base_samples623,623,1,2020-09-10 20:14:20,2020-09-10 20:15:22,623,003b8ba8-26cc-401d-92d2-2cf48a0bd164,1,
out/09-10-13-14/log,3c1b6572-1e3c-49fb-bf47-106b821ad6e0,F6:D0:A2:6B:B0:D0,out/09-10-13-14/bit0_samples835,out/09-10-13-14/bit1_samples835,out/09-10-13-14/base_samples835,835,1,2020-09-10 20:14:17,2020-09-10 20:15:22,835,f4e41f4b-382f-4bb6-9f66-9f52112e883a,1,
out/09-10-13-14/log,5c5ce9de-db1f-46a3-97f6-7393c82a13be,E6:09:D0:FF:00:5F,out/09-10-13-14/bit0_samples780,out/09-10-13-14/bit1_samples780,out/09-10-13-14/base_samples780,780,1,2020-09-10 20:14:20,2020-09-10 20:15:21,780,2983b246-61f1-4955-b3e9-7f13d136c30b,1,
out/09-10-13-14/log,e3c0cae3-40f2-48a1-837a-1c548ab6123b,32:D0:D5:FE:11:0C,out/09-10-13-14/bit0_samples498,out/09-10-13-14/bit1_samples498,out/09-10-13-14/base_samples498,498,1,2020-09-10 20:14:02,2020-09-10 20:15:21,498,209ef331-c44b-4f00-9fea-bd6d1afe86e6,1,
out/09-10-13-14/log,c84d3788-217d-42a5-8c71-1545f706f571,46:92:7E:EC:AF:93,out/09-10-13-14/bit0_samples257,out/09-10-13-14/bit1_samples257,out/09-10-13-14/base_samples257,640,1,2020-09-10 20:14:02,2020-09-10 20:15:21,257,88d49122-9b83-46ea-b4e6-6b266f86faff,1,
out/09-10-13-14/log,9b3da5a9-28f3-4068-8a53-baed7c6fedb6,CA:ED:AC:54:B6:4A,out/09-10-13-14/bit0_samples601,out/09-10-13-14/bit1_samples601,out/09-10-13-14/base_samples601,601,1,2020-09-10 20:14:21,2020-09-10 20:15:22,601,803d63a1-6682-49e3-9cac-76da46cd98c5,1,
out/09-10-13-14/log,c885ade0-f80e-4543-97e4-5de5e9e71d99,6E:F4:86:11:BD:40,out/09-10-13-14/bit0_samples188,out/09-10-13-14/bit1_samples188,out/09-10-13-14/base_samples188,512,1,2020-09-10 20:14:02,2020-09-10 20:15:21,188,9edc8499-670b-470f-922a-c11acc42c961,1,
out/09-10-13-14/log,649c7e06-7a63-4c02-b03f-037daaa81eb4,66:F2:6D:D7:3F:9D,out/09-10-13-14/bit0_samples594,out/09-10-13-14/bit1_samples594,out/09-10-13-14/base_samples594,596,1,2020-09-10 20:14:08,2020-09-10 20:15:21,594,5f134dfe-c9dd-412b-b23a-81c80f4a3968,1,
out/09-10-13-14/log,ca06c260-4a1f-4221-ba44-2713ba262d2b,06:1E:2E:54:7A:9D,out/09-10-13-14/bit0_samples590,out/09-10-13-14/bit1_samples590,out/09-10-13-14/base_samples590,590,1,2020-09-10 20:14:05,2020-09-10 20:15:21,590,fee46c69-03d2-465a-bdc2-0ce8001cbe73,1,
out/09-10-13-14/log,69a0ece0-a63f-4b32-b439-d64c19d1e369,D2:A8:D6:A7:66:FF,out/09-10-13-14/bit0_samples884,out/09-10-13-14/bit1_samples884,out/09-10-13-14/base_samples884,884,1,2020-09-10 20:14:16,2020-09-10 20:15:21,884,eac28270-a821-4159-8eff-7f6ba944fdb8,1,
out/09-10-13-14/log,18f48427-c437-46c0-8a27-96d36e62a64e,5E:7B:97:8D:E2:0D,out/09-10-13-14/bit0_samples986,out/09-10-13-14/bit1_samples986,out/09-10-13-14/base_samples986,986,1,2020-09-10 20:14:10,2020-09-10 20:15:21,986,c0a53cc1-a870-46d2-831c-32d9fee043cf,1,
out/09-10-13-14/log,65a9b54d-ffe5-43f1-8e34-f59cf768c7b6,B6:AB:F1:88:C4:80,out/09-10-13-14/bit0_samples979,out/09-10-13-14/bit1_samples979,out/09-10-13-14/base_samples979,979,1,2020-09-10 20:14:26,2020-09-10 20:15:22,979,5a1fc793-29cb-49a5-b68b-b49c83210004,1,
out/09-10-13-14/log,f098cd34-2581-45de-a192-9667ab316403,C2:55:37:0E:AC:C8,out/09-10-13-14/bit0_samples14,out/09-10-13-14/bit1_samples14,out/09-10-13-14/base_samples14,14,1,2020-09-10 20:14:35,2020-09-10 20:15:21,14,7d954747-b6bb-432e-ab74-dae0d580f3d0,1,
out/09-10-13-14/log,9eec4e28-0505-4511-8afc-0c527e32aa6b,5A:F1:7D:69:C3:B7,out/09-10-13-14/bit0_samples914,out/09-10-13-14/bit1_samples914,out/09-10-13-14/base_samples914,928,1,2020-09-10 20:14:04,2020-09-10 20:15:21,914,66efa1db-8ed0-4038-99cc-30c206e45e60,1,
out/09-10-13-14/log,c91d7252-0479-48de-9917-b4b92d514ce7,46:32:BA:61:11:3D,out/09-10-13-14/bit0_samples641,out/09-10-13-14/bit1_samples641,out/09-10-13-14/base_samples641,641,1,2020-09-10 20:14:16,2020-09-10 20:15:22,641,d4447f07-74f5-4075-8499-73f03178efdc,1,
out/09-10-13-14/log,38da3ece-2ea4-43e3-86d6-644b54ea7779,CE:F9:E9:2B:93:A7,out/09-10-13-14/bit0_samples742,out/09-10-13-14/bit1_samples742,out/09-10-13-14/base_samples742,743,1,2020-09-10 20:14:16,2020-09-10 20:15:21,742,9fcd6245-b94a-49fc-8805-3a0a2490bc6c,1,
out/09-10-13-14/log,2ba21baa-2022-48d4-8629-e3caabee77ce,B6:A3:AB:8E:5C:FD,out/09-10-13-14/bit0_samples761,out/09-10-13-14/bit1_samples761,out/09-10-13-14/base_samples761,762,1,2020-09-10 20:14:15,2020-09-10 20:15:21,761,cf0a9be2-70ea-439c-899b-5ac5310e1c8a,1,
out/09-10-13-14/log,815dd9e9-c23e-4d65-b8a7-a4ea2f1d81c9,3A:77:E1:4E:21:A2,out/09-10-13-14/bit0_samples350,out/09-10-13-14/bit1_samples350,out/09-10-13-14/base_samples350,350,1,2020-09-10 20:14:02,2020-09-10 20:15:21,350,d4f5ff22-48b5-4950-aa79-79401e42d772,1,
out/09-10-13-14/log,b589771c-2049-4418-8389-ca98ff35762c,5A:DA:68:43:30:5D,out/09-10-13-14/bit0_samples556,out/09-10-13-14/bit1_samples556,out/09-10-13-14/base_samples556,556,1,2020-09-10 20:14:05,2020-09-10 20:15:21,556,0dc8a2c3-b6e7-46a6-a07b-3958973078b5,1,
out/09-10-13-14/log,bee9caa3-6f69-40eb-8278-d76a794c803b,4E:8D:9D:F7:8D:A2,out/09-10-13-14/bit0_samples645,out/09-10-13-14/bit1_samples645,out/09-10-13-14/base_samples645,656,1,2020-09-10 20:14:14,2020-09-10 20:15:22,645,97212841-6f12-49d1-9f08-c6b80eba44c2,1,
out/09-10-13-14/log,4117ef24-1017-47e5-aafa-919fc34e6f6c,8A:A2:8D:DD:3B:9E,out/09-10-13-14/bit0_samples669,out/09-10-13-14/bit1_samples669,out/09-10-13-14/base_samples669,669,1,2020-09-10 20:14:05,2020-09-10 20:15:22,669,56015c15-a255-4f42-9d89-c7837f4be8b2,1,
out/09-10-13-14/log,d653a6d4-f9a2-4dad-ae20-469554e403fb,6A:12:DA:A0:AF:09,out/09-10-13-14/bit0_samples897,out/09-10-13-14/bit1_samples897,out/09-10-13-14/base_samples897,897,1,2020-09-10 20:14:17,2020-09-10 20:15:22,897,95dc3231-acc4-46cd-b3e4-9d4be5ffb292,1,
out/09-10-13-14/log,9b193a7c-bc4b-4385-a89d-652729514eec,F6:AB:27:8B:75:30,out/09-10-13-14/bit0_samples776,out/09-10-13-14/bit1_samples776,out/09-10-13-14/base_samples776,784,1,2020-09-10 20:14:18,2020-09-10 20:15:21,776,126564c6-3e98-4dea-b060-3c8928291c27,1,
out/09-10-13-14/log,346b6469-3562-4b16-aee7-7db8d524ac82,5E:CE:90:2C:B1:D8,out/09-10-13-14/bit0_samples352,out/09-10-13-14/bit1_samples352,out/09-10-13-14/base_samples352,352,1,2020-09-10 20:14:02,2020-09-10 20:15:21,352,e63da4ac-e8ec-4bff-82ec-98f2c72a93fa,1,
out/09-10-13-14/log,321dc5b9-bc40-4059-9fd5-8e151090b018,66:47:88:A4:3A:B4,out/09-10-13-14/bit0_samples634,out/09-10-13-14/bit1_samples634,out/09-10-13-14/base_samples634,634,1,2020-09-10 20:14:25,2020-09-10 20:15:21,634,c55be798-70d5-401d-9262-2c2bad991026,1,
