GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-11-12-00-284,1,284,18adb813-b0ef-4f59-afd6-fb1818c84ecb,2020-10-11 19:02:29,128d6320-f6d6-46e7-b414-ed25b356f978,2020-10-11 19:00:37,3,582,582,582,out/10-11-12-00/log,out/10-11-12-00/base_samples284,,out/10-11-12-00/bit1_samples284,out/10-11-12-00/bit0_samples284,5.89026200033643,,1.00287332516271,82:4E:F3:64:0F:67,No,017371402075
10-11-12-00-599,1,599,13853d2e-33f6-4e04-841c-5a0909b0c00b,2020-10-11 19:02:29,3e3dcd5b-621b-4f71-b756-782266c04f6a,2020-10-11 19:00:41,3,599,599,599,out/10-11-12-00/log,out/10-11-12-00/base_samples599,,out/10-11-12-00/bit1_samples599,out/10-11-12-00/bit0_samples599,0,,0.45925105025238,A6:7F:9D:31:3C:3B,No,017371402075
10-11-12-00-692,1,692,c0e7209e-d28b-4169-afca-ae3051fd4272,2020-10-11 19:02:29,f0b29ea6-05df-4edc-b0ff-083c7750ab06,2020-10-11 19:00:47,3,692,692,692,out/10-11-12-00/log,out/10-11-12-00/base_samples692,,out/10-11-12-00/bit1_samples692,out/10-11-12-00/bit0_samples692,0,,0.237123828673965,C2:39:5F:AF:AB:68,No,017371402075
10-11-12-00-539,1,539,380a6ec4-77fd-43ef-8d1b-0d56c4f3eb58,2020-10-11 19:02:29,f3ca0db4-3a51-4952-8b04-ba60e2e614da,2020-10-11 19:00:45,3,544,544,544,out/10-11-12-00/log,out/10-11-12-00/base_samples539,,out/10-11-12-00/bit1_samples539,out/10-11-12-00/bit0_samples539,6.12866341703617,,0.633756877813912,DE:53:4D:92:24:DC,No,017371402075
10-11-12-00-3,1,3,a9030a6f-e0f5-4cc0-8b6e-776f328e2824,2020-10-11 19:02:29,fa77059f-2b4a-45bb-981f-fa0a9e4f5397,2020-10-11 19:00:30,3,429,429,429,out/10-11-12-00/log,out/10-11-12-00/base_samples3,,out/10-11-12-00/bit1_samples3,out/10-11-12-00/bit0_samples3,5.40855650261694,,0.585521810659171,6A:E1:80:F6:B4:A9,No,017371402075
10-11-12-00-670,1,670,51c51ef0-95b1-4b3b-b539-6c6cd83c79b2,2020-10-11 19:02:29,4c4adda8-26b2-4fdb-8ae7-ae13645d1424,2020-10-11 19:00:48,3,805,805,805,out/10-11-12-00/log,out/10-11-12-00/base_samples670,,out/10-11-12-00/bit1_samples670,out/10-11-12-00/bit0_samples670,5.4734529091133,,0.471496293637679,0A:6E:B7:BC:45:C3,No,017371402075
10-11-12-00-637,1,637,38c2c5ed-bdbd-45b3-af4b-bc2781c52090,2020-10-11 19:02:29,f9eb03cc-6e6e-4137-927a-3bf6de339500,2020-10-11 19:00:43,3,637,637,637,out/10-11-12-00/log,out/10-11-12-00/base_samples637,,out/10-11-12-00/bit1_samples637,out/10-11-12-00/bit0_samples637,0,,0.0995746794603117,12:48:FF:2B:5C:18,No,017371402075
10-11-12-00-801,1,801,5af7cdae-3186-498a-b476-569f45ad0df6,2020-10-11 19:02:29,c720c9e7-a780-493b-9da4-7b5fdee8416f,2020-10-11 19:00:52,3,801,801,801,out/10-11-12-00/log,out/10-11-12-00/base_samples801,,out/10-11-12-00/bit1_samples801,out/10-11-12-00/bit0_samples801,0,,0.390946959196485,12:92:AB:3D:7D:A1,No,017371402075
10-11-12-00-949,1,949,0849e29b-e19b-4a3b-b7be-4f539e8460ad,2020-10-11 19:02:29,411239c1-a688-45c9-a179-725e9a09af85,2020-10-11 19:00:58,3,949,949,949,out/10-11-12-00/log,out/10-11-12-00/base_samples949,,out/10-11-12-00/bit1_samples949,out/10-11-12-00/bit0_samples949,0,,0.340697832246259,26:2A:5F:42:AB:C3,No,017371402075
10-11-12-00-108,1,108,5b090d67-fec3-4031-aa0e-3f8d4412e370,2020-10-11 19:02:29,e5505fd9-938e-43ee-91c1-644bf8b31863,2020-10-11 19:00:30,3,778,778,778,out/10-11-12-00/log,out/10-11-12-00/base_samples108,,out/10-11-12-00/bit1_samples108,out/10-11-12-00/bit0_samples108,7.11447871131178,,0.197853882910474,5A:3E:8B:A2:CB:51,No,017371402075
