Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-19-56/log,02-03-19-56-1,,169.254.76.1,1,1,8.022659,AA:7F:7A:03:7E:7A,f6925600-3ae0-4ffb-9653-3c4682826e93,2021-02-04 03:56:16,30,3,88,80,61,2021-02-04 03:57:00,edc170c2-100a-425f-9d14-b8dfef6a96ae,"02-03-19-33-53,02-03-19-34-50,02-03-19-35-89,02-03-19-39-33,02-03-19-42-41,02-03-19-46-55,02-03-19-49-4,02-03-19-52-36",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-77,,169.254.76.1,1,77,7.754305,2A:FC:04:45:E9:BE,55aa4373-ff35-414e-a84a-b1e9373ae245,2021-02-04 03:56:16,30,3,84,83,77,2021-02-04 03:57:00,9c58614a-e77f-40f9-ba8a-57ab6bd2497c,"02-03-19-33-12,02-03-19-34-62,02-03-19-35-53,02-03-19-39-48,02-03-19-42-67,02-03-19-46-5,02-03-19-49-39,02-03-19-52-75",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-47,,169.254.76.1,1,47,7.760632,8A:54:55:F2:32:0E,7d3390a0-023c-4753-8b94-acb6951c8dcd,2021-02-04 03:56:16,20,1,47,-1,-1,2021-02-04 03:56:50,d6bf39d5-79af-444e-94da-c84ddd9b334b,"02-03-19-33-69,02-03-19-34-82,02-03-19-35-54,02-03-19-39-85,02-03-19-42-21,02-03-19-46-92,02-03-19-49-69,02-03-19-52-96",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-23,,169.254.76.1,1,23,7.823470,EE:EF:87:E6:C4:3F,21eb72ad-e9fb-41c9-aed4-36e7244f5a4f,2021-02-04 03:56:16,30,3,79,26,23,2021-02-04 03:57:00,92ef09de-0e37-40fb-b4dc-280008a906b0,"02-03-19-46-34,02-03-19-49-47,02-03-19-52-21",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-16,,169.254.76.1,1,16,7.798245,66:57:00:8F:33:DF,9b794e9c-df12-460c-8a7e-e76276b67c1b,2021-02-04 03:56:16,30,3,54,20,16,2021-02-04 03:57:00,a353e6c7-4160-4f71-ad62-de80ab65715a,"02-03-19-33-20,02-03-19-34-36,02-03-19-35-27,02-03-19-39-98,02-03-19-42-2,02-03-19-46-89,02-03-19-49-24,02-03-19-52-2",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-4,,169.254.76.1,1,4,7.961731,E2:FD:C5:60:46:18,21de8b12-9943-4bcd-9eeb-12b44e84155f,2021-02-04 03:56:16,30,3,85,22,4,2021-02-04 03:57:00,f3877867-d36b-42ee-9117-178765730a74,"02-03-19-33-7,02-03-19-34-32,02-03-19-35-3,02-03-19-39-8,02-03-19-42-82,02-03-19-46-54,02-03-19-49-11,02-03-19-52-17",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-7,,169.254.76.1,1,7,7.896819,2E:71:C2:86:12:BC,9b70f396-be4c-42a6-b491-1dab45e819ec,2021-02-04 03:56:16,20,1,7,-1,-1,2021-02-04 03:56:50,04b55f46-3e05-466d-869a-8194aa152ec4,"02-03-19-33-82,02-03-19-34-39,02-03-19-35-97,02-03-19-39-79,02-03-19-42-57,02-03-19-46-11,02-03-19-49-52,02-03-19-52-76",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-32,,169.254.76.1,1,32,7.775308,EA:11:86:93:BA:B2,032f5949-6401-4b7e-b4c8-1473cb272635,2021-02-04 03:56:16,20,1,32,-1,-1,2021-02-04 03:56:50,a6073c80-1ec1-4190-93b4-d36ab1405a74,"02-03-19-33-66,02-03-19-34-31,02-03-19-35-49,02-03-19-39-83,02-03-19-42-87,02-03-19-46-84,02-03-19-49-83,02-03-19-52-99",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-24,,169.254.76.1,1,24,7.873473,FE:FC:F1:F3:99:11,870e69c1-a0b5-4275-a05a-7caeadd3da80,2021-02-04 03:56:16,20,1,24,-1,-1,2021-02-04 03:56:50,56c9f35f-eab5-4f07-bab4-354f3a3aea65,"02-03-19-33-64,02-03-19-34-100,02-03-19-35-8,02-03-19-39-88,02-03-19-42-95,02-03-19-46-61,02-03-19-49-78,02-03-19-52-57",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-30,,169.254.76.1,1,30,7.770657,4A:6F:AF:C7:46:84,eb73d78b-1219-4d78-aa38-18ec96f031a8,2021-02-04 03:56:16,20,1,30,-1,-1,2021-02-04 03:56:50,01c4fabe-f497-4d13-8d4c-880f30c7082c,"02-03-19-33-37,02-03-19-34-33,02-03-19-35-78,02-03-19-39-99,02-03-19-42-10,02-03-19-46-33,02-03-19-49-44,02-03-19-52-87",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-34,,169.254.76.1,1,34,7.837635,26:38:F0:27:0D:4B,eabcb0f5-df26-40ba-b079-8939e9d8719b,2021-02-04 03:56:16,20,1,34,-1,-1,2021-02-04 03:56:50,bf8b359e-d812-4e36-ab68-47f0ded29e55,"02-03-19-33-28,02-03-19-34-37,02-03-19-35-45,02-03-19-39-54,02-03-19-42-92,02-03-19-46-32,02-03-19-49-35,02-03-19-52-58",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-50,,169.254.76.1,1,50,7.730563,6E:58:E5:C2:3E:A1,92d6c348-2bcd-4326-9f44-bb109da31c98,2021-02-04 03:56:16,20,1,50,-1,-1,2021-02-04 03:56:50,bf6e7ac4-d848-43df-89d9-82d46bed4fa0,"02-03-19-33-2,02-03-19-34-85,02-03-19-35-5,02-03-19-39-52,02-03-19-42-65,02-03-19-46-71,02-03-19-49-89,02-03-19-52-69",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-76,,169.254.76.1,1,76,7.740512,DE:28:A8:38:55:E1,333d90a6-d677-4fae-bab0-ec4d3286e3ae,2021-02-04 03:56:16,20,1,76,-1,-1,2021-02-04 03:56:50,788dd710-1790-45f0-a436-e3ee2ec5bff2,"02-03-19-33-45,02-03-19-34-7,02-03-19-35-63,02-03-19-39-66,02-03-19-42-46,02-03-19-46-79,02-03-19-49-61,02-03-19-52-25",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-56/log,02-03-19-56-15,,169.254.76.1,1,15,7.598477,FE:7A:85:D9:9C:97,53a58a94-21b4-46b1-9869-a3775dce214a,2021-02-04 03:56:16,20,1,15,-1,-1,2021-02-04 03:56:50,44be97c3-2a9c-4f1f-a4cc-3bbd029071e6,"02-03-19-49-66,02-03-19-52-55",-,-,-,Yes,DEFAULT,-,-,-
