Logs,Boot ID,MAC Address,Base Sample,Phase 1,Phases,Bit Sample,Start Time,End Time,Id,Request ID,Success,Error
out/latrun-07-06-13-54-512/log,9036d269-1cf6-4f3c-8d64-de984be9089d,12:E7:FC:8A:B2:53,out/latrun-07-06-13-54-512/base_samples5,87,1,out/latrun-07-06-13-54-512/bit_samples5,2020-07-06 20:55:57,2020-07-06 20:56:09,5,31aa7735-ac83-4d13-a5a5-1ed44ee1be98,1,
out/latrun-07-06-13-54-512/log,9cf3fea3-d15d-42fd-ac1a-9dcc7f001c69,E2:30:EB:39:DE:C0,out/latrun-07-06-13-54-512/base_samples87,94,1,out/latrun-07-06-13-54-512/bit_samples87,2020-07-06 20:55:57,2020-07-06 20:56:09,87,194a096b-8569-4f27-9a7f-da699acf5d19,1,
out/latrun-07-06-13-54-512/log,eee51640-196b-425d-a6b8-335054b98b41,A6:A2:1A:EB:0B:49,out/latrun-07-06-13-54-512/base_samples56,56,1,out/latrun-07-06-13-54-512/bit_samples56,2020-07-06 20:55:57,2020-07-06 20:56:08,56,b5004f5c-a6e2-48e4-ad28-7f9c6d3caf41,1,
out/latrun-07-06-13-54-512/log,7513ca2e-cf73-460a-854c-5d64a7d4234c,DA:50:ED:E6:14:43,out/latrun-07-06-13-54-512/base_samples29,72,1,out/latrun-07-06-13-54-512/bit_samples29,2020-07-06 20:55:57,2020-07-06 20:56:09,29,dc12a483-b4c5-4b8b-a0f7-35b0d6d42635,1,
out/latrun-07-06-13-54-512/log,36a54f0d-ba37-49bf-a8d1-0df51dfa9b95,72:59:C8:0D:62:8E,out/latrun-07-06-13-54-512/base_samples33,214,1,out/latrun-07-06-13-54-512/bit_samples33,2020-07-06 20:55:57,2020-07-06 20:56:09,33,a2287f6a-9ec8-42f8-8df2-dc173067d75d,1,
out/latrun-07-06-13-54-512/log,10ee86ce-3a7d-455e-95a7-7fb4363ade81,06:93:78:41:1A:98,out/latrun-07-06-13-54-512/base_samples32,32,1,out/latrun-07-06-13-54-512/bit_samples32,2020-07-06 20:55:57,2020-07-06 20:56:08,32,48beddba-d499-4b15-af09-eb192d9d20ad,1,
out/latrun-07-06-13-54-512/log,9639631e-3305-4f03-a376-c3f2e8906282,B2:AE:DB:A1:2A:D8,out/latrun-07-06-13-54-512/base_samples19,103,1,out/latrun-07-06-13-54-512/bit_samples19,2020-07-06 20:55:57,2020-07-06 20:56:09,19,b77af096-8551-4daf-a2c5-ffd160153339,1,
out/latrun-07-06-13-54-512/log,40d28e3d-7834-42f4-aa87-491b1b0407e2,5A:72:99:16:60:2C,out/latrun-07-06-13-54-512/base_samples90,95,1,out/latrun-07-06-13-54-512/bit_samples90,2020-07-06 20:55:57,2020-07-06 20:56:08,90,d536ef27-ddd0-4ea1-82b9-00e4b251bd73,1,
out/latrun-07-06-13-54-512/log,2e79ff79-cf15-42d2-b1f5-6097c54b470e,DE:AB:F4:38:E5:C8,out/latrun-07-06-13-54-512/base_samples95,95,1,out/latrun-07-06-13-54-512/bit_samples95,2020-07-06 20:55:57,2020-07-06 20:56:09,95,1da215e7-5b1e-4cbe-b2e7-44523d4730c1,1,
out/latrun-07-06-13-54-512/log,75b3a37a-a449-4cee-a8dd-2fd3198f648f,D6:72:39:EB:93:18,out/latrun-07-06-13-54-512/base_samples85,85,1,out/latrun-07-06-13-54-512/bit_samples85,2020-07-06 20:55:57,2020-07-06 20:56:09,85,8bbfd750-0d8a-454a-a10a-13fbbfdeda5e,1,
out/latrun-07-06-13-54-512/log,567395af-a1fe-4751-a05a-33009bd5502a,8A:8C:E1:98:7E:FA,out/latrun-07-06-13-54-512/base_samples36,45,1,out/latrun-07-06-13-54-512/bit_samples36,2020-07-06 20:55:57,2020-07-06 20:56:08,36,35812e00-cd1d-42c7-8fe8-ff0e17c9fac9,1,
out/latrun-07-06-13-54-512/log,9f8a38ae-776b-419a-9f6f-6b566bacda8f,FE:C7:C0:18:5A:59,out/latrun-07-06-13-54-512/base_samples3,3,1,out/latrun-07-06-13-54-512/bit_samples3,2020-07-06 20:55:57,2020-07-06 20:56:09,3,bfa97516-06ac-4241-b5f9-9fc76ea11be2,1,
out/latrun-07-06-13-54-512/log,b0776c8e-1119-4a50-974e-b723ff0e9772,DE:73:6E:3E:F9:BD,out/latrun-07-06-13-54-512/base_samples83,83,1,out/latrun-07-06-13-54-512/bit_samples83,2020-07-06 20:55:57,2020-07-06 20:56:09,83,86411a37-2659-4348-9ae8-d35c598c4786,1,
out/latrun-07-06-13-54-512/log,d5bd3d0f-5b08-48ca-ae74-d80c6df7110f,FA:E1:CF:2F:BD:BD,out/latrun-07-06-13-54-512/base_samples43,43,1,out/latrun-07-06-13-54-512/bit_samples43,2020-07-06 20:55:57,2020-07-06 20:56:09,43,5de780e2-6582-4e1b-9f90-40a895dfed2b,1,
out/latrun-07-06-13-54-512/log,0f9f86f7-b340-4f53-bd78-3fcc43603ccd,FA:16:2C:28:B5:EE,out/latrun-07-06-13-54-512/base_samples47,55,1,out/latrun-07-06-13-54-512/bit_samples47,2020-07-06 20:55:57,2020-07-06 20:56:09,47,2356607d-b720-4662-83fa-cf0197fa3976,1,
out/latrun-07-06-13-54-512/log,0a4b7bd4-0ac4-4f9c-83c3-bd367d0e6eb5,FA:CC:BB:FD:C4:A8,out/latrun-07-06-13-54-512/base_samples54,54,1,out/latrun-07-06-13-54-512/bit_samples54,2020-07-06 20:55:57,2020-07-06 20:56:08,54,4b1e4b2a-9193-4ef4-8628-8f3b6743b543,1,
out/latrun-07-06-13-54-512/log,3aaf21c0-1236-44bc-a36e-70f439616ff8,3E:93:79:AD:64:5D,out/latrun-07-06-13-54-512/base_samples99,99,1,out/latrun-07-06-13-54-512/bit_samples99,2020-07-06 20:55:57,2020-07-06 20:56:09,99,4c3e624c-8244-4e0b-b8c5-898e8f7c26e6,1,
out/latrun-07-06-13-54-512/log,1da37d01-62fd-4313-b068-c4ea1e1040c4,06:07:3B:1B:4F:2F,out/latrun-07-06-13-54-512/base_samples53,56,1,out/latrun-07-06-13-54-512/bit_samples53,2020-07-06 20:55:57,2020-07-06 20:56:09,53,7480d2eb-2e0f-47af-ba00-d23702e9198c,1,
