Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Account
out/10-13-23-28/log,10-13-23-28-35,10-13-23-26-47,e7b2ea42-c6f3-434c-9d96-8fad65d5e247,2A:93:7A:78:E5:86,35,35,35,3,2020-10-14 06:28:09,2020-10-14 06:29:08,35,8387f510-8f9d-40a9-b718-bf6de3582f75,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-61,10-13-23-26-32,baed8a1b-1e20-45d4-bbd8-61857d6a11e2,EA:22:DF:97:E4:43,61,61,61,3,2020-10-14 06:28:09,2020-10-14 06:29:08,61,5ad14610-9ed6-4fcc-a5f6-b8aa25724c7a,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-97,10-13-23-26-66,01682173-2b27-4e0d-a90d-98612137d06e,A6:BF:A3:6F:6B:9A,97,97,97,3,2020-10-14 06:28:09,2020-10-14 06:29:08,97,55b30190-2c05-4938-8423-422049e1d598,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-91,10-13-23-26-74,38694ac0-db76-4bd1-96ae-d785e34fe8a6,82:50:A1:4D:60:55,91,91,91,3,2020-10-14 06:28:09,2020-10-14 06:29:08,91,278ac556-3ecd-4e31-b7d6-edffe3b42926,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-8,10-13-23-26-40,743e434d-187a-40fd-aec6-55b24e89f6f8,DA:3A:04:FC:9E:2D,8,8,8,3,2020-10-14 06:28:09,2020-10-14 06:29:08,8,5789def6-2260-444f-bb78-7f4c64e09882,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-30,10-13-23-26-49,07bca847-6847-425d-a45e-40428e62ea16,AE:17:81:7A:74:F0,57,57,57,3,2020-10-14 06:28:09,2020-10-14 06:29:08,30,1d2fdb3e-17a6-49be-81c7-b73d692997b7,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-69,10-13-23-26-7,d4e2213b-fa88-4398-b9d2-f3f4affcc107,CA:A1:AC:57:CA:D6,69,69,69,3,2020-10-14 06:28:09,2020-10-14 06:29:08,69,0474d2d7-2666-4006-ba14-aae71999e602,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-96,10-13-23-26-44,13d7a1d4-4f33-4b89-9567-3f47aa8f607d,BE:BE:CC:E5:12:E0,96,96,96,3,2020-10-14 06:28:09,2020-10-14 06:29:08,96,b57a52c2-9971-4399-8d28-f9aa71c49f4e,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-83,10-13-23-26-75,36f5bd8d-7c66-4741-85f0-40651ea9fca6,66:0B:C9:76:1C:11,83,83,83,3,2020-10-14 06:28:09,2020-10-14 06:29:08,83,12dc3359-db98-4d50-8193-dd0a9132dece,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-4,10-13-23-26-72,03f5dbdc-3e86-466f-acbb-a65879562222,9A:33:64:80:7D:E0,74,74,74,3,2020-10-14 06:28:09,2020-10-14 06:29:08,4,333f9fdc-ff94-4f71-9d5e-69b72c9d98aa,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-81,10-13-23-26-38,07acec7e-2a76-4fb9-a061-c0dd2e7f40bc,A2:11:10:D1:74:1B,93,93,93,3,2020-10-14 06:28:09,2020-10-14 06:29:08,81,9fc5bc97-4a78-456d-834d-42ac55eb1536,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-90,10-13-23-26-78,e86c6e71-b3e2-4452-bea5-3f286acbdfe1,AE:B5:EC:1C:C8:B9,90,90,90,3,2020-10-14 06:28:09,2020-10-14 06:29:08,90,586c000d-545d-4068-9efc-b9302cf2cdad,1,,-,-,-,Yes,017371402075
out/10-13-23-28/log,10-13-23-28-21,10-13-23-26-70,59e27e63-9c4e-46dd-91fd-201d297a4304,2E:89:B2:78:B9:6C,35,35,35,3,2020-10-14 06:28:09,2020-10-14 06:29:08,21,e57b412b-8bfa-47ef-ab1a-ee535523fc40,1,,-,-,-,Yes,017371402075
