Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/05-21-14-15/log,2d500a3a-ba75-4d34-93e6-2acb4e9e87b6,FE:8D:7A:7C:38:0B,10,10,10,3,2020-05-21 21:14:54,2020-05-21 21:15:21,4,4286c636-413a-4033-aaf4-8a2f52be99f1,1,,-,-
out/05-21-14-15/log,4c0604d2-9eef-4911-a704-d9f8d9110740,BA:F0:41:96:1E:2A,8,8,8,3,2020-05-21 21:14:54,2020-05-21 21:15:21,8,5147ec87-c20a-45b3-bea3-845237302f88,1,,-,-
out/05-21-14-15/log,0e0bec60-4e61-4639-b468-531ca1e89602,66:47:CE:A9:CF:04,2,2,2,3,2020-05-21 21:14:54,2020-05-21 21:15:21,2,057f3c3b-c2c0-4d51-8603-d2dc82653e91,1,,-,-
out/05-21-14-15/log,2137d47e-193d-491e-a7ff-d2d25c42fbdf,E6:27:61:15:2E:48,10,10,10,3,2020-05-21 21:14:54,2020-05-21 21:15:21,10,7d10831d-eae0-4733-b0e9-0dd42853bcff,1,,-,-
out/05-21-14-15/log,c6736051-f770-4153-921a-2c120f7fc091,42:0C:6C:91:CE:10,6,6,6,3,2020-05-21 21:14:54,2020-05-21 21:15:21,6,9d94f9b3-d765-4175-8b6c-8050b5f9c86d,1,,-,-
out/05-21-14-15/log,0d3771e2-dc23-4f1f-bbe3-fd7f4571bd99,06:D3:2A:19:22:6F,5,5,5,3,2020-05-21 21:14:54,2020-05-21 21:15:22,5,abb67203-b16e-4c7a-aa2d-7230932015cc,1,,-,-
out/05-21-14-15/log,0288936c-ecd1-4cf4-93b0-fdc9d09931d4,EE:7D:98:91:19:87,7,7,7,3,2020-05-21 21:14:54,2020-05-21 21:15:22,3,3f4567a7-968c-47da-a53c-fb0412b203f2,1,,-,-
out/05-21-14-15/log,b72258fe-f2b3-4ea6-9421-b15fd628393b,F6:F4:43:33:B0:19,9,9,9,3,2020-05-21 21:14:54,2020-05-21 21:15:22,9,e249723d-ff53-4174-9269-b8f39f9dd35b,1,,-,-
out/05-21-14-15/log,0a8d0890-9e39-40dc-a486-3c6b2e428766,1A:43:29:F1:61:9F,7,7,7,3,2020-05-21 21:14:54,2020-05-21 21:15:22,7,3f70a9af-4a9c-4025-a61d-ff52563b7bbe,1,,-,-
out/05-21-14-15/log,6d9e6468-cb04-4fb3-a048-3333c7921971,5E:03:08:A5:48:2B,1,1,1,3,2020-05-21 21:14:54,2020-05-21 21:15:22,1,e2c88232-a2ac-461e-86c4-a17739b82f95,1,,-,-
