Start Time,Frequency,MAC Address,Random Time,entropy_avail_2,Elapsed Time
1581558499194,2499.998,de:79:3c:47:eb:71,0.04151463508605957,"2483
",1564378486
1581558499480,2500.012,b6:b5:ac:82:48:ff,0.07470083236694336,"3103
",1564377259
1581558499482,2500.012,6a:a5:28:e5:37:17,0.0639040470123291,"3101
",1564378408
1581558499480,2500.004,d2:ca:36:fa:68:ba,0.07345104217529297,"372
",1564377736
1581558499486,2500.012,f6:e0:57:6b:2b:fc,0.0948634147644043,"275
",1564377622
1581558499487,2500.012,ae:eb:a5:83:54:bd,0.09133100509643555,"408
",1564378409
1581558499497,2499.998,6e:97:97:7c:07:50,0.07494139671325684,"86
",1564378507
1581558499493,2500.002,4a:67:39:7b:81:e3,0.08002376556396484,"8
",1564377397
1581558499505,2500.012,de:08:0f:8f:42:ce,0.07237839698791504,"573
",1564377652
1581558499494,2500.0,52:b1:59:af:ae:15,0.08161115646362305,"503
",1564377729
1581558499515,2499.998,3a:24:b4:36:4d:5c,0.0662686824798584,"974
",1564378508
1581558499524,2500.012,62:57:cd:80:ed:c6,0.07599663734436035,"3090
",1564377668
1581558499522,2500.012,42:ae:7f:3f:16:bb,0.06262516975402832,"1304
",1564378293
1581558499527,2500.012,de:0a:64:62:16:86,0.07425284385681152,"222
",1564377661
1581558499514,2500.012,aa:0a:b7:de:60:53,0.06987261772155762,"1036
",1564378291
1581558499543,2500.01,7a:ee:5a:6e:39:31,0.047330617904663086,"2678
",1564378542
1581558499502,2500.006,92:a2:93:b4:3e:5d,0.10335683822631836,"3083
",1564377313
1581558499529,2500.006,f6:dc:74:6b:c6:56,0.08263087272644043,"155
",1564377402
1581558499514,2500.012,de:89:f0:dd:a1:fb,0.09766411781311035,"3089
",1564377639
1581558499558,2500.004,c2:0c:bd:e1:62:8a,0.07034730911254883,"684
",1564377904
1581558499544,2500.014,42:95:1a:a2:51:b2,0.0709075927734375,"556
",1564377784
1581558499554,2500.004,8a:c1:fa:8a:1b:56,0.06519269943237305,"920
",1564378246
1581558499551,2500.002,06:77:8f:22:cf:d4,0.06980443000793457,"446
",1564377886
