Logs,GUID,Predecessors,Error,IP Address,Success,Id,Channel,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-13-31/log,02-03-13-31-99,02-03-13-27-23,,169.254.76.1,1,99,1,7.868563,BA:BB:30:49:B6:81,67f6747d-67a3-4041-8ad4-ccf34762d5af,2021-02-03 21:31:13,30,2,99,37,-1,2021-02-03 21:32:06,a3424748-3440-47af-b4d3-bedd1abf9938,-,-,-,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-43,"02-03-13-02-21,02-03-13-06-54,02-03-13-07-71,02-03-13-10-62,02-03-13-14-56,02-03-13-17-57,02-03-13-21-95,02-03-13-24-57,02-03-13-27-99",,169.254.76.1,1,43,-,7.925289,56:73:A6:62:A5:6E,b651a075-d969-4b74-8d7a-66b35a54083b,2021-02-03 21:31:13,20,1,43,-1,-1,2021-02-03 21:31:47,c4493eb2-4540-4b20-b09c-bebce98c2920,-,-,-,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-15,"02-03-13-02-82,02-03-13-06-87,02-03-13-07-20,02-03-13-10-96,02-03-13-14-15,02-03-13-17-100,02-03-13-21-76,02-03-13-24-1,02-03-13-27-64",,169.254.76.1,1,15,-,7.719255,CA:80:15:FA:0D:AB,4f034142-d05a-473e-98a5-b8fd47b1cc4e,2021-02-03 21:31:13,20,1,15,-1,-1,2021-02-03 21:31:47,8db5c150-1ec3-424a-998a-ff8d78a9e363,-,-,-,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-79,"02-03-13-02-1,02-03-13-06-26,02-03-13-07-51,02-03-13-10-43,02-03-13-14-45,02-03-13-17-5,02-03-13-21-67,02-03-13-24-73,02-03-13-27-7",,169.254.76.1,1,79,2,8.501106,5E:1C:4D:11:C8:E0,ce7c2e69-8f6a-41b7-9544-87509e27c4f4,2021-02-03 21:31:13,30,2,96,79,-1,2021-02-03 21:32:06,fefb1aec-50f0-4cb1-9955-76f70191dd17,-,out/02-03-13-31/bit1_samples79,-,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-31,"02-03-13-17-36,02-03-13-21-25,02-03-13-24-42,02-03-13-27-49",,169.254.76.1,1,31,3,7.988145,E2:21:43:05:E8:60,fe68bb48-e2bd-49ed-8a1d-65ce494e429a,2021-02-03 21:31:13,30,3,49,31,1,2021-02-03 21:32:06,9819db00-b869-433d-a8b2-917a2f137cff,-,out/02-03-13-31/bit1_samples31,-,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-69,,,169.254.76.1,1,69,4,7.835906,7E:8C:A7:E0:CE:EB,be23eea5-523f-4c34-8266-058df901e280,2021-02-03 21:31:13,30,3,87,69,41,2021-02-03 21:32:06,534c67b0-7e9b-409a-ac3a-91d7e204a139,-,out/02-03-13-31/bit1_samples69,-,No,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-20,02-03-13-27-71,,169.254.76.1,1,20,5,8.024489,EE:A3:61:6C:35:AC,fd989ae5-24a3-431c-80c1-aee86965f772,2021-02-03 21:31:13,30,2,80,20,-1,2021-02-03 21:32:06,ee6d7b44-ced7-48a9-af64-507b6f1eb9bd,-,out/02-03-13-31/bit1_samples20,-,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-67,"02-03-13-17-72,02-03-13-21-38,02-03-13-24-85,02-03-13-27-35",,169.254.76.1,1,67,6,7.919290,16:B4:2E:C3:A2:71,ea6c3e9e-29cf-49b1-b099-c675ba7e0f21,2021-02-03 21:31:13,30,3,67,30,13,2021-02-03 21:32:06,40fa3e68-7042-41c1-a3db-7e0a51e5f07f,-,-,out/02-03-13-31/bit0_samples67,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-89,"02-03-13-14-82,02-03-13-17-4,02-03-13-21-8,02-03-13-24-54,02-03-13-27-51",,169.254.76.1,1,89,7,7.897703,C2:E5:D9:11:8B:EC,8de0db14-554b-4899-a6b9-4c5b64f203a1,2021-02-03 21:31:13,30,2,89,21,-1,2021-02-03 21:32:06,723b6c61-5f5c-40c6-8950-3c051ed50f37,-,-,out/02-03-13-31/bit0_samples89,Yes,DEFAULT,-,-
out/02-03-13-31/log,02-03-13-31-26,"02-03-13-17-7,02-03-13-21-59,02-03-13-24-74,02-03-13-27-10",,169.254.76.1,1,26,8,7.774645,F2:B7:CF:9F:B7:90,29818708-b97f-4d05-a1b6-df7f5d60b108,2021-02-03 21:31:13,30,2,83,26,-1,2021-02-03 21:32:06,67573ba8-3a43-47f4-b99e-1047194ed92b,-,out/02-03-13-31/bit1_samples26,-,Yes,DEFAULT,-,-
