Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,SErasures,RErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
1,99,37,10,50,00000000000000000100000000000000000000001100000000,00000000000000000100000000000000000000001100000000,,,0,0,0,0.0,3,0,0,47,0,0
2,96,79,10,50,00001010100001000101000101000001000100000010000000,00001010100001000101000101000001000100000010000000,,,0,0,0,0.0,11,0,0,39,0,0
4,87,69,10,50,00000000000001100000000100000000000100000000000011,00000000000001100000000100000000000100000000000011,,,0,0,0,0.0,6,0,0,44,0,0
5,80,20,10,50,11111111111111111111111111111111011111111111111111,11111111111111111111111111111111011111111111111111,,,0,0,0,0.0,49,0,0,1,0,0
6,67,30,10,50,01101110010111111100111000111111111111110111011001,01111110010111111100111000111111111111110111011001,,,0,0,1,2.0,36,0,0,14,1,7
7,89,21,10,50,10000100001110100010111000101000010000100001000101,10000100001110100010111000101000010000100001000101,,,0,0,0,0.0,17,0,0,33,0,0
8,83,26,10,50,00010000111110011001101011001001010011000011011111,00010000111110011001101011001001010011000011011111,,,0,0,0,0.0,25,0,0,25,0,0
9,92,60,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,0,0.0,50,0,0,0,0,-
10,100,64,10,50,01101111101011011110101101101111001011011101001011,01101111101011011110101111101111001011011101001011,,,0,0,1,2.0,33,0,0,17,1,5
11,62,29,10,50,11111000111010111101011001111100110000011110111111,11111000111010111101011001111100110000011110111111,,,0,0,0,0.0,33,0,0,17,0,0
13,44,11,10,50,10001100100000110001000001101011000100000000001100,10001100100000110001000001101011000100000000001100,,,0,0,0,0.0,15,0,0,35,0,0
14,85,76,10,50,11000000110011101011101011111101001011111100011111,11000000110011101011101011111101001011111100011111,,,0,0,0,0.0,31,0,0,19,0,0
15,59,55,10,50,00010011001000111011101101011111101100100001011100,00010011001000111011101101011111101100100001011100,,,0,0,0,0.0,26,0,0,24,0,0
16,88,10,10,50,11111111111111111111111111111111111111111111111111,11111111111111111111111111111111111111111111111111,,,0,0,0,0.0,50,0,0,0,0,-
17,93,77,10,50,10110100111101101100100111111101111111111101011101,10110100111101101100100111111101111111111101011101,,,0,0,0,0.0,36,0,0,14,0,0
20,78,14,10,50,10000000000001000001000000000000000000100100100000,10000000100001000001000000000000000000100100100000,,,0,0,1,2.0,6,0,0,44,1,2
21,46,12,10,50,00110100101110010101000010000111000001110000000000,10110110101110010101000010000111000001110000000000,,,0,0,2,4.0,17,0,0,33,2,6
24,72,58,10,50,00000100011111101101001011110010010011110100110010,00000100011111101101001011110010010011110100110010,,,0,0,0,0.0,25,0,0,25,0,0
25,91,75,10,50,11100011001110110001100001000010000001010000011111,11100011001110110001100001000010000001010000011111,,,0,0,0,0.0,21,0,0,29,0,0
26,90,86,10,50,11010000111010011010000011110000111011000111111110,11010000111010011010000011110000111011000111111110,,,1,0,0,0.0,27,0,0,23,0,0
