GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-13-51-18,1,18,7f828895-888a-4406-a816-0c98a78c6c49,2020-09-17 20:51:36,1,18,out/09-17-13-51/log,out/09-17-13-51/base_samples18,0,out/09-17-13-51/bit0_samples18,,0.307349059882647,0A:CB:C0:A6:BB:CC,2020-09-17 20:52:14,0319d0bb-a381-45c7-b6f1-9ec7ce7780cb,out/09-17-13-51/bit1_samples18,,No
09-17-13-51-44,1,44,b56b64c1-fab3-4cb6-8f4e-998a76bc712c,2020-09-17 20:51:36,1,44,out/09-17-13-51/log,out/09-17-13-51/base_samples44,0,out/09-17-13-51/bit0_samples44,,0.249705992624613,6E:F3:45:78:B0:B6,2020-09-17 20:52:14,02b17daa-4392-48f9-9c68-2797ccc47e3e,out/09-17-13-51/bit1_samples44,,No
09-17-13-51-22,1,22,98b1b0a5-011e-401d-8b2b-0b55501bb590,2020-09-17 20:51:36,1,22,out/09-17-13-51/log,out/09-17-13-51/base_samples22,0,out/09-17-13-51/bit0_samples22,,0.0695250661190168,FE:76:C9:31:D2:8C,2020-09-17 20:52:14,ae7539ee-e17d-41f5-ac5f-a7e2a8d77078,out/09-17-13-51/bit1_samples22,,No
09-17-13-51-58,1,58,fbb74c17-ad4f-4ccb-9c52-7f92693de8cd,2020-09-17 20:51:36,1,58,out/09-17-13-51/log,out/09-17-13-51/base_samples58,0,out/09-17-13-51/bit0_samples58,,0.313312860006721,CE:31:5E:E5:E3:C1,2020-09-17 20:52:14,50ddf9b8-14b0-4057-8bdc-3bd942e2009b,out/09-17-13-51/bit1_samples58,,No
09-17-13-51-74,1,74,ac80a969-4047-4652-ad76-f1ba1a2dd845,2020-09-17 20:51:36,1,74,out/09-17-13-51/log,out/09-17-13-51/base_samples74,0,out/09-17-13-51/bit0_samples74,,0.293936100326852,3E:89:AD:82:FB:8B,2020-09-17 20:52:14,1e06cb77-ceb5-43c8-b3b8-12bb5d9c9915,out/09-17-13-51/bit1_samples74,,No
09-17-13-51-72,1,72,3ed6a9a3-1520-4646-b64f-23451674008c,2020-09-17 20:51:36,1,72,out/09-17-13-51/log,out/09-17-13-51/base_samples72,0,out/09-17-13-51/bit0_samples72,,0.0646498973278225,0A:FF:E1:8A:C7:25,2020-09-17 20:52:14,887013dd-eb78-48fa-98cf-21aa5380c252,out/09-17-13-51/bit1_samples72,,No
09-17-13-51-42,1,42,09c54cca-dea7-4345-8eb6-4281f558d485,2020-09-17 20:51:36,1,42,out/09-17-13-51/log,out/09-17-13-51/base_samples42,0,out/09-17-13-51/bit0_samples42,,0.590918843933833,32:60:BE:B6:BB:62,2020-09-17 20:52:14,5ee570bc-39d0-4727-92db-0fe49febd7a0,out/09-17-13-51/bit1_samples42,,No
09-17-13-51-19,1,19,aa1634f1-74b1-4789-872f-070e888f9c7c,2020-09-17 20:51:36,1,19,out/09-17-13-51/log,out/09-17-13-51/base_samples19,0,out/09-17-13-51/bit0_samples19,,0.615315420039205,D2:89:87:D8:12:68,2020-09-17 20:52:14,f9739684-0311-4136-a116-87937f492dd1,out/09-17-13-51/bit1_samples19,,No
09-17-13-51-7,1,7,70f41767-7414-4335-bee3-1ba4c8e15bf3,2020-09-17 20:51:36,1,7,out/09-17-13-51/log,out/09-17-13-51/base_samples7,0,out/09-17-13-51/bit0_samples7,,0.891672427797833,C6:00:ED:39:0F:C3,2020-09-17 20:52:14,5299ae8e-2253-428f-b642-63652440a231,out/09-17-13-51/bit1_samples7,,No
09-17-13-51-77,1,77,a2f1a158-5fb4-4417-adf5-c02677d9afcc,2020-09-17 20:51:36,1,77,out/09-17-13-51/log,out/09-17-13-51/base_samples77,0,out/09-17-13-51/bit0_samples77,,0.802467758409055,2A:06:FD:8A:D1:1B,2020-09-17 20:52:14,0a50c2ce-5bfb-4a67-a1f1-324b2f01b4ee,out/09-17-13-51/bit1_samples77,,No
09-17-13-51-26,1,26,19adc703-e241-4166-b792-7e5fdffa0d0e,2020-09-17 20:51:36,1,26,out/09-17-13-51/log,out/09-17-13-51/base_samples26,0,out/09-17-13-51/bit0_samples26,,0.888205328624279,1A:88:33:A3:80:66,2020-09-17 20:52:14,57aef9c8-6323-4c3f-8800-631e71fca350,out/09-17-13-51/bit1_samples26,,No
09-17-13-51-13,1,13,cd2f15d6-0ba7-477a-b6c4-099a402a6f18,2020-09-17 20:51:36,1,13,out/09-17-13-51/log,out/09-17-13-51/base_samples13,0,out/09-17-13-51/bit0_samples13,,0.613805898898582,C6:14:81:57:FF:67,2020-09-17 20:52:14,8a754b7a-2aa7-4ad4-b230-a266a7cad729,out/09-17-13-51/bit1_samples13,,No
09-17-13-51-41,1,41,6415f4f7-863c-4855-b17e-1bb186ae16cb,2020-09-17 20:51:36,1,41,out/09-17-13-51/log,out/09-17-13-51/base_samples41,0,out/09-17-13-51/bit0_samples41,,0.783780366702983,4A:03:DB:C1:6A:64,2020-09-17 20:52:14,f599930d-87d7-4a63-813e-6cb268517da6,out/09-17-13-51/bit1_samples41,,No
09-17-13-51-91,1,91,4bcf659a-b25e-4d70-958f-4069db3b066c,2020-09-17 20:51:36,1,91,out/09-17-13-51/log,out/09-17-13-51/base_samples91,0,out/09-17-13-51/bit0_samples91,,0.134295184522719,C2:36:6F:08:7F:13,2020-09-17 20:52:14,674dc5d3-4085-4e82-8760-478179a3e27e,out/09-17-13-51/bit1_samples91,,No
09-17-13-51-28,1,28,48d59e31-324a-4598-b773-6f60d2778315,2020-09-17 20:51:36,1,28,out/09-17-13-51/log,out/09-17-13-51/base_samples28,0,out/09-17-13-51/bit0_samples28,,0.187390776473702,02:89:6E:FF:7C:46,2020-09-17 20:52:14,54c80aae-bfeb-48f5-b552-fb109acf79dc,out/09-17-13-51/bit1_samples28,,No
