Logs,GUID,Predecessors,Boot ID,MAC Address,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-22-22-24/log,09-22-22-24-4,"09-22-22-15-1,09-22-22-16-1,09-22-22-21-8,09-22-22-23-4,09-22-22-23-3",8a508f98-8cb2-4c9a-b00b-14107ece9866,56:FC:B9:AD:4D:15,0,2020-09-23 05:24:37,2020-09-23 05:25:04,4,4af6f15d-e6ff-4501-a51c-222e71c57c73,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-5,"09-22-22-15-9,09-22-22-16-2,09-22-22-21-1,09-22-22-23-5,09-22-22-23-5",92b909af-453b-4f5c-890c-951d58647031,A2:52:D8:CF:34:F3,0,2020-09-23 05:24:38,2020-09-23 05:25:04,5,632394d4-0c65-4205-8089-d3e7b01d2a30,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-8,"09-22-22-15-7,09-22-22-16-5,09-22-22-21-2,09-22-22-23-10,09-22-22-23-2",baa95f26-4522-4f23-a171-27220c0fd229,9E:3E:50:36:6A:90,0,2020-09-23 05:24:40,2020-09-23 05:25:04,8,ad719891-5d2b-40e8-b93d-d613478b64ac,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-2,"09-22-22-15-6,09-22-22-16-3,09-22-22-21-5,09-22-22-23-7,09-22-22-23-10",79bdd4e7-037f-40d5-89ff-3188a2a3fa29,5E:54:95:A3:CE:1A,0,2020-09-23 05:24:35,2020-09-23 05:25:04,2,889d99ce-190f-4866-b66b-d858c9656550,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-9,"09-22-22-15-8,09-22-22-16-4,09-22-22-21-10,09-22-22-23-6,09-22-22-23-1",1e0f4cd6-b582-491d-a6bc-5039cba4ce88,7A:64:2E:5A:CE:64,0,2020-09-23 05:24:41,2020-09-23 05:25:04,9,d7bbc1ec-22ff-466b-af65-1a554c50b539,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-6,"09-22-22-15-10,09-22-22-16-6,09-22-22-21-3,09-22-22-23-2,09-22-22-23-9",941f5cae-8d52-4c72-a408-f7c29b2b7d50,16:93:1C:C7:DE:A2,0,2020-09-23 05:24:38,2020-09-23 05:25:04,6,1c870abe-2a75-4d4f-ac5b-abd41f4278ec,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-7,"09-22-22-15-3,09-22-22-16-7,09-22-22-21-6,09-22-22-23-3,09-22-22-23-7",3d892129-07f6-4c7d-b655-4390055ea1d2,36:86:86:C7:39:33,0,2020-09-23 05:24:39,2020-09-23 05:25:04,7,cc941e4a-fb9a-4e11-b1b9-242fd49d0ba6,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-10,"09-22-22-15-4,09-22-22-16-9,09-22-22-21-9,09-22-22-23-8,09-22-22-23-6",b4ad500a-bd2a-4eea-a203-19fe9b62656c,6A:BB:45:AE:DC:7F,0,2020-09-23 05:24:41,2020-09-23 05:25:04,10,3aa4b4bb-0097-4453-936c-1d0f51c3be96,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-1,"09-22-22-15-2,09-22-22-16-10,09-22-22-21-7,09-22-22-23-1,09-22-22-23-8",f4eda563-0b91-4590-9ba7-0854875fb2b1,D2:5D:D5:72:32:97,0,2020-09-23 05:24:35,2020-09-23 05:25:04,1,ae216dd3-93f2-4a54-a520-8e976654becb,1,,-,-,-,Yes
out/09-22-22-24/log,09-22-22-24-3,"09-22-22-15-5,09-22-22-16-8,09-22-22-21-4,09-22-22-23-9,09-22-22-23-4",e401f604-e5a1-4acd-8660-30a21e589c76,C6:28:9A:C0:A2:82,0,2020-09-23 05:24:36,2020-09-23 05:25:04,3,3219d146-a731-4bf1-a1e5-cadf37e3b230,1,,-,-,-,Yes
