Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
1,25,0,0,2000,7462,10180,2000,0,0,,-7462
2,25,0,1,2000,7462,10180,2000,7413,9242,1.000086329168177,-49
3,25,0,2,2000,7462,10180,1977,7501,6577,1.000076916661492,39
4,25,0,3,2000,7462,10180,1960,0,0,,-7462
5,25,0,4,2000,7462,10180,1960,0,0,,-7462
6,25,0,5,2000,7462,10180,1960,7064,5418,1.010141683243148,-398
7,25,0,6,2000,7462,10180,1959,7100,5276,1.008631923970747,-362
8,25,0,7,2000,7462,10180,2000,6799,4906,1.033242304702456,-663
9,25,0,8,2000,7462,10180,2000,12095,229040,1.005508953352415,4633
10,25,0,9,2000,7462,10180,2000,12561,240937,1.006036766452596,5099
11,25,1,0,2000,7462,10180,1984,0,0,,-7462
12,25,1,1,2000,7462,10180,1984,7364,7875,1.000385134919051,-98
13,25,1,2,2000,7462,10180,2000,11950,225012,1.005354288148895,4488
14,25,1,3,2000,7462,10180,2000,0,0,,-7462
15,25,1,4,2000,7462,10180,2000,0,0,,-7462
16,25,1,5,2000,7462,10180,2000,7008,5275,1.014269127664648,-454
17,25,1,6,2000,7462,10180,1999,12308,226083,1.006056700474246,4846
18,25,1,7,2000,7462,10180,2000,7181,6817,1.004072406756576,-281
19,25,1,8,2000,7462,10180,2000,6809,5038,1.031396763561937,-653
20,25,1,9,2000,7462,10180,1949,6795,4992,1.031667386966415,-667
21,25,2,0,2000,7462,10180,2000,0,0,,-7462
22,25,2,1,2000,7462,10180,2000,7107,5656,1.008067444939929,-355
23,25,2,2,2000,7462,10180,2000,7649,11135,1.001043824520447,187
24,25,2,3,2000,7462,10180,1970,0,0,,-7462
25,25,2,4,2000,7462,10180,1970,0,0,,-7462
26,25,2,5,2000,7462,10180,1970,6932,5339,1.018604106999474,-530
27,25,2,6,2000,7462,10180,1976,12167,230475,1.00365272238089,4705
28,25,2,7,2000,7462,10180,1933,7154,5486,1.005843663251144,-308
29,25,2,8,2000,7462,10180,1992,7293,6794,1.001435877836844,-169
30,25,2,9,2000,7462,10180,2000,7004,5462,1.014012776368307,-458
31,75,0,0,2000,12564,226211,2000,0,0,,-12564
32,75,0,1,2000,12564,226211,2000,0,0,,-12564
33,75,0,2,2000,12564,226211,2000,7051,5358,1.00805097931776,-5513
34,75,0,3,2000,12564,226211,1982,0,0,,-12564
35,75,0,4,2000,12564,226211,1982,7204,10005,1.00757459103688,-5360
36,75,0,5,2000,12564,226211,1982,7001,5237,1.008199378227986,-5563
37,75,0,6,2000,12564,226211,1945,0,0,,-12564
38,75,0,7,2000,12564,226211,1945,7321,5745,1.007273850522839,-5243
39,75,0,8,2000,12564,226211,2000,7281,6043,1.007384962778742,-5283
