GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
10-05-23-03-824,1,824,fdf26418-bd62-428e-8f15-50481c2585c3,2020-10-06 06:05:08,3ae1d2ca-3c29-4d88-bc19-ed975ae83ca0,2020-10-06 06:03:20,3,824,824,824,out/10-05-23-03/log,out/10-05-23-03/base_samples824,,out/10-05-23-03/bit1_samples824,out/10-05-23-03/bit0_samples824,0,,0.552440408731719,66:72:A8:8F:8C:EB,No
10-05-23-03-70,1,70,fe581492-bcc8-4f77-8679-4dcb7421fa92,2020-10-06 06:05:08,b5582249-5057-4d1a-b5b9-8e983eb9efeb,2020-10-06 06:03:09,3,740,740,740,out/10-05-23-03/log,out/10-05-23-03/base_samples70,,out/10-05-23-03/bit1_samples70,out/10-05-23-03/bit0_samples70,7.7726717256543,,0.783454147648433,66:43:97:46:2B:F4,No
10-05-23-03-933,1,933,f9b06864-6ced-4fd6-9953-2f4f1b28ef42,2020-10-06 06:05:08,1afb35ac-4724-41b9-b867-75a26ed1dd8c,2020-10-06 06:03:18,3,933,933,933,out/10-05-23-03/log,out/10-05-23-03/base_samples933,,out/10-05-23-03/bit1_samples933,out/10-05-23-03/bit0_samples933,0,,0.347540865402905,46:00:4B:C3:8C:40,No
10-05-23-03-917,1,917,249e0b1e-4cab-4725-abcb-97e8194a48af,2020-10-06 06:05:08,b0f43a19-dffb-4b04-bb44-6d106079af6a,2020-10-06 06:03:33,3,917,917,917,out/10-05-23-03/log,out/10-05-23-03/base_samples917,,out/10-05-23-03/bit1_samples917,out/10-05-23-03/bit0_samples917,0,,0.238820609502921,86:9A:E1:3A:DE:68,No
10-05-23-03-542,1,542,9eff0163-6b7b-49f8-9e62-18e77888ffe3,2020-10-06 06:05:08,4405f33d-e5f2-41f3-a2c1-f6ae39e550df,2020-10-06 06:03:09,3,720,720,720,out/10-05-23-03/log,out/10-05-23-03/base_samples542,,out/10-05-23-03/bit1_samples542,out/10-05-23-03/bit0_samples542,6.25657470807893,,0.259140376070592,66:7D:3E:A2:FB:73,No
10-05-23-03-522,1,522,5173b775-a3bf-4807-9e6c-6cc1ce4cb99a,2020-10-06 06:05:08,8de73082-a86f-4718-a530-59e49ef83f74,2020-10-06 06:03:40,3,841,841,841,out/10-05-23-03/log,out/10-05-23-03/base_samples522,,out/10-05-23-03/bit1_samples522,out/10-05-23-03/bit0_samples522,7.55302806129214,,0.559367590103942,66:21:40:11:4D:FE,No
10-05-23-03-407,1,407,238bcac5-1ce1-4dc4-b028-c799632ba08c,2020-10-06 06:05:08,55bb252a-687b-46b2-bd50-ebc1d8b198cf,2020-10-06 06:03:19,3,981,981,981,out/10-05-23-03/log,out/10-05-23-03/base_samples407,,out/10-05-23-03/bit1_samples407,out/10-05-23-03/bit0_samples407,8.4743767226541,,0.918776373147016,4E:AA:2E:78:BD:76,No
10-05-23-03-21,1,21,07dc897d-b83c-49b3-b104-e83f5de29b5c,2020-10-06 06:05:08,b516066a-2c43-4106-9a7c-a9fa3fec5740,2020-10-06 06:03:09,3,954,954,954,out/10-05-23-03/log,out/10-05-23-03/base_samples21,,out/10-05-23-03/bit1_samples21,out/10-05-23-03/bit0_samples21,8.40222562529717,,0.293140559181961,26:A2:FF:44:D4:03,No
10-05-23-03-336,1,336,146f8e52-ab05-4617-ba9e-dd70c3154fca,2020-10-06 06:05:08,527f35bf-e245-439f-a7d7-fdd10bf3319b,2020-10-06 06:03:09,3,794,794,794,out/10-05-23-03/log,out/10-05-23-03/base_samples336,,out/10-05-23-03/bit1_samples336,out/10-05-23-03/bit0_samples336,6.70502201713173,,0.530573710271096,3A:C0:8B:1E:AB:1C,No
10-05-23-03-300,1,300,4e16b807-7d0d-4b70-a5ed-c5a3119e2f78,2020-10-06 06:05:08,7fad129e-70cb-4a80-a3d8-c7436b4e415d,2020-10-06 06:03:09,3,824,824,824,out/10-05-23-03/log,out/10-05-23-03/base_samples300,,out/10-05-23-03/bit1_samples300,out/10-05-23-03/bit0_samples300,8.7707342189174,,0.46976591359261,9A:7B:1A:35:07:2B,No
10-05-23-03-51,1,51,9ff0d25c-927d-4569-b831-bb0364268d69,2020-10-06 06:05:08,d2ab762b-28f7-4304-932c-7b4ab657da8f,2020-10-06 06:03:09,3,596,596,596,out/10-05-23-03/log,out/10-05-23-03/base_samples51,,out/10-05-23-03/bit1_samples51,out/10-05-23-03/bit0_samples51,5.86737373481402,,0.53927031779512,AE:DB:0B:3B:79:81,No
10-05-23-03-150,1,150,661e6d6a-a41d-43a9-ac1a-e19cbf1dbb15,2020-10-06 06:05:08,b483576e-332f-41f7-9d6b-9e76dfad9a47,2020-10-06 06:03:28,3,867,867,867,out/10-05-23-03/log,out/10-05-23-03/base_samples150,,out/10-05-23-03/bit1_samples150,out/10-05-23-03/bit0_samples150,8.02084100907601,,0.333031364094675,92:DF:90:73:63:EA,No
10-05-23-03-713,1,713,02c8c7e3-eb80-4820-8e8e-db49c393547c,2020-10-06 06:05:08,2ca2c0b4-1227-472f-82f9-eb1c78d3ab0f,2020-10-06 06:03:20,3,937,937,937,out/10-05-23-03/log,out/10-05-23-03/base_samples713,,out/10-05-23-03/bit1_samples713,out/10-05-23-03/bit0_samples713,8.25488079815837,,1.1467330366882,0A:1D:B7:9F:DB:A7,No
10-05-23-03-334,1,334,8f4da379-e697-4180-9e1e-72f53bf95c1f,2020-10-06 06:05:08,64bba7d1-7ad3-46c7-99bf-86d9b1810023,2020-10-06 06:03:09,3,868,868,868,out/10-05-23-03/log,out/10-05-23-03/base_samples334,,out/10-05-23-03/bit1_samples334,out/10-05-23-03/bit0_samples334,8.1172532307671,,0.388640859835198,E2:77:6D:36:89:AB,No
