Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address
1,54,923e1227-6636-447b-95f1-7c041e45787f,2020-09-10 22:24:11,b4ec056e-d270-4b22-84a5-19582962be82,2020-09-10 22:22:11,3,54,54,54,out/09-10-15-22/log,out/09-10-15-22/base_samples54,out/09-10-15-22/bit1_samples54,out/09-10-15-22/bit0_samples54,0,,1.00046931084654,56:66:EF:FC:A1:B8
1,82,963324c9-df73-4d13-9158-d4e40dcfffcd,2020-09-10 22:24:11,9c342b36-c2d5-4906-9ee0-19053fcc6710,2020-09-10 22:22:11,3,82,128,82,out/09-10-15-22/log,out/09-10-15-22/base_samples82,out/09-10-15-22/bit1_samples82,out/09-10-15-22/bit0_samples82,-0.355768505359727,,2.20911526585941,52:37:B0:4E:B6:7A
1,901,a730e010-e379-4732-94ec-f757f6cf0b8d,2020-09-10 22:24:12,4c5bd4da-8367-4dd2-8ef5-b877a079fa17,2020-09-10 22:22:20,3,901,901,901,out/09-10-15-22/log,out/09-10-15-22/base_samples901,out/09-10-15-22/bit1_samples901,out/09-10-15-22/bit0_samples901,0,,1.00518221036621,A6:6C:44:84:2C:BC
1,998,5d2ad0cc-0d61-46cc-a77e-c6be5771472e,2020-09-10 22:24:11,ca01f952-f2ab-4099-b89a-42f9e9db4d15,2020-09-10 22:22:15,3,998,1008,998,out/09-10-15-22/log,out/09-10-15-22/base_samples998,out/09-10-15-22/bit1_samples998,out/09-10-15-22/bit0_samples998,-4.50740338551511,,1.0058878386409,F6:40:7E:80:6A:39
1,732,0530089a-a4fc-47a5-b6d3-5b85cd0142e6,2020-09-10 22:24:11,025cd845-45f3-4ec4-95ea-cbdad30925e7,2020-09-10 22:22:42,3,738,736,809,out/09-10-15-22/log,out/09-10-15-22/base_samples732,out/09-10-15-22/bit1_samples732,out/09-10-15-22/bit0_samples732,-0.571225608386516,,1.63826561175652,0A:99:64:FA:1F:BD
1,368,a5e080c7-21cd-4bb0-b3c8-77414eddd7ee,2020-09-10 22:24:11,960769cd-a486-4414-ae97-83fa3f087a2b,2020-09-10 22:22:12,3,372,640,369,out/09-10-15-22/log,out/09-10-15-22/base_samples368,out/09-10-15-22/bit1_samples368,out/09-10-15-22/bit0_samples368,-2.1878430703825,,1.4141581826233,AA:48:57:F9:DD:E7
1,755,3220d200-650d-4893-aff7-49c9feda790c,2020-09-10 22:24:12,e0be2f74-5d28-4eed-947a-68d2dfd18d24,2020-09-10 22:22:17,3,755,761,755,out/09-10-15-22/log,out/09-10-15-22/base_samples755,out/09-10-15-22/bit1_samples755,out/09-10-15-22/bit0_samples755,-0.444306470076917,,3.55490374832182,46:66:60:C4:9B:A1
1,899,4f197d6b-b018-4516-a1b1-a5c7b7d2b9a6,2020-09-10 22:24:12,9ba0b450-e601-40a2-89b1-dd62f1cfc31b,2020-09-10 22:22:26,3,899,899,899,out/09-10-15-22/log,out/09-10-15-22/base_samples899,out/09-10-15-22/bit1_samples899,out/09-10-15-22/bit0_samples899,0,,1.00477193245179,F2:F6:ED:37:3E:EA
1,220,b8a9b5b1-2041-47b3-89d8-a12bba012cf3,2020-09-10 22:24:11,3795c4ba-80ff-4d84-babf-a756b86214eb,2020-09-10 22:22:11,3,220,220,256,out/09-10-15-22/log,out/09-10-15-22/base_samples220,out/09-10-15-22/bit1_samples220,out/09-10-15-22/bit0_samples220,-1.52867855190413,,1.04441633918993,E6:7D:5B:5E:8B:62
1,720,ac2bf9a3-305e-43f5-9b0a-3b29dc8585f1,2020-09-10 22:24:11,125488e5-7748-4f20-bff0-bd0b0bbe8403,2020-09-10 22:22:16,3,721,721,833,out/09-10-15-22/log,out/09-10-15-22/base_samples720,out/09-10-15-22/bit1_samples720,out/09-10-15-22/bit0_samples720,-0.357551818380065,,1.10243524548297,32:E4:14:F0:9A:5E
1,219,38818fd9-f805-43df-8880-841aefc384b6,2020-09-10 22:24:12,ae051000-ced7-4501-a270-ba36ee9a9037,2020-09-10 22:22:12,3,219,219,219,out/09-10-15-22/log,out/09-10-15-22/base_samples219,out/09-10-15-22/bit1_samples219,out/09-10-15-22/bit0_samples219,0,,1.0013068352406,52:5A:7E:79:42:EC
1,348,3a9e728e-02c5-44a5-bda4-d374af95327b,2020-09-10 22:24:11,249896f7-e3c2-4c97-b040-0f73a29c1b2b,2020-09-10 22:22:12,3,348,348,348,out/09-10-15-22/log,out/09-10-15-22/base_samples348,out/09-10-15-22/bit1_samples348,out/09-10-15-22/bit0_samples348,0,,1.00002215016136,6A:0D:AD:CB:89:B3
1,597,d984734d-7e68-40ec-aa5f-5fee3ffddb59,2020-09-10 22:24:12,29c71ef0-932c-4be0-891d-c1333bfb019e,2020-09-10 22:22:17,3,597,597,597,out/09-10-15-22/log,out/09-10-15-22/base_samples597,out/09-10-15-22/bit1_samples597,out/09-10-15-22/bit0_samples597,0,,1.00212529424996,92:79:92:97:1E:2E
