GUID,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Bit-1 Sample,Predecessors,Warm Start
09-17-02-39-97,1,97,32fdfd0b-74d7-414e-a339-c553f4b0243c,2020-09-17 09:39:23,1,97,out/09-17-02-39/log,out/09-17-02-39/base_samples97,0,out/09-17-02-39/bit0_samples97,,0.107956885892606,76:83:F9:EE:44:3B,2020-09-17 09:40:01,3a008195-c9ca-42f1-9e9b-6fa7c605b16c,out/09-17-02-39/bit1_samples97,,No
09-17-02-39-17,1,17,03b040cf-eec1-4f75-814a-62aa3a95e770,2020-09-17 09:39:23,1,17,out/09-17-02-39/log,out/09-17-02-39/base_samples17,0,out/09-17-02-39/bit0_samples17,,0.443136033575097,0A:0E:FF:EB:52:D1,2020-09-17 09:40:01,830395eb-4437-4eca-92b7-682b8d0fb2b9,out/09-17-02-39/bit1_samples17,,No
09-17-02-39-53,1,53,02bcf3a4-c06a-414b-9d8a-4f43cce7f84a,2020-09-17 09:39:23,1,53,out/09-17-02-39/log,out/09-17-02-39/base_samples53,0,out/09-17-02-39/bit0_samples53,,0.988260210776817,4E:5B:AE:4F:C0:50,2020-09-17 09:40:01,4e2eb160-9728-455b-9be8-d1632e5ea429,out/09-17-02-39/bit1_samples53,,No
09-17-02-39-23,1,23,eb347621-eb5d-4888-bc9c-56ab61680bea,2020-09-17 09:39:23,1,23,out/09-17-02-39/log,out/09-17-02-39/base_samples23,0,out/09-17-02-39/bit0_samples23,,0.647475994035868,4E:01:00:38:F9:99,2020-09-17 09:40:01,e7d744a6-52a0-44bd-9a78-ebc9ed563292,out/09-17-02-39/bit1_samples23,,No
09-17-02-39-16,1,16,4660da96-61c7-4d6c-b49b-a44db8215a34,2020-09-17 09:39:23,1,16,out/09-17-02-39/log,out/09-17-02-39/base_samples16,0,out/09-17-02-39/bit0_samples16,,0.13711131864067,56:86:DE:76:58:D8,2020-09-17 09:40:01,6924a58f-ccab-470f-bc39-6b6c0a0a91ff,out/09-17-02-39/bit1_samples16,,No
09-17-02-39-47,1,47,9bdc2232-23ce-40c0-84a4-4ad5eab1b1c0,2020-09-17 09:39:23,1,47,out/09-17-02-39/log,out/09-17-02-39/base_samples47,0,out/09-17-02-39/bit0_samples47,,0.0508699966608058,6A:09:A2:60:B7:92,2020-09-17 09:40:01,7367e780-8c05-43a9-86a5-999522e46666,out/09-17-02-39/bit1_samples47,,No
09-17-02-39-40,1,40,391f7e95-1a0d-4e87-bd63-ee21cf1ca744,2020-09-17 09:39:23,1,40,out/09-17-02-39/log,out/09-17-02-39/base_samples40,0,out/09-17-02-39/bit0_samples40,,0.804358591437833,26:AB:4C:1D:6F:04,2020-09-17 09:40:01,4d78f396-332d-42d5-a862-66ea4fac899b,out/09-17-02-39/bit1_samples40,,No
09-17-02-39-57,1,57,e7833911-740d-4302-ba29-0494972f2e6f,2020-09-17 09:39:23,1,57,out/09-17-02-39/log,out/09-17-02-39/base_samples57,0,out/09-17-02-39/bit0_samples57,,0.840666291742632,26:EE:90:C9:27:3F,2020-09-17 09:40:01,c98c4480-26dc-490e-9e75-f03848be1015,out/09-17-02-39/bit1_samples57,,No
09-17-02-39-95,1,95,67fdee23-5662-4640-8de5-b136a9c21864,2020-09-17 09:39:23,1,95,out/09-17-02-39/log,out/09-17-02-39/base_samples95,0,out/09-17-02-39/bit0_samples95,,0.760068819993205,8A:AF:E5:38:5A:93,2020-09-17 09:40:01,d85a3b64-6a9a-48a9-9dbb-af10f5422ab3,out/09-17-02-39/bit1_samples95,,No
09-17-02-39-92,1,92,f79ba74b-86c2-4c7a-975c-bdf3a403a627,2020-09-17 09:39:23,1,92,out/09-17-02-39/log,out/09-17-02-39/base_samples92,0,out/09-17-02-39/bit0_samples92,,0.283218083910506,5A:6D:7B:F0:27:E1,2020-09-17 09:40:01,607464ac-041c-4f8b-b1df-b76c83e338ec,out/09-17-02-39/bit1_samples92,,No
