Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
203,0,0,6,965,17730,327083,1000,6326,3563,0.279069525406833,-11404
206,0,0,9,965,17730,327083,1000,6395,4509,0.282003384395627,-11335
205,0,0,8,965,17730,327083,1000,6534,4484,0.287942598800576,-11196
204,0,0,7,965,17730,327083,1000,6551,4100,0.288667642213825,-11179
71,0,0,5,979,17079,333470,962,6072,2721,0.301984005529224,-11007
432,0,0,7,1000,17053,319220,919,6165,3027,0.281054074773039,-10888
431,0,0,6,1000,17053,319220,951,6217,3802,0.283369023079498,-10836
202,0,0,5,965,17730,327083,1000,6946,5549,0.306064803774531,-10784
79,0,0,5,1000,16654,326456,967,6125,3381,0.308044380201472,-10529
456,0,0,0,972,16459,321508,1000,5938,2455,0.307887064824973,-10521
82,0,0,8,1000,16654,326456,1000,6148,3174,0.309097827922076,-10506
81,0,0,7,1000,16654,326456,1000,6150,3436,0.309193806487836,-10504
623,0,0,5,966,16774,326574,948,6285,3517,0.318436403402428,-10489
626,0,0,9,966,16774,326574,993,6329,3591,0.320469533266274,-10445
625,0,0,8,966,16774,326574,961,6346,4388,0.321272792403224,-10428
74,0,0,8,979,17079,333470,964,6656,4625,0.328376874409902,-10423
75,0,0,9,979,17079,333470,942,6684,4866,0.329683543308024,-10395
527,0,0,0,1000,17205,325120,933,6814,4819,0.312471770277444,-10391
622,0,0,2,966,16774,326574,1000,6386,5051,0.323143497000589,-10388
530,0,0,5,1000,17205,325120,999,6870,5110,0.315088295790728,-10335
463,0,0,9,972,16459,321508,987,6132,2899,0.316893625251918,-10327
529,0,0,4,1000,17205,325120,965,6881,5137,0.315606137050293,-10324
532,0,0,8,1000,17205,325120,1000,6885,5602,0.31580279628953,-10320
531,0,0,7,1000,17205,325120,963,6893,5027,0.316166162033922,-10312
83,0,0,9,1000,16654,326456,973,6345,3796,0.318263739394344,-10309
434,0,0,9,1000,17053,319220,966,6754,4701,0.307914414501458,-10299
624,0,0,7,966,16774,326574,1000,6482,4688,0.327625364882277,-10292
460,0,0,5,972,16459,321508,946,6188,3121,0.319527704039942,-10271
73,0,0,7,979,17079,333470,1000,6822,5027,0.336141702067809,-10257
433,0,0,8,1000,17053,319220,974,6810,11380,0.310811359267035,-10243
312,0,0,9,1000,16362,319919,1000,6125,2957,0.311857924495429,-10237
461,0,0,7,972,16459,321508,997,6255,3380,0.322695727599181,-10204
289,0,0,8,977,16526,321639,1000,6344,4185,0.322709471782716,-10182
286,0,0,4,977,16526,321639,955,6368,8279,0.323974377749781,-10158
290,0,0,9,977,16526,321639,953,6372,4318,0.324045918182175,-10154
458,0,0,3,972,16459,321508,964,6349,4334,0.327189323899185,-10110
459,0,0,4,972,16459,321508,1000,6407,4137,0.329965403233309,-10052
310,0,0,7,1000,16362,319919,1000,6318,3540,0.321072848499641,-10044
528,0,0,1,1000,17205,325120,1000,7162,5608,0.32896129557763,-10043
115,0,0,6,1000,16316,322020,1000,6276,2981,0.324422436697331,-10040
113,0,0,4,1000,16316,322020,1000,6286,3459,0.324911515634689,-10030
307,0,0,2,1000,16362,319919,1000,6332,4262,0.321760771855543,-10030
462,0,0,8,972,16459,321508,1000,6459,3844,0.332466825939419,-10000
114,0,0,5,1000,16316,322020,998,6343,3460,0.327667357624298,-9973
308,0,0,4,1000,16362,319919,960,6402,3566,0.325136265328894,-9960
287,0,0,6,977,16526,321639,996,6619,4859,0.335958542707573,-9907
285,0,0,3,977,16526,321639,1000,6620,5326,0.336017905862871,-9906
309,0,0,6,1000,16362,319919,956,6544,4333,0.332093395497176,-9818
117,0,0,8,1000,16316,322020,1000,6565,3716,0.338548981503953,-9751
116,0,0,7,1000,16316,322020,974,6570,8501,0.33893685891057,-9746
288,0,0,7,977,16526,321639,982,6822,5339,0.345961738334599,-9704
306,0,0,0,1000,16362,319919,972,6786,10232,0.344350528108026,-9576
118,0,0,9,1000,16316,322020,974,6768,5215,0.34872897277135,-9548
77,0,0,2,1000,16654,326456,980,11132,5052,0.592884070706184,-5522
72,0,0,6,979,17079,333470,987,13151,67156,0.717901936587491,-3928
76,0,0,0,1000,16654,326456,1000,13077,31680,0.730261436799146,-3577
507,0,0,1,917,8127,21517,948,6123,3561,0.00547949819321,-2004
508,0,0,2,917,8127,21517,992,6327,3839,0.012698525771657,-1800
510,0,0,5,917,8127,21517,947,6349,4017,0.014023978697678,-1778
638,0,0,0,1000,7565,42436,920,6002,2698,0.245448007773806,-1563
509,0,0,4,917,8127,21517,957,6617,5764,0.040069829025655,-1510
68,0,0,1,979,17079,333470,984,15592,95999,0.893344419769681,-1487
641,0,0,8,1000,7565,42436,1000,6184,3190,0.305049391696098,-1381
512,0,0,8,917,8127,21517,1000,6767,5118,0.062303594054481,-1360
511,0,0,7,917,8127,21517,998,6859,5795,0.084311323340897,-1268
201,0,0,2,965,17730,327083,979,16568,320603,0.936968739446882,-1162
640,0,0,7,1000,7565,42436,1000,6450,6866,0.412287932123636,-1115
264,0,0,1,1000,7214,14082,961,6156,3071,0.020574145569764,-1058
263,0,0,0,1000,7214,14082,979,6163,3379,0.021999552043319,-1051
232,0,0,1,974,7652,6678,961,6637,4590,9.9685888886e-05,-1015
266,0,0,4,1000,7214,14082,974,6224,3538,0.031423618795515,-990
642,0,0,9,1000,7565,42436,1000,6591,9030,0.477916166141998,-974
99,0,0,1,985,7038,5669,1000,6109,2812,4.300626168e-06,-929
55,0,0,6,1000,6861,5043,964,5967,2569,7.25353221e-07,-894
3,0,0,3,1000,6901,14501,1000,6017,2328,0.057273054836167,-884
267,0,0,6,1000,7214,14082,990,6330,3471,0.054256988872537,-884
269,0,0,8,1000,7214,14082,915,6332,4972,0.063399167158228,-882
402,0,0,1,1000,6818,5394,950,5983,2502,1.0624833e-05,-835
268,0,0,7,1000,7214,14082,1000,6395,3851,0.076338114211183,-819
2,0,0,2,1000,6901,14501,980,6085,2606,0.080272214442192,-816
315,0,0,6,926,7070,5473,1000,6259,2866,5.9775202154e-05,-811
606,0,0,5,996,7303,15475,987,6500,4040,0.113481181899897,-803
314,0,0,4,926,7070,5473,958,6299,3441,0.000275272323675,-771
408,0,0,0,990,6685,4628,950,5924,2199,3.552151806e-06,-761
235,0,0,4,974,7652,6678,1000,6892,5359,0.005422396561835,-760
612,0,0,5,972,6837,5089,1000,6114,3119,0.000155827506255,-723
8,0,0,8,1000,6901,14501,1000,6192,4087,0.137001017245965,-709
618,0,0,5,1000,6582,14903,932,5890,2517,0.148379054487414,-692
616,0,0,0,1000,6582,14903,966,5909,2791,0.160982910002566,-673
627,0,0,0,1000,7003,5746,930,6342,3709,0.002542544683717,-661
7,0,0,7,1000,6901,14501,979,6253,3589,0.170706448490362,-648
270,0,0,9,1000,7214,14082,964,6572,4560,0.171221438377546,-642
233,0,0,2,974,7652,6678,986,7038,6032,0.032885107119927,-614
316,0,0,7,926,7070,5473,1000,6461,3672,0.004508387322218,-609
430,0,0,0,1000,17053,319220,1000,16453,327011,0.966886387161141,-600
628,0,0,1,1000,7003,5746,1000,6416,3699,0.006673626878021,-587
609,0,0,9,996,7303,15475,1000,6721,5443,0.262989731347421,-582
231,0,0,0,974,7652,6678,960,7071,5461,0.036254789312723,-581
332,0,0,0,955,6626,4564,967,6051,3162,0.001368720581509,-575
35,0,0,9,965,6666,4646,990,6096,2920,0.001227166971156,-570
