Logs,GUID,CPU CPI,Error,IP Address,Success,Id,Channel,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,Predecessors,Bit-1 Sample,End Time,Boot ID,Base Sample,Bit-0 Sample,Warm Start,Tag,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-19-01/log,02-03-19-01-58,7.919910,,169.254.76.1,1,58,1,9E:4C:49:5B:AA:4A,a8bfdffa-5508-4fa2-ab40-9a9a4e4404aa,2021-02-04 03:01:14,30,2,67,58,-1,"02-03-18-44-49,02-03-18-47-25,02-03-18-51-10,02-03-18-54-42,02-03-18-57-4",out/02-03-19-01/bit1_samples58,2021-02-04 03:02:07,4f11ffcc-9fcf-400f-afe1-46d7ad548c33,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-14,7.966231,,169.254.76.1,1,14,-,6E:E7:2F:E5:13:E4,dd3ab823-1c70-4694-8e90-ac410879d157,2021-02-04 03:01:14,30,3,69,74,54,"02-03-18-20-87,02-03-18-23-50,02-03-18-27-80,02-03-18-30-6,02-03-18-34-54,02-03-18-37-34,02-03-18-40-96,02-03-18-44-54,02-03-18-47-48,02-03-18-51-22,02-03-18-54-78,02-03-18-57-38",-,2021-02-04 03:01:58,e8be4ccb-d601-48c3-beaa-03340e9dfef6,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-27,7.723151,,169.254.76.1,1,27,-,86:A1:3E:DA:62:3D,bfe44e24-ff99-433a-9210-98d3c71a2f94,2021-02-04 03:01:14,20,1,27,-1,-1,"02-03-18-47-85,02-03-18-51-78,02-03-18-54-25,02-03-18-57-29",-,2021-02-04 03:01:48,32a30332-86fe-4d91-9df5-f0a4af46bd40,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-24,7.950614,,169.254.76.1,1,24,-,6A:17:9E:DB:19:B4,b20c0cc5-947d-4a5e-b707-a7dd2abe9a78,2021-02-04 03:01:14,30,3,99,97,88,"02-03-18-27-10,02-03-18-30-23,02-03-18-34-92,02-03-18-37-73,02-03-18-40-77,02-03-18-44-65,02-03-18-47-52,02-03-18-51-57,02-03-18-54-60,02-03-18-57-11",-,2021-02-04 03:01:58,cf75dfb5-a6fc-4c8b-bf80-cf821f67300a,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-60,7.909989,,169.254.76.1,1,60,-,3E:68:7E:ED:B9:87,c62828f5-1b7d-465e-a51c-6aade1df112c,2021-02-04 03:01:14,20,1,60,-1,-1,"02-03-17-06-81,02-03-17-08-34,02-03-17-09-99,02-03-17-12-37,02-03-17-16-54,02-03-17-19-64,02-03-17-22-78,02-03-17-26-40,02-03-17-29-59,02-03-17-33-25,02-03-17-36-53,02-03-17-39-13,02-03-17-43-38,02-03-17-46-17,02-03-17-50-58,02-03-17-53-60,02-03-17-56-64,02-03-18-00-54,02-03-18-03-83,02-03-18-06-76,02-03-18-10-22,02-03-18-13-83,02-03-18-17-81,02-03-18-20-79,02-03-18-23-80,02-03-18-27-65,02-03-18-30-15,02-03-18-34-87,02-03-18-37-30,02-03-18-40-7,02-03-18-44-13,02-03-18-47-87,02-03-18-51-65,02-03-18-54-50,02-03-18-57-89",-,2021-02-04 03:01:48,650dd418-259e-46a2-a617-c4e06c29d924,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-6,7.710794,,169.254.76.1,1,6,-,B6:46:AD:80:67:E6,753dd11c-202b-47a8-a0c2-9cca75a16dee,2021-02-04 03:01:14,30,3,55,22,12,"02-03-18-03-8,02-03-18-06-100,02-03-18-10-5,02-03-18-13-34,02-03-18-17-19,02-03-18-20-2,02-03-18-23-83,02-03-18-27-23,02-03-18-30-83,02-03-18-34-99,02-03-18-37-69,02-03-18-40-20,02-03-18-44-76,02-03-18-47-42,02-03-18-51-8,02-03-18-54-59,02-03-18-57-24",-,2021-02-04 03:01:58,064845e7-7419-4ad4-9dff-f3680620580f,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-31,7.864344,,169.254.76.1,1,31,-,72:1F:77:BE:58:9C,9343ef45-537d-4a2e-8c83-c737211ac210,2021-02-04 03:01:14,20,1,31,-1,-1,"02-03-18-54-21,02-03-18-57-25",-,2021-02-04 03:01:48,80fc8321-55e0-4512-bcb0-2603cfe30f12,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-57,7.732669,,169.254.76.1,1,57,-,3E:E9:57:2D:4A:60,6fec6c8e-e175-46f9-854f-beb2f09c4430,2021-02-04 03:01:14,20,1,57,-1,-1,"02-03-18-00-75,02-03-18-03-56,02-03-18-06-26,02-03-18-10-78,02-03-18-13-98,02-03-18-17-66,02-03-18-20-70,02-03-18-23-91,02-03-18-27-94,02-03-18-30-88,02-03-18-34-38,02-03-18-37-17,02-03-18-40-81,02-03-18-44-22,02-03-18-47-89,02-03-18-51-12,02-03-18-54-100,02-03-18-57-74",-,2021-02-04 03:01:48,bfc11142-556b-4c9c-bc6f-2124da65f5a2,-,-,Yes,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-47,7.726916,,169.254.76.1,1,47,2,0E:1C:18:8B:8B:F8,61038525-b6a1-45bc-af95-563238575242,2021-02-04 03:01:14,30,3,47,25,18,,-,2021-02-04 03:02:07,21de1f3b-5971-4254-9598-cde725ef2e96,-,-,No,DEFAULT,-,-
out/02-03-19-01/log,02-03-19-01-37,7.902758,,169.254.76.1,1,37,-,3E:46:35:97:08:3C,671c3cc8-9cc0-46bd-9e8c-1115939e23be,2021-02-04 03:01:14,30,3,86,43,37,"02-03-18-47-54,02-03-18-51-35,02-03-18-54-53,02-03-18-57-63",-,2021-02-04 03:01:58,2a664387-a560-4992-9eb1-afea95a0b33e,-,-,Yes,DEFAULT,-,-
