GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-10-12-00-574,1,574,790e745f-df46-4ebf-ba8d-0499dcc000ee,2020-10-10 19:02:31,4cf53dd1-0911-41c1-86c5-d63e820091b2,2020-10-10 19:00:45,3,974,974,974,out/10-10-12-00/log,out/10-10-12-00/base_samples574,,out/10-10-12-00/bit1_samples574,out/10-10-12-00/bit0_samples574,8.03371873817452,,0.25871653730357,36:8F:BD:F1:2A:1E,No,017371402075
10-10-12-00-960,1,960,685fc77b-085e-41ff-835b-d0724f655f33,2020-10-10 19:02:31,5bf48483-6a0f-43fd-9225-43a7e1cc305b,2020-10-10 19:01:06,3,960,960,960,out/10-10-12-00/log,out/10-10-12-00/base_samples960,,out/10-10-12-00/bit1_samples960,out/10-10-12-00/bit0_samples960,0,,0.42188557951772,7A:6B:6F:2C:4B:0E,No,017371402075
10-10-12-00-405,1,405,54b708d7-ac1a-46f5-be73-6691eb48d1b8,2020-10-10 19:02:31,e98a78ea-bc1b-4345-911d-9542de3eec15,2020-10-10 19:00:32,3,507,507,507,out/10-10-12-00/log,out/10-10-12-00/base_samples405,,out/10-10-12-00/bit1_samples405,out/10-10-12-00/bit0_samples405,5.92663109232387,,0.513676221318379,22:99:3B:EE:F7:A4,No,017371402075
10-10-12-00-790,1,790,49febfa5-4b8f-4ba6-afd6-29a980cf894b,2020-10-10 19:02:31,b9857ac3-ac9c-413f-9d40-87f2079d55fc,2020-10-10 19:00:58,3,790,790,790,out/10-10-12-00/log,out/10-10-12-00/base_samples790,,out/10-10-12-00/bit1_samples790,out/10-10-12-00/bit0_samples790,0,,0.873095064357332,4E:C4:97:BB:63:7C,No,017371402075
10-10-12-00-39,1,39,b636bb56-87db-443f-81ac-97194fb6245f,2020-10-10 19:02:31,25d0c97c-a624-4c6f-9b7d-95171301d0f7,2020-10-10 19:00:34,3,235,235,235,out/10-10-12-00/log,out/10-10-12-00/base_samples39,,out/10-10-12-00/bit1_samples39,out/10-10-12-00/bit0_samples39,7.49591483939765,,0.395955513355032,9E:25:96:4E:2A:F0,No,017371402075
10-10-12-00-121,1,121,413b150a-c06f-4db0-87a1-f52d8735eb67,2020-10-10 19:02:31,8ae404bd-7887-49bf-a374-bb0a60de59a6,2020-10-10 19:00:32,3,636,636,636,out/10-10-12-00/log,out/10-10-12-00/base_samples121,,out/10-10-12-00/bit1_samples121,out/10-10-12-00/bit0_samples121,6.14326135798405,,0.273874183800006,1A:50:B0:DA:73:02,No,017371402075
10-10-12-00-911,1,911,1584edee-8371-4baa-a0a0-a9ee5feb3709,2020-10-10 19:02:31,44fd3975-4ce2-40d2-bfd6-88bd8bca0823,2020-10-10 19:01:04,3,911,911,911,out/10-10-12-00/log,out/10-10-12-00/base_samples911,,out/10-10-12-00/bit1_samples911,out/10-10-12-00/bit0_samples911,0,,0.448649926790384,DA:48:A7:A4:FE:E5,No,017371402075
10-10-12-00-380,1,380,c39b5fc4-397a-448f-a758-4311163e1775,2020-10-10 19:02:31,1e5edbc2-f0e0-47a5-8c00-49d9fe36a3a4,2020-10-10 19:00:37,3,380,380,380,out/10-10-12-00/log,out/10-10-12-00/base_samples380,,out/10-10-12-00/bit1_samples380,out/10-10-12-00/bit0_samples380,0,,0.4199625265565,C6:41:8A:44:3C:70,No,017371402075
10-10-12-00-60,1,60,a94c0a3d-4346-4dd0-9bca-76d4e8ee3ce1,2020-10-10 19:02:31,9e4cf79b-f747-45b4-9594-0881d07887b8,2020-10-10 19:00:38,3,708,708,708,out/10-10-12-00/log,out/10-10-12-00/base_samples60,,out/10-10-12-00/bit1_samples60,out/10-10-12-00/bit0_samples60,6.77212531645303,,0.631248609050108,CA:F8:17:19:9A:67,No,017371402075
10-10-12-00-378,1,378,caaba128-8c3b-4fc0-b22d-97cdcc9a04f0,2020-10-10 19:02:31,1f6a156b-9bb7-49f2-9434-a83d94ab04dd,2020-10-10 19:00:39,3,812,812,812,out/10-10-12-00/log,out/10-10-12-00/base_samples378,,out/10-10-12-00/bit1_samples378,out/10-10-12-00/bit0_samples378,7.8970813406652,,0.965296880649934,B2:CE:D9:62:F1:85,No,017371402075
