Logs,Boot ID,MAC Address,Samples,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error
out/04-21-15-28/log,b71695ac-6257-4b0b-a933-f8e45d337928,0E:9A:CB:D1:3E:BA,out/04-21-15-28/samples881,900,1,2020-04-21 22:27:48,2020-04-21 22:28:13,881,8a2b53ad-63ce-4573-b979-d12f3eebd836,1,
out/04-21-15-28/log,fb87c9ea-2ccc-488f-a798-93a020e10411,52:53:AE:1D:7E:B4,out/04-21-15-28/samples931,962,1,2020-04-21 22:27:48,2020-04-21 22:28:13,931,415b7f3f-3515-44a7-9fda-1326c8f7bbfa,1,
out/04-21-15-28/log,6c3d5efc-84e1-4385-bffb-21fd4538eca3,1A:A1:FF:2C:94:5F,out/04-21-15-28/samples231,608,1,2020-04-21 22:27:48,2020-04-21 22:28:13,231,3b8bef5f-4e0e-466a-b60e-984a9d9689ae,1,
out/04-21-15-28/log,e15fa568-2354-4436-9a6a-46f0266a5d5b,0A:1E:32:6B:5F:30,out/04-21-15-28/samples361,604,1,2020-04-21 22:27:48,2020-04-21 22:28:14,361,5406ff39-741b-46df-8c91-8523fa38eb40,1,
out/04-21-15-28/log,65742c58-77f3-4705-b5f2-1634200c5f1a,82:8E:AC:80:01:DA,out/04-21-15-28/samples691,768,1,2020-04-21 22:27:48,2020-04-21 22:28:14,691,cf3dda9f-2181-4616-bf8f-a31526316671,1,
out/04-21-15-28/log,7a3d2344-5472-40b7-9b55-4685a3cddf38,26:39:64:01:68:6A,out/04-21-15-28/samples621,621,1,2020-04-21 22:27:48,2020-04-21 22:28:14,621,2645cc2a-d1de-4ce5-a8ff-2b482ae5056c,1,
out/04-21-15-28/log,0748889a-e0c2-40d9-8d4a-1ea42da00ba7,0E:B7:F4:77:66:4C,out/04-21-15-28/samples471,495,1,2020-04-21 22:27:48,2020-04-21 22:28:14,471,6ece6bec-5d24-4cb4-b012-e1d53bf78c01,1,
out/04-21-15-28/log,bce04f7a-33f0-4436-a5dc-57d616eb9a70,7E:4C:DA:E4:D2:25,out/04-21-15-28/samples611,905,1,2020-04-21 22:27:48,2020-04-21 22:28:14,611,88b5ad31-7319-4fc7-8816-e11a076a971d,1,
out/04-21-15-28/log,df388371-1b92-40a1-8180-affc727b6464,A6:38:77:4F:4D:21,out/04-21-15-28/samples101,169,1,2020-04-21 22:27:48,2020-04-21 22:28:14,101,3be7a365-e3a0-4545-9412-8448baced4da,1,
out/04-21-15-28/log,7fe744a4-f150-445f-8989-834b0939fc92,DA:86:CC:57:4A:C4,out/04-21-15-28/samples581,581,1,2020-04-21 22:27:48,2020-04-21 22:28:14,581,85ef1947-bc00-4433-834b-0a4342f3e97d,1,
