Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address
1,92,3afd56f4-4139-41df-a02b-decde2c79e5c,2020-09-10 22:20:57,d214c673-9feb-4ddc-89dc-000f922ea39e,2020-09-10 22:19:27,3,92,92,92,out/09-10-15-19/log,out/09-10-15-19/base_samples92,out/09-10-15-19/bit1_samples92,out/09-10-15-19/bit0_samples92,0,,1.00435567801055,0E:E5:01:09:94:B2
1,37,a7bf9d16-dd1d-41ef-8427-ba6583445bad,2020-09-10 22:20:58,202a79c0-5392-4249-bb18-6345bec9bfa1,2020-09-10 22:19:27,3,37,37,37,out/09-10-15-19/log,out/09-10-15-19/base_samples37,out/09-10-15-19/bit1_samples37,out/09-10-15-19/bit0_samples37,0,,1.00244969285787,0E:01:41:5B:15:4F
1,96,149a4c08-c875-4c4f-82ee-4a42b88b3c86,2020-09-10 22:20:57,80582d37-b32b-4799-8bbf-cb4fd5f59532,2020-09-10 22:19:27,3,96,96,96,out/09-10-15-19/log,out/09-10-15-19/base_samples96,out/09-10-15-19/bit1_samples96,out/09-10-15-19/bit0_samples96,0,,1.00582478475329,5E:F2:34:13:F1:40
1,30,0759f4ba-0de3-41ce-b443-e6c28d85cdc1,2020-09-10 22:20:57,5d74b1d8-8461-45d7-81a2-69d7ecef1d9b,2020-09-10 22:19:27,3,30,30,30,out/09-10-15-19/log,out/09-10-15-19/base_samples30,out/09-10-15-19/bit1_samples30,out/09-10-15-19/bit0_samples30,0,,1.00140235855876,76:A6:DE:9F:78:C3
1,5,1be7b954-9dd2-40dd-a02b-18a0fe03169b,2020-09-10 22:20:58,27627baf-804e-466a-9a63-b682a9c73367,2020-09-10 22:19:27,3,5,5,5,out/09-10-15-19/log,out/09-10-15-19/base_samples5,out/09-10-15-19/bit1_samples5,out/09-10-15-19/bit0_samples5,-0.752089338480459,,1.00417109669481,DA:3B:FD:BB:24:D9
1,76,9612c0db-6078-4a2f-8487-69a8f6c140fa,2020-09-10 22:20:57,346b20bb-8a95-4315-a47a-dc8826a2254a,2020-09-10 22:19:27,3,76,76,76,out/09-10-15-19/log,out/09-10-15-19/base_samples76,out/09-10-15-19/bit1_samples76,out/09-10-15-19/bit0_samples76,0,,1.00125836760777,CE:35:B0:95:A5:A6
1,42,8a6aa9d1-44dd-4d2f-8400-7d382a3545ca,2020-09-10 22:20:57,1c31190a-c0c0-4e37-923a-8b718764c056,2020-09-10 22:19:27,3,42,42,42,out/09-10-15-19/log,out/09-10-15-19/base_samples42,out/09-10-15-19/bit1_samples42,out/09-10-15-19/bit0_samples42,0,,1.00672969274184,3A:FA:91:A2:86:18
1,65,46869bb8-1178-40fd-8c9f-7fbb8f348cc0,2020-09-10 22:20:58,031d981e-fe41-4554-a22d-bd41d9af9ac5,2020-09-10 22:19:27,3,65,65,65,out/09-10-15-19/log,out/09-10-15-19/base_samples65,out/09-10-15-19/bit1_samples65,out/09-10-15-19/bit0_samples65,0,,1.00652713034199,EA:93:F5:BA:83:DB
1,55,f8cca3c6-c377-4b5b-98c1-542491368bfc,2020-09-10 22:20:58,743ae67a-0b0f-4ceb-b1e1-2ee768e53191,2020-09-10 22:19:27,3,55,64,55,out/09-10-15-19/log,out/09-10-15-19/base_samples55,out/09-10-15-19/bit1_samples55,out/09-10-15-19/bit0_samples55,-7.16484004414893,,1.00159224649549,C2:67:DC:84:E8:82
1,23,65a8788a-7504-44b3-aa7a-8635ee18bcd0,2020-09-10 22:20:58,492b1ef9-8d06-4868-a9a7-17ab1134c54e,2020-09-10 22:19:27,3,23,23,23,out/09-10-15-19/log,out/09-10-15-19/base_samples23,out/09-10-15-19/bit1_samples23,out/09-10-15-19/bit0_samples23,0,,1.00068664379494,F6:75:07:E4:BA:00
1,87,bf9169c9-6be4-452e-8247-384eb281e1fc,2020-09-10 22:20:58,d879034a-f273-49bf-8d2b-910e7e34eb8e,2020-09-10 22:19:27,3,87,87,87,out/09-10-15-19/log,out/09-10-15-19/base_samples87,out/09-10-15-19/bit1_samples87,out/09-10-15-19/bit0_samples87,0,,1.01156470103194,2A:81:56:FB:2B:41
1,52,b40c4e3a-885b-4d8e-887e-3930ed0a569f,2020-09-10 22:20:57,d005a006-8b90-409b-8039-ad8efee68446,2020-09-10 22:19:27,3,52,52,52,out/09-10-15-19/log,out/09-10-15-19/base_samples52,out/09-10-15-19/bit1_samples52,out/09-10-15-19/bit0_samples52,0,,1.00413207506389,D6:63:83:9C:70:19
