Start Time,Frequency,MAC Address,Total Bytes Sent,Total Bytes Received,Rdrand Latency,Contention Rdrand Latency,Total Latency
1575687220304,2500.004,e6:f4:66:3b:29:66,90.00B,90.00B,4.736471176147461e-06,4.37769889831543e-06,-3.587722778320311e-07
1575687220282,2500.012,6e:87:92:5e:b7:2b,90.00B,90.00B,4.832649230957031e-06,4.839181900024414e-06,6.532669067382834e-09
1575687220281,2500.012,ae:2e:7e:b0:58:65,90.00B,90.00B,7.955169677734375e-06,5.015850067138672e-06,-2.9393196105957028e-06
1575687220309,2500.004,9e:67:87:c1:ea:0f,90.00B,90.00B,4.511833190917969e-06,4.6222686767578125e-06,1.1043548583984387e-07
1575687220344,2499.994,72:b4:56:c1:0f:7a,90.00B,90.00B,4.459571838378906e-06,4.591035842895508e-06,1.314640045166018e-07
1575687220342,2500.01,e6:8a:d0:76:60:36,90.00B,90.00B,5.050325393676758e-06,5.0091743469238285e-06,-4.1151046752929496e-08
1575687220307,2500.01,66:c1:b7:37:c9:d7,90.00B,90.00B,5.0354480743408204e-06,4.590749740600586e-06,-4.4469833374023474e-07
1575687220365,2500.004,a6:a4:d1:a5:2e:ee,90.00B,90.00B,4.247236251831055e-06,4.385709762573242e-06,1.384735107421875e-07
1575687220361,2500.012,f2:30:68:b6:20:1a,90.00B,90.00B,4.368114471435547e-06,4.12907600402832e-06,-2.390384674072268e-07
1575687220292,2500.008,e6:67:1e:c2:15:58,176.00B,90.00B,4.93617057800293e-06,4.7963619232177734e-06,-1.3980865478515652e-07
1575687220293,2500.012,36:da:bd:4c:ee:5e,90.00B,90.00B,4.864215850830078e-06,5.102443695068359e-06,2.3822784423828085e-07
1575687220290,2499.994,c2:43:18:ba:a3:c2,90.00B,90.00B,5.073404312133789e-06,4.973363876342773e-06,-1.0004043579101541e-07
1575687220292,2500.01,36:c6:05:e5:9f:4f,90.00B,90.00B,4.8129558563232425e-06,5.205869674682617e-06,3.929138183593749e-07
1575687220359,2500.002,d2:6d:d4:19:2d:76,90.00B,90.00B,4.545354843139648e-06,4.387521743774414e-06,-1.5783309936523414e-07
1575687220292,2500.01,76:c3:de:18:62:ca,90.00B,90.00B,5.072498321533203e-06,5.221986770629883e-06,1.4948844909667942e-07
1575687220305,2500.004,2e:af:7a:e1:5d:4e,90.00B,90.00B,4.7942638397216795e-06,4.949283599853516e-06,1.5501976013183633e-07
1575687220353,2500.008,d6:77:81:05:87:cc,90.00B,90.00B,4.7819137573242185e-06,4.966878890991211e-06,1.8496513366699225e-07
1575687220300,2500.01,8e:40:d4:20:5a:05,90.00B,90.00B,4.907464981079102e-06,5.122184753417969e-06,2.1471977233886736e-07
1575687220289,2500.004,92:df:a3:24:40:dd,176.00B,90.00B,5.269765853881836e-06,4.940128326416016e-06,-3.296375274658203e-07
1575687220373,2500.012,3a:f2:0a:44:cf:6d,90.00B,90.00B,4.366588592529297e-06,4.182672500610351e-06,-1.8391609191894613e-07
1575687220382,2500.002,16:f1:55:e3:05:9a,90.00B,180.00B,4.302358627319336e-06,4.287815093994141e-06,-1.4543533325195299e-08
1575687220284,2500.0,46:3b:d6:5c:98:7f,90.00B,90.00B,5.1154136657714845e-06,4.831218719482422e-06,-2.8419494628906254e-07
