Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-20-13-49/log,754295a6-f3ad-4bcb-886b-e4e81171f922,1E:92:2E:78:99:90,549,549,549,549,5,2020-08-20 20:50:13,549,2020-08-20 20:51:17,549,d4cca50c-caae-4e4a-a9f6-666d99e8e255,1,,-,-
out/08-20-13-49/log,c30807ee-a714-4fd5-87a9-ff9c30b28a85,F6:7A:65:AE:BA:C8,92,92,92,92,5,2020-08-20 20:50:00,92,2020-08-20 20:51:16,92,aaca3039-c772-455d-8cdf-a9b4ff9faa25,1,,-,-
out/08-20-13-49/log,1ab64d17-7755-492a-94d0-2230180d124a,9A:C9:28:20:0F:2A,809,809,809,809,5,2020-08-20 20:49:56,809,2020-08-20 20:51:17,809,46175d30-e001-4b7e-8b26-8e1194838a55,1,,-,-
out/08-20-13-49/log,5d8f784e-7f3f-4893-8be3-df352b97c950,8A:46:5E:6E:13:AE,308,308,308,308,5,2020-08-20 20:50:20,308,2020-08-20 20:51:16,308,ab7b7888-1f79-4d36-b994-99a1c7366490,1,,-,-
out/08-20-13-49/log,a7ba9dba-0888-4f8d-b1d3-b941e8cc797b,E2:17:0F:DD:F4:0C,98,98,98,98,5,2020-08-20 20:50:20,98,2020-08-20 20:51:16,98,c47a3956-06d3-4b70-86f2-1cc00ffb8d53,1,,-,-
out/08-20-13-49/log,851b272d-ac02-49d4-b7ac-39673bf7fcb4,9A:03:42:7E:79:5B,1000,992,1000,968,5,2020-08-20 20:49:57,1000,2020-08-20 20:51:16,968,341d11ff-bc0d-4c73-ad57-7ba097abf0fb,1,,-,-
out/08-20-13-49/log,79f67e5b-b6fe-4650-8951-6af97eb6e257,86:3F:9C:37:56:AB,829,829,829,829,5,2020-08-20 20:50:23,921,2020-08-20 20:51:17,829,240688c8-67ac-45b5-a2ab-bba61b5c57ec,1,,-,-
out/08-20-13-49/log,aff5f1dc-e0c0-4381-845d-1cf074ef6569,76:21:B4:6D:A7:4D,742,351,974,350,5,2020-08-20 20:50:00,845,2020-08-20 20:51:17,349,bc63c2a6-2135-4b64-b647-856d4607c2bc,1,,-,-
out/08-20-13-49/log,a8f898db-a83b-4a6e-971b-44fa221a1bf6,5E:41:30:43:49:5C,556,556,424,552,5,2020-08-20 20:50:07,520,2020-08-20 20:51:16,424,1ae44225-6643-4d8d-9efc-9b8805f68faa,1,,-,-
out/08-20-13-49/log,6d32461d-4221-4603-bee4-dd5ca3b2345f,C2:30:E0:70:E9:C1,192,192,192,192,5,2020-08-20 20:50:00,192,2020-08-20 20:51:16,192,e2a9cacf-deff-4578-be13-eda0c3c04a6f,1,,-,-
out/08-20-13-49/log,876e780d-cf9a-4bb9-a3f6-4c45f9f318f9,3E:AC:8A:50:7F:D9,708,708,708,708,5,2020-08-20 20:50:16,708,2020-08-20 20:51:16,708,1a5e6ab9-18d7-42ba-8523-fdb05ef7eab4,1,,-,-
out/08-20-13-49/log,e53e470e-7410-4c9d-a607-b8a6971b46df,8E:61:CA:5B:3C:DA,766,766,766,766,5,2020-08-20 20:49:57,766,2020-08-20 20:51:16,766,d8933c42-1cd2-4bb2-90d7-47115bda7f77,1,,-,-
out/08-20-13-49/log,2c1c692f-2a6a-4314-9bdf-ec858861d733,56:3A:AF:F7:B3:BF,693,693,693,693,5,2020-08-20 20:50:20,693,2020-08-20 20:51:17,693,54c0588b-a04a-4ee5-82c2-73348c89d2f3,1,,-,-
out/08-20-13-49/log,8e766579-1c77-4a42-82b4-3ea851db0eb8,A2:14:4A:FF:4B:B5,676,676,676,676,5,2020-08-20 20:50:18,676,2020-08-20 20:51:16,676,b91d7dc3-c4da-4e38-b141-18c08dcf25fb,1,,-,-
out/08-20-13-49/log,bd1f075a-43f4-4f1c-aaf3-614056d6f662,92:49:A1:DE:DD:7E,825,825,825,825,5,2020-08-20 20:49:57,825,2020-08-20 20:51:17,825,7fb2b468-0a64-4baa-8c55-90f742a48f01,1,,-,-
out/08-20-13-49/log,c91b2dba-ae60-44ad-ba8f-cf9cb83f6b98,5A:3E:94:97:BA:12,962,962,962,962,5,2020-08-20 20:49:56,962,2020-08-20 20:51:16,962,a8d19512-5c29-4676-8fc1-fa2c1cdc4c9c,1,,-,-
out/08-20-13-49/log,5721e6dd-c424-48b3-9f1e-47854c70c424,E6:FE:30:51:CF:C5,689,672,897,657,5,2020-08-20 20:49:57,1008,2020-08-20 20:51:16,180,f56618b1-bd07-4731-a651-2ee22295b79c,1,,-,-
out/08-20-13-49/log,dbf28162-79c0-4884-af29-d80771afbf65,1E:58:7C:3F:CF:5F,802,802,802,802,5,2020-08-20 20:50:20,802,2020-08-20 20:51:16,802,6e27d4a3-8879-413c-9da0-9f12307aab1d,1,,-,-
out/08-20-13-49/log,3f3d71fb-df41-455e-8bae-22fb574a8b6b,EE:7A:89:63:A0:A6,798,798,798,798,5,2020-08-20 20:50:22,798,2020-08-20 20:51:16,798,03906e67-a67c-4f9b-9314-d44b4a436ace,1,,-,-
out/08-20-13-49/log,b3b8f98f-8854-4d29-a389-314b03558e39,56:80:04:D1:52:E5,901,901,901,901,5,2020-08-20 20:49:57,901,2020-08-20 20:51:17,901,6babf8e9-8f99-4737-a107-04114db2108d,1,,-,-
out/08-20-13-49/log,b16922b2-dbc1-412c-9787-b903e3eb85f6,66:53:D0:D4:79:83,770,529,807,674,5,2020-08-20 20:50:23,934,2020-08-20 20:51:17,529,dcb2f645-6164-4c12-b503-fb48f2521f44,1,,-,-
out/08-20-13-49/log,129ed347-241c-4517-bfc5-3155714e7bcd,E6:F4:01:51:9F:E8,374,374,374,374,5,2020-08-20 20:50:10,374,2020-08-20 20:51:16,374,2688ab83-f1c6-40c0-b5aa-faa962529e3d,1,,-,-
out/08-20-13-49/log,b4b84b4f-c9d2-4cfc-955e-7c446d7387e1,7E:D0:77:BE:D3:6F,948,948,948,948,5,2020-08-20 20:49:59,948,2020-08-20 20:51:16,948,a390f94a-4fc0-4ce7-9fda-1fe5393de013,1,,-,-
out/08-20-13-49/log,a0b51d2a-3a50-4bc9-8281-dcef6dab8ed2,D2:E8:6E:3B:71:C8,469,469,469,469,5,2020-08-20 20:50:08,469,2020-08-20 20:51:17,469,39d84759-e791-4129-8a7e-7a2a7a55e35d,1,,-,-
out/08-20-13-49/log,2c045761-8f4d-420f-9128-0a57ec4e448c,32:A6:87:C0:3F:71,365,365,365,365,5,2020-08-20 20:49:56,365,2020-08-20 20:51:17,365,9a82d3b9-ee25-4d87-b6ff-87f26a2a0f1e,1,,-,-
out/08-20-13-49/log,437d8a1a-9510-46b2-85a4-6a72a0333e52,C6:AE:3D:50:32:EA,480,480,480,480,5,2020-08-20 20:50:20,480,2020-08-20 20:51:16,480,673f5e51-4574-4244-8c2a-f4d43f8e1323,1,,-,-
out/08-20-13-49/log,0e2f356e-af79-4205-849f-8cab552f20c9,52:1E:AB:F2:EB:AE,837,837,837,837,5,2020-08-20 20:49:57,890,2020-08-20 20:51:17,837,dc88209e-6726-45bd-82d7-a3caaf0ff2cc,1,,-,-
out/08-20-13-49/log,e69edb86-0948-40f3-bd49-cd4055abfc23,E2:E2:C9:FE:87:04,680,680,863,680,5,2020-08-20 20:50:15,680,2020-08-20 20:51:16,680,2e5788f2-6acb-4143-8a91-9577d2b6b4cb,1,,-,-
out/08-20-13-49/log,944ec4de-18c4-446d-8de7-3fd9cb020117,FE:7F:39:13:6D:EC,736,736,736,736,5,2020-08-20 20:49:57,736,2020-08-20 20:51:16,736,c69db137-d220-423d-9d57-3f43730ab508,1,,-,-
out/08-20-13-49/log,21a9f10f-21e3-4c34-97d1-0141ec657e44,BA:1C:72:95:4B:E9,528,561,561,561,5,2020-08-20 20:49:59,689,2020-08-20 20:51:16,130,01755380-08b7-4ef8-851a-f03eb07f2603,1,,-,-
out/08-20-13-49/log,41c959e5-2cec-4160-a33e-c5b04304a5c5,7E:59:48:D2:1C:13,767,767,767,896,5,2020-08-20 20:50:22,767,2020-08-20 20:51:17,767,66797f70-7890-4dcf-b417-1496d2b8a661,1,,-,-
