Id,RefDist,ClusterDist
861,0.0,0.0
292,0.0,0.0
849,1.8,3.0
156,3.2,4.4
851,0.0,0.0
594,0.0,0.0
649,0.0,0.0
399,0.0,0.0
525,0.0,0.0
232,0.0,0.0
70,0.0,0.0
188,4.8,3.4
191,0.0,0.0
447,7.6,2.6
474,0.0,0.0
398,3.6,3.4
513,0.4,0.8
834,0.0,0.0
452,0.0,0.0
378,0.0,0.0
945,0.0,0.0
682,0.0,0.0
808,0.0,0.0
549,0.0,0.0
92,0.0,0.0
809,0.0,0.0
308,0.0,0.0
98,0.0,0.0
968,1.0,0.8
829,0.6,1.2
349,3.6,4.0
424,3.0,2.2
192,0.0,0.0
708,0.0,0.0
766,0.0,0.0
693,0.0,0.0
676,0.0,0.0
825,0.0,0.0
962,0.0,0.0
180,4.0,2.8
802,0.0,0.0
798,0.0,0.0
901,0.0,0.0
529,4.2,3.8
374,0.0,0.0
948,0.0,0.0
469,0.0,0.0
365,0.0,0.0
480,0.0,0.0
837,1.2,2.4
680,1.6,3.2
736,0.0,0.0
130,5.4,1.2
767,1.6,3.2
197,0.0,0.0
193,0.0,0.0
617,2.0,3.2
582,5.6,3.0
618,0.0,0.0
795,2.6,3.4
471,0.0,0.0
773,0.0,0.0
370,0.4,0.8
577,0.0,0.0
678,0.0,0.0
758,0.0,0.0
496,0.0,0.0
498,6.8,4.2
441,0.0,0.0
175,0.0,0.0
614,0.0,0.0
713,0.0,0.0
329,0.0,0.0
426,0.0,0.0
235,5.8,1.0
642,0.0,0.0
502,3.8,4.4
125,0.0,0.0
241,0.0,0.0
85,0.0,0.0
458,0.0,0.0
966,1.6,2.6
389,0.0,0.0
507,0.0,0.0
888,0.0,0.0
976,0.6,1.2
305,0.0,0.0
895,0.0,0.0
221,0.0,0.0
797,4.0,1.4
1,0.0,0.0
677,2.6,2.8
908,0.0,0.0
149,0.0,0.0
515,0.0,0.0
611,3.2,1.0
304,0.0,0.0
826,0.0,0.0
352,0.0,0.0
456,0.0,0.0
186,0.0,0.0
310,4.2,5.2
606,0.0,0.0
207,0.0,0.0
590,0.0,0.0
938,0.0,0.0
738,0.0,0.0
483,0.0,0.0
234,0.0,0.0
272,4.4,4.4
306,0.0,0.0
141,0.0,0.0
730,0.0,0.0
51,0.0,0.0
240,0.0,0.0
64,2.8,2.8
384,0.0,0.0
400,0.0,0.0
42,4.6,2.2
953,0.0,0.0
783,0.0,0.0
978,0.0,0.0
538,0.0,0.0
455,0.0,0.0
153,0.0,0.0
575,3.2,2.6
179,0.0,0.0
833,0.0,0.0
567,0.0,0.0
321,0.0,0.0
274,0.0,0.0
409,0.0,0.0
72,0.0,0.0
675,0.0,0.0
725,0.0,0.0
350,0.0,0.0
470,0.0,0.0
527,0.0,0.0
440,0.0,0.0
8,0.0,0.0
855,1.4,2.2
251,0.0,0.0
639,0.0,0.0
683,1.6,2.6
882,1.0,1.6
3,0.0,0.0
168,0.0,0.0
134,0.0,0.0
2,0.0,0.0
334,0.0,0.0
587,0.0,0.0
34,0.0,0.0
904,0.0,0.0
338,3.0,4.0
65,0.0,0.0
780,0.0,0.0
317,0.0,0.0
796,0.0,0.0
23,0.0,0.0
73,0.0,0.0
89,0.0,0.0
48,0.0,0.0
300,0.0,0.0
6,4.4,3.4
348,0.0,0.0
116,1.2,1.8
159,0.0,0.0
853,0.0,0.0
832,0.2,0.4
991,0.0,0.0
741,0.0,0.0
154,3.4,3.6
157,0.0,0.0
9,0.0,0.0
162,0.0,0.0
839,0.0,0.0
775,0.0,0.0
963,0.6,1.2
461,0.0,0.0
131,0.0,0.0
118,2.6,3.0
995,0.0,0.0
302,0.0,0.0
893,0.0,0.0
863,0.0,0.0
653,0.0,0.0
102,0.0,0.0
347,0.0,0.0
105,0.0,0.0
657,1.6,2.6
596,0.0,0.0
155,0.0,0.0
891,0.0,0.0
143,6.2,1.8
140,3.8,4.6
622,0.0,0.0
546,3.4,0.6
535,0.0,0.0
967,0.0,0.0
