GUID,CPU CPI,Success,Id,Request ID,Start Time,Phases,Phase 1,Logs,Base Sample,Predecessors,Bit-1 Sample,IP Address,Bit-1 Pvalue,Bit-0 Sample,Error,Bit-0 Pvalue,MAC Address,End Time,Boot ID,Warm Start,Tag
10-15-22-36-3,6.804537,1,3,6f2ad224-09b5-40e5-bac2-7bb313d9c0c0,2020-10-16 05:36:52,1,3,out/10-15-22-36/log,out/10-15-22-36/base_samples3,,out/10-15-22-36/bit1_samples3,169.254.76.1,0,out/10-15-22-36/bit0_samples3,,0.262362648712386,AE:10:BD:98:35:EE,2020-10-16 05:37:10,558672fe-40e1-405e-9d89-93ee1a51f622,No,membus3008
10-15-22-36-5,6.827418,1,5,d2107891-5996-4f2a-9f43-663827eb9c73,2020-10-16 05:36:52,1,5,out/10-15-22-36/log,out/10-15-22-36/base_samples5,,out/10-15-22-36/bit1_samples5,169.254.76.1,0,out/10-15-22-36/bit0_samples5,,0.292606981274953,CA:A1:91:85:67:F0,2020-10-16 05:37:10,4c51a846-5a27-4bed-9e22-32d5190fbf90,No,membus3008
10-15-22-36-2,6.758368,1,2,26ffb366-8cac-4530-807b-ee0769127a41,2020-10-16 05:36:52,1,2,out/10-15-22-36/log,out/10-15-22-36/base_samples2,,out/10-15-22-36/bit1_samples2,169.254.76.1,0,out/10-15-22-36/bit0_samples2,,0.116376157888977,FE:F5:5B:E9:7D:BC,2020-10-16 05:37:10,865cbcfc-c0aa-43dd-a4b8-7692dfd6fe89,No,membus3008
10-15-22-36-7,8.001198,1,7,2aae9e5c-1a5e-4bb1-9be7-2db26b6d4c3a,2020-10-16 05:36:52,1,7,out/10-15-22-36/log,out/10-15-22-36/base_samples7,,out/10-15-22-36/bit1_samples7,169.254.76.1,0,out/10-15-22-36/bit0_samples7,,0.136131035913953,AE:9F:24:64:8A:F1,2020-10-16 05:37:10,c35a5f25-13ba-438e-bec8-bb5073ee032e,No,membus1536
10-15-22-36-1,6.814209,1,1,d39f022f-6e89-4f39-86e8-3b1acabb1f76,2020-10-16 05:36:52,1,1,out/10-15-22-36/log,out/10-15-22-36/base_samples1,,out/10-15-22-36/bit1_samples1,169.254.76.1,0,out/10-15-22-36/bit0_samples1,,0.164918361793066,CA:1C:29:A8:22:EC,2020-10-16 05:37:10,0f526359-0169-4c2c-a39f-2e162fc4bd07,No,membus3008
10-15-22-36-6,6.845832,1,6,108ced8b-36b2-4b76-be44-64e68aecc1a2,2020-10-16 05:36:52,1,6,out/10-15-22-36/log,out/10-15-22-36/base_samples6,,out/10-15-22-36/bit1_samples6,169.254.76.1,0,out/10-15-22-36/bit0_samples6,,0.668860438422791,AE:9B:4B:E5:84:DA,2020-10-16 05:37:10,11f7bf03-41e4-4761-80a5-653d655cd30a,No,membus3008
10-15-22-36-10,7.810386,1,10,68b32f56-c580-4f0b-b352-eda41a706098,2020-10-16 05:36:52,1,10,out/10-15-22-36/log,out/10-15-22-36/base_samples10,,out/10-15-22-36/bit1_samples10,169.254.76.1,0,out/10-15-22-36/bit0_samples10,,0.695720183696414,06:08:2D:10:5E:ED,2020-10-16 05:37:10,ee937683-1e2a-4083-9756-aecc8813d4f0,No,membus1536
10-15-22-36-9,6.743390,1,9,dd4a4e71-a6c8-4c49-8afc-c82622c289f1,2020-10-16 05:36:52,1,9,out/10-15-22-36/log,out/10-15-22-36/base_samples9,,out/10-15-22-36/bit1_samples9,169.254.76.1,0,out/10-15-22-36/bit0_samples9,,0.512615325062212,EE:E8:93:40:FD:4A,2020-10-16 05:37:10,281a26da-592f-4184-81e2-364ee126853f,No,membus3008
10-15-22-36-8,6.710207,1,8,092af8fc-066f-45f4-81c7-37c9de1a6eaf,2020-10-16 05:36:52,1,8,out/10-15-22-36/log,out/10-15-22-36/base_samples8,,out/10-15-22-36/bit1_samples8,169.254.76.1,0,out/10-15-22-36/bit0_samples8,,0.140919293775061,8A:80:B9:72:22:92,2020-10-16 05:37:10,6b62d32a-290c-4190-95b0-3f700f7eccf2,No,membus3008
10-15-22-36-4,6.813571,1,4,f253afc2-afc1-4a0d-8487-18422a7b496c,2020-10-16 05:36:52,1,4,out/10-15-22-36/log,out/10-15-22-36/base_samples4,,out/10-15-22-36/bit1_samples4,169.254.76.1,0,out/10-15-22-36/bit0_samples4,,0.240001682708997,E6:BD:BE:D2:19:E8,2020-10-16 05:37:10,031f30f2-9519-43b2-b057-1762268466f4,No,membus3008
