GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-27-23-00-491,1,491,170d5348-7fde-4d85-aa2c-fca6acd1ca50,2020-09-28 06:02:03,566f640f-86a1-4eef-9e8b-3bb84d7ce8cc,2020-09-28 06:00:13,3,993,993,993,out/09-27-23-00/log,out/09-27-23-00/base_samples491,,out/09-27-23-00/bit1_samples491,out/09-27-23-00/bit0_samples491,5.91471163094462,,0.855236016273603,86:A4:86:80:EF:0D,No
09-27-23-00-69,1,69,c11bd56e-c4dc-439e-abe3-4a52a5531396,2020-09-28 06:02:03,0418d25d-9560-4255-a1b3-1b13b2d32a59,2020-09-28 06:00:09,3,393,393,393,out/09-27-23-00/log,out/09-27-23-00/base_samples69,,out/09-27-23-00/bit1_samples69,out/09-27-23-00/bit0_samples69,6.14055571573127,,0.18497491886856,92:F3:E5:4B:CB:FF,No
09-27-23-00-4,1,4,e5a388a3-be32-4f96-beb0-1678b43cb8a9,2020-09-28 06:02:03,722b70fb-8573-4dd4-a05e-b028b661af63,2020-09-28 06:00:04,3,425,425,425,out/09-27-23-00/log,out/09-27-23-00/base_samples4,,out/09-27-23-00/bit1_samples4,out/09-27-23-00/bit0_samples4,7.16825885407551,,0.901457190073398,F2:9E:44:CA:13:39,No
09-27-23-00-857,1,857,21c94588-c755-406f-b984-8d310167813d,2020-09-28 06:02:03,b0659660-9c62-4cb0-b572-4210803704e4,2020-09-28 06:00:29,3,857,857,857,out/09-27-23-00/log,out/09-27-23-00/base_samples857,,out/09-27-23-00/bit1_samples857,out/09-27-23-00/bit0_samples857,0,,0.146478578449173,EE:5D:6B:9D:71:F4,No
09-27-23-00-733,1,733,fa01ad26-85f6-43b7-92d6-5b06c5a454ef,2020-09-28 06:02:03,a50d716c-bf7f-4742-acbd-22beafefbd25,2020-09-28 06:00:23,3,733,733,733,out/09-27-23-00/log,out/09-27-23-00/base_samples733,,out/09-27-23-00/bit1_samples733,out/09-27-23-00/bit0_samples733,0,,0.195379211482842,E2:06:E8:F8:DC:B6,No
09-27-23-00-823,1,823,89828bc5-d7c6-44ec-adbb-42919bb3168a,2020-09-28 06:02:03,2371beae-c151-4c29-84c9-f14a4beba300,2020-09-28 06:00:27,3,823,823,823,out/09-27-23-00/log,out/09-27-23-00/base_samples823,,out/09-27-23-00/bit1_samples823,out/09-27-23-00/bit0_samples823,0,,0.332615111653094,FA:48:76:8F:1E:01,No
09-27-23-00-887,1,887,d8d365b6-9ffb-4197-b3eb-c1a952b7edd7,2020-09-28 06:02:03,654640db-911a-44a1-85d6-d477918d478b,2020-09-28 06:00:30,3,887,887,887,out/09-27-23-00/log,out/09-27-23-00/base_samples887,,out/09-27-23-00/bit1_samples887,out/09-27-23-00/bit0_samples887,0,,0.359596097022982,D2:60:C8:7D:95:E0,No
09-27-23-00-791,1,791,09ac2706-3c6b-4797-b83d-183b45034641,2020-09-28 06:02:03,b6eaaf4a-0fa6-4583-a707-0436116de8da,2020-09-28 06:00:24,3,823,823,823,out/09-27-23-00/log,out/09-27-23-00/base_samples791,,out/09-27-23-00/bit1_samples791,out/09-27-23-00/bit0_samples791,6.13149795864686,,0.34559548626248,C6:E5:D6:76:FB:B8,No
09-27-23-00-352,1,352,b65d37de-494c-40ad-b8cb-775518076d13,2020-09-28 06:02:03,de80e19b-a21e-46b8-a492-64e5753a0e21,2020-09-28 06:00:10,3,371,371,371,out/09-27-23-00/log,out/09-27-23-00/base_samples352,,out/09-27-23-00/bit1_samples352,out/09-27-23-00/bit0_samples352,6.00193130980953,,0.482777345854539,52:46:6C:C1:13:91,No
09-27-23-00-188,1,188,947396e1-94dc-482f-83e9-bcecfd03155c,2020-09-28 06:02:03,6ffef98a-9c7f-456b-90c8-c71de19301db,2020-09-28 06:00:04,3,379,379,379,out/09-27-23-00/log,out/09-27-23-00/base_samples188,,out/09-27-23-00/bit1_samples188,out/09-27-23-00/bit0_samples188,6.65295907725845,,0.253160297489449,1E:A6:60:B1:24:1F,No
