Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-13-15-59/log,647013ab-bca3-45a5-90c8-3b03a542db1e,F2:30:D4:28:B1:44,40,40,40,40,5,2020-08-13 22:56:48,40,2020-08-13 22:58:11,40,b7ec9ac7-e461-4fec-b019-962a7214a226,1,,-,-
out/08-13-15-59/log,99c4afb6-59ae-4f54-a1fa-2ca5a041e4d9,26:AE:71:2E:2E:C5,79,75,46,46,5,2020-08-13 22:56:48,206,2020-08-13 22:58:12,45,e819550f-e135-4c1f-9127-f7c1894fd5c0,1,,-,-
out/08-13-15-59/log,e1473e72-f3a7-4504-97c8-70d7b6bd204b,F6:D4:94:66:5C:AF,86,86,86,86,5,2020-08-13 22:56:48,86,2020-08-13 22:58:11,86,4356a042-f653-42a2-8030-1c9797a04e69,1,,-,-
out/08-13-15-59/log,55a2c6f5-2778-4d99-9679-260fd8079be3,7E:76:99:CE:3C:AB,81,81,81,81,5,2020-08-13 22:56:48,81,2020-08-13 22:58:12,81,5e459d36-31bb-4727-898e-2abccfc23410,1,,-,-
out/08-13-15-59/log,dc40886c-2574-405a-9531-0afb86c2f250,22:3A:92:DC:04:C1,97,95,106,107,5,2020-08-13 22:56:48,107,2020-08-13 22:58:11,34,2f206131-01a8-47d5-a845-6ee8d1e43aa7,1,,-,-
out/08-13-15-59/log,9337cb97-942b-42de-bdb1-8a5798360c25,D2:FF:5E:AC:A7:F8,82,175,127,83,5,2020-08-13 22:56:48,82,2020-08-13 22:58:11,82,67f374c6-d3c7-4356-81c8-86c35ead695f,1,,-,-
out/08-13-15-59/log,2d261c02-5658-4d60-ba70-098d4fa6e56f,4E:18:85:F9:4A:32,33,33,33,33,5,2020-08-13 22:56:48,33,2020-08-13 22:58:12,33,42c3e905-106b-4b80-a109-e8f1de9cf0b5,1,,-,-
out/08-13-15-59/log,ce7d707b-1011-4ec0-8afd-62201f93a886,36:7F:6A:71:5F:98,89,90,95,90,5,2020-08-13 22:56:48,90,2020-08-13 22:58:12,89,c41aa3d8-dee8-4a31-814b-9ac0424a76a7,1,,-,-
out/08-13-15-59/log,ecaa80dd-bad6-491f-85a8-19ffd3e6f6af,2A:89:67:59:6E:BC,60,62,60,60,5,2020-08-13 22:56:48,60,2020-08-13 22:58:11,60,a6b3d273-1801-4307-b11e-d4b8e1aa4902,1,,-,-
out/08-13-15-59/log,406d8bd9-51c9-4b59-b21f-387b188186cd,6A:6C:22:BD:40:06,16,16,16,16,5,2020-08-13 22:56:48,16,2020-08-13 22:58:11,16,0c2ba5bd-3754-46cc-9bb5-820676106d3a,1,,-,-
out/08-13-15-59/log,2d4af711-5d7a-4dc2-ab73-e85b3614c3c2,EE:7B:19:37:B8:E4,128,41,41,55,5,2020-08-13 22:56:48,41,2020-08-13 22:58:12,41,50866f5f-7781-4ec7-b349-20411b5c466f,1,,-,-
out/08-13-15-59/log,02a9db2e-4cc5-4a8b-b117-db957174ae8e,92:35:36:21:6D:19,75,75,75,75,5,2020-08-13 22:56:48,75,2020-08-13 22:58:12,75,721510ee-7686-42d9-98a6-1e4de5da9386,1,,-,-
out/08-13-15-59/log,74046c30-8588-4140-a90c-5e46692e26c5,26:6A:06:97:35:56,62,62,62,62,5,2020-08-13 22:56:48,62,2020-08-13 22:58:11,62,b299fcd0-b833-4629-9eb5-891c6f74b2b0,1,,-,-
out/08-13-15-59/log,abe331ef-6172-4b70-9206-902e9caa16f8,B2:62:0C:B8:9D:6F,46,46,46,46,5,2020-08-13 22:56:48,46,2020-08-13 22:58:11,46,eba3e32a-3d00-434f-95f5-eaf91073c095,1,,-,-
out/08-13-15-59/log,ae1254ab-d5ef-4807-adc6-622b1761a1c7,96:52:DA:86:59:83,60,29,29,29,5,2020-08-13 22:56:48,37,2020-08-13 22:58:12,29,4d64ef6e-a391-4109-8d2b-4e4a7fe8da08,1,,-,-
out/08-13-15-59/log,9363b062-f8ac-4736-a45a-8e6156746c06,52:DD:29:4D:50:CA,31,31,31,31,5,2020-08-13 22:56:48,31,2020-08-13 22:58:12,31,6ea4b82f-bc27-4aea-b3e8-662729a0c691,1,,-,-
out/08-13-15-59/log,6f4d5437-16dc-41e8-83a1-9939f6ecb516,B6:0B:99:C1:2E:13,60,39,60,60,5,2020-08-13 22:56:48,60,2020-08-13 22:58:12,39,ca4c74ee-f04a-44b6-a04d-c4eca4f2c6d6,1,,-,-
out/08-13-15-59/log,4c8d6ffd-31e1-4b1b-a859-8f782ac983c6,C6:9E:09:B3:69:23,240,108,56,56,5,2020-08-13 22:56:48,56,2020-08-13 22:58:11,56,e52ff51a-d283-46be-aa34-b9b250518cf2,1,,-,-
out/08-13-15-59/log,cb2b7c20-d055-4821-b1d7-a549bcd7970d,F6:B9:97:5F:73:E0,87,124,92,238,5,2020-08-13 22:56:48,93,2020-08-13 22:58:11,78,2f7304ae-bdec-464d-95dd-cfad0b87bf33,1,,-,-
out/08-13-15-59/log,1da591a7-385b-4a9c-90ed-d90e6fce97f1,66:E6:2C:50:5C:B9,5,5,5,5,5,2020-08-13 22:56:48,5,2020-08-13 22:58:12,5,2ad884c4-bea5-45ce-a2c2-2b0fbb9730f4,1,,-,-
out/08-13-15-59/log,260d1606-10aa-4008-9105-7bcd19061366,BE:73:CA:54:4C:CB,60,63,124,60,5,2020-08-13 22:56:48,104,2020-08-13 22:58:12,57,b36104f7-cc86-4e12-8cd3-ed0a6979a2c5,1,,-,-
out/08-13-15-59/log,90e41403-e827-45d7-af88-f0092e89e541,0E:9C:22:48:98:71,51,51,51,52,5,2020-08-13 22:56:48,51,2020-08-13 22:58:12,51,cb0b29ce-6597-4a65-a9f7-308699a25f53,1,,-,-
out/08-13-15-59/log,9d08cae5-fe91-42c0-8275-33e7bdfe0840,AA:41:BD:1C:92:4B,97,87,96,81,5,2020-08-13 22:56:48,120,2020-08-13 22:58:11,68,d839d62e-e340-4e27-9ab9-ba598ac070fe,1,,-,-
out/08-13-15-59/log,fbba242c-d886-4376-aaff-bf5ef0eac484,0E:38:1B:A0:D1:BE,255,222,143,124,5,2020-08-13 22:56:48,119,2020-08-13 22:58:11,54,c052d831-1adf-4bdf-92e6-dfa9d06e66de,1,,-,-
out/08-13-15-59/log,82fb42bb-3ac8-47c2-9b4b-8b32d44ae9bf,B6:E5:40:A5:82:D6,126,252,232,110,5,2020-08-13 22:56:48,252,2020-08-13 22:58:12,79,a0c24546-b380-48e4-86b1-60f842923cf3,1,,-,-
out/08-13-15-59/log,0cf7ff40-7a62-4d0f-a2ab-eeeb9e375413,5A:5A:08:5B:AC:81,91,91,91,91,5,2020-08-13 22:56:48,91,2020-08-13 22:58:12,91,6ee68a03-7b6c-4cd7-ab49-bfff0b0eed36,1,,-,-
out/08-13-15-59/log,077536e2-8b97-40a4-a615-0c7e2bd32552,1E:C2:7B:22:1B:36,11,11,11,11,5,2020-08-13 22:56:48,11,2020-08-13 22:58:12,11,77a1d738-0ec0-4df0-8a81-1f015823346a,1,,-,-
out/08-13-15-59/log,a1f7ad43-700f-42da-b05a-878e2c3c71c7,A6:6F:77:F3:D2:91,74,74,112,88,5,2020-08-13 22:56:48,120,2020-08-13 22:58:11,74,4c6d2a02-f019-4c05-94da-1a3987dda0bd,1,,-,-
out/08-13-15-59/log,c31f958e-f65f-4a2e-be0c-8699b9a23982,F6:EE:44:30:43:41,90,88,89,88,5,2020-08-13 22:56:48,89,2020-08-13 22:58:11,88,38617f1d-435c-4e2f-8f74-0528114a0939,1,,-,-
out/08-13-15-59/log,e6ba7665-f501-4d2f-a0f6-e1f2b6cc3340,E6:18:4D:80:24:0D,31,27,75,74,5,2020-08-13 22:56:48,27,2020-08-13 22:58:12,27,f00fe992-4263-46ac-8c45-abcd2045bc4a,1,,-,-
out/08-13-15-59/log,1762ee93-5d25-4d72-8dfe-d8d4fe4586cc,F6:FD:BB:9F:B8:20,100,100,100,100,5,2020-08-13 22:56:48,100,2020-08-13 22:58:11,100,101fafc4-cc24-47b0-bc30-a828206ac893,1,,-,-
out/08-13-15-59/log,eb353bd7-f051-41c5-a205-d1345a2ca194,A2:66:76:37:94:AB,47,47,76,89,5,2020-08-13 22:56:48,93,2020-08-13 22:58:12,47,de5f8591-0a1b-465a-b573-06e8a5fa2986,1,,-,-
out/08-13-15-59/log,c04f4382-1a77-4ab6-858f-7f7630f6943e,C2:07:A7:F6:22:38,224,123,80,80,5,2020-08-13 22:56:48,64,2020-08-13 22:58:12,49,45fd8a82-b47d-4704-96de-98667e4ff8d5,1,,-,-
out/08-13-15-59/log,a8602242-7ad6-41d4-9e36-fd0ad11912c7,46:FE:6B:35:A9:0C,82,55,55,80,5,2020-08-13 22:56:48,80,2020-08-13 22:58:12,55,6d13832a-eec1-4492-b3fc-bef16fa32c14,1,,-,-
out/08-13-15-59/log,8c66bc04-e93c-4a46-a765-89c6c2dba0e1,A6:8F:6C:EB:36:EF,89,90,24,82,5,2020-08-13 22:56:48,90,2020-08-13 22:58:11,18,7c2daf66-8e43-42fe-8c65-3de90be7c9fd,1,,-,-
out/08-13-15-59/log,dde0b5fb-6fb1-4024-b4f5-542142beb1f9,8E:19:E5:CE:B8:9B,80,80,80,80,5,2020-08-13 22:56:48,80,2020-08-13 22:58:11,80,acceff51-6a76-453c-a8ff-3b866d4d17c2,1,,-,-
out/08-13-15-59/log,fa30ae42-bc67-47e5-8bd4-a6472f5ed94b,1A:A3:4E:5B:32:85,17,17,17,17,5,2020-08-13 22:56:48,17,2020-08-13 22:58:12,17,849b006f-0b07-4e72-8117-a158b9978b25,1,,-,-
out/08-13-15-59/log,05deafa0-fab2-4ee4-a550-fe4e45aeb22b,16:01:1F:75:23:E5,15,27,15,15,5,2020-08-13 22:56:48,15,2020-08-13 22:58:12,15,2d708392-d64d-4bac-81cf-8065b26de80a,1,,-,-
out/08-13-15-59/log,1b1f8df0-a5fb-431c-8a29-0d871381775a,9A:63:92:6A:5D:85,92,119,113,92,5,2020-08-13 22:56:48,94,2020-08-13 22:58:11,92,0ac6237b-0145-48f9-970a-b3e16fa0c63f,1,,-,-
out/08-13-15-59/log,d7a50ccd-1bc9-459c-ba1b-cd2cc8337b4e,A6:09:79:E5:14:32,13,13,13,13,5,2020-08-13 22:56:48,13,2020-08-13 22:58:12,13,114a3531-dcf1-40bf-8b2c-1763e6b18e75,1,,-,-
