GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-26-23-03-65,1,65,81767b9e-6a54-4b80-987b-49e0f6f28004,2020-09-27 06:05:12,93072306-18e3-4bc9-9c59-8c8e4e2fe829,2020-09-27 06:03:13,3,883,883,883,out/09-26-23-03/log,out/09-26-23-03/base_samples65,,out/09-26-23-03/bit1_samples65,out/09-26-23-03/bit0_samples65,7.91015054206788,,0.154461467343047,52:AB:93:E7:82:3C,No
09-26-23-03-546,1,546,29423cf0-7758-48d5-8d3a-4839a3a7c5b6,2020-09-27 06:05:12,9607ef53-b061-48d8-9aa9-2016488f9af7,2020-09-27 06:03:16,3,862,862,862,out/09-26-23-03/log,out/09-26-23-03/base_samples546,,out/09-26-23-03/bit1_samples546,out/09-26-23-03/bit0_samples546,7.86147068682606,,0.718609059388509,1E:EE:69:10:0A:15,No
09-26-23-03-309,1,309,e616cb5d-dac1-41f5-985f-313f7a9242a8,2020-09-27 06:05:12,56799212-1269-4c5d-b003-b858241740f8,2020-09-27 06:03:21,3,878,878,878,out/09-26-23-03/log,out/09-26-23-03/base_samples309,,out/09-26-23-03/bit1_samples309,out/09-26-23-03/bit0_samples309,8.75235941608628,,0.713076675070058,C6:2A:3E:5F:F3:31,No
09-26-23-03-486,1,486,9ae5c6f8-834a-4325-8915-fa148ccdd8a4,2020-09-27 06:05:12,96ffb071-257d-4a7d-b019-311ec647f6ae,2020-09-27 06:03:45,3,744,744,744,out/09-26-23-03/log,out/09-26-23-03/base_samples486,,out/09-26-23-03/bit1_samples486,out/09-26-23-03/bit0_samples486,7.77702657547586,,0.369001301992238,9A:DC:18:79:D5:F0,No
09-26-23-03-569,1,569,a8d8eb0c-51fb-44db-9155-36987801c454,2020-09-27 06:05:12,61cf4eba-4f80-46f4-930b-34e3fc5cb0cc,2020-09-27 06:03:24,3,958,958,958,out/09-26-23-03/log,out/09-26-23-03/base_samples569,,out/09-26-23-03/bit1_samples569,out/09-26-23-03/bit0_samples569,8.07775170797232,,0.438012175772546,62:24:AB:15:F4:A0,No
09-26-23-03-758,1,758,f22dcf42-7d54-462d-9890-591f9434f8e5,2020-09-27 06:05:12,d58e410d-5827-4d01-a4e3-a844592b34ce,2020-09-27 06:03:20,3,829,829,829,out/09-26-23-03/log,out/09-26-23-03/base_samples758,,out/09-26-23-03/bit1_samples758,out/09-26-23-03/bit0_samples758,7.35223057616433,,0.437788274749959,62:07:57:4F:6F:2A,No
09-26-23-03-276,1,276,61d868b9-7015-42af-bc5f-43fa098dd09a,2020-09-27 06:05:12,f7aec1a8-231a-4c63-8ea7-f8a15de4a611,2020-09-27 06:03:16,3,891,891,891,out/09-26-23-03/log,out/09-26-23-03/base_samples276,,out/09-26-23-03/bit1_samples276,out/09-26-23-03/bit0_samples276,8.72313996652071,,0.150922184136258,5E:9B:F0:5B:C1:40,No
09-26-23-03-805,1,805,2c6a3661-fa08-4d9e-8e18-7334ae153e14,2020-09-27 06:05:12,59744b39-9c69-48dc-8cbe-8a089cd03148,2020-09-27 06:03:34,3,949,949,949,out/09-26-23-03/log,out/09-26-23-03/base_samples805,,out/09-26-23-03/bit1_samples805,out/09-26-23-03/bit0_samples805,6.25778603213382,,0.715375078668201,4E:ED:17:97:ED:94,No
09-26-23-03-127,1,127,1f061f72-8408-445c-98f3-631642599bbc,2020-09-27 06:05:12,3758036f-2928-47f2-9509-be2d1b1cf7d8,2020-09-27 06:03:13,3,701,701,701,out/09-26-23-03/log,out/09-26-23-03/base_samples127,,out/09-26-23-03/bit1_samples127,out/09-26-23-03/bit0_samples127,5.67898656381577,,0.285255191889648,42:3E:F0:BA:1B:4D,No
09-26-23-03-350,1,350,b45d9899-491e-4de8-985f-7916f61e0c7a,2020-09-27 06:05:12,bb7151b1-50a5-4abe-878f-1a38b5c38d1f,2020-09-27 06:03:21,3,883,883,883,out/09-26-23-03/log,out/09-26-23-03/base_samples350,,out/09-26-23-03/bit1_samples350,out/09-26-23-03/bit0_samples350,7.83038112662735,,0.31657791896062,62:D3:17:69:5A:37,No
09-26-23-03-811,1,811,12910957-2f84-4441-ac62-da1f0565100b,2020-09-27 06:05:12,1e543ba2-ac73-4975-8fbc-949d17158a79,2020-09-27 06:03:29,3,878,878,878,out/09-26-23-03/log,out/09-26-23-03/base_samples811,,out/09-26-23-03/bit1_samples811,out/09-26-23-03/bit0_samples811,5.61217285264807,,0.672609954044931,22:6F:F0:8A:2B:E5,No
09-26-23-03-6,1,6,4a00fbf8-fc4f-403e-b38a-7bf528914b98,2020-09-27 06:05:12,639060ac-3651-4661-aadb-e69ac19977c9,2020-09-27 06:03:13,3,944,944,944,out/09-26-23-03/log,out/09-26-23-03/base_samples6,,out/09-26-23-03/bit1_samples6,out/09-26-23-03/bit0_samples6,8.72622268910361,,0.611277363542951,7E:A0:B4:C0:45:C0,No
