Id,Sender,Receiver,Rate,Bits,Sent Data,Rcvd Data,Sender Erasures,Receiver Erasures,RErasures,SErasures,Errors,Error %,Ones,OneErrs,OneErr%,Zeroes,ZeroErrs,ZeroErr%
2,67,41,400,2000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11111111001111111111111110111111001111111111111100011111110111110111111111011111011111111111111100011111011000000011111111011111011111111101111100011111111111111101111100111111110111111111111111011111011111111101111111111111111111110001111111111111110011110011111111011111000111111111111111011111011111111101111100011111111111111111111111111111000011111111111100011111110111110111111111011111011111110001111111011111110111111111111111111111110011111111111100011111111111111101111111011111011111111100111111011111110111111111111111001111111111111101111100011111111111111101111100011111111111111101111100111111110111110111111111011111011111111101111111111111010111111101111111111111010111111111111111011111010111111111111100011111110111110111111111011111111111111101111101111111000011111111111100011111110111111111111111011111011111111111111111111111010111111111111101111111110111111111111111011111011111111101111100011111111111110111111111011111111111111101111101111111110111110111111100011011111111110111111111111111111111111111111111111111011111111101111100011011111111110101111111111111011111111101111100011111111111110001111111111111110111110011111100111111110111111111111111011111111111111101111100011100111111111101111111111111110001111111111101011111111110111111111111111111110111111111111100001111110111111100111100111111110111111100000001111111111111111101111101111111111111110001111101111111110111111100111101111111110111110111111111011111111111110001111100111111110111110001111111111111110111110111111111011111001111111101111111111111110111110001111111111111000111111111111100011111111111110001111111011111000011111101111110111111110011110111111111011101111111110001111111111111000111111101111111111111110111111111111111011111111111111101100101111111110111111111111100011100111111110101101100111111110111111111111100011111111111110001100010011010100111100001101011110110111011101100011111000000011000111111111100111111110111111100111101111111111111111111111100111111111111111101101101111111,,,134,321,327,16.35,2000,327,16,0,0,-
3,64,44,400,2000,11011011011111000111010101101111110111010101010001101110100111111011111100111111101100110011010001111111111111101111011011011010110111111011100001101100001101110111111001111111101111111111101100010110011100011110101010101111111110111010101111111011011111110010001111111001111111011101010011111110111111101011110011011111101010101111101001110111110000111001111101111111111001111111101101010100011111111111100111101010111101111011011101001111111110111001110101100010010101101011011111110001111000001111011100001111001101100101101111011111101111111011100100110001101110110111110101111101010100010101111010110101110110110111111101111111110010111111110111011111111011100111111011100111110011101000110110110110110101011101011101110111110101111111111011010111011001011010111010111111100011101101000001011101111111111111100110000101001110011111010110110110110000110101111111011110001100111101111101101111111010010000010010111011011111101111111111010110111010111010001111111001101011010111111110111010101101111110011011111011111111111011111000001111011011101111111010111111011011110010100101111111111110011111101111111101110000111101001110011111011110001101110011010110110101111111010110111100111111101110100010110101111111111111011111100000011011101110011100101111011111001100110111011001111011111111011101111111101101111010101111111001011101011111011101111000111001000111011100101110111001011111101110011111111110110111011111001110111110111111100011011000110110111001111110111101111011001011011111011011000101111111111011111111001111110110111111110010111101001110100111111111101100111110110011100110101110111000111001010101011111111011101101101111111011110101101010110001111111010111100110001101111111011111011011110100111000111110111011111111101111011111110101101101010111011101110111111111111111101111110001110001110011111111111110111111111111011111111101110011110110000111111100100111001010111101001001111110000111111010000100011010001001001110111100001001011110110111110111111111111111110011010111111111,11011111110111100101111111001111111111111101011001111110110111111101111110111111110110111011110011011111110111111111111111011111110111111101110001011110010111111101111101011111101111111101111110011111010110011100111100111111110111111111111111011111110111111011101111011101110111111101111011011111111111111001111011011111111111111101111101110111110011111101111111011111110111111101111111011110010111111100000111001111111111111101111111011111110111111101111111111111010111111101011111111001111100001111010110001111100111110101111111111111110111111111110110011001110110111101111111011101110110011101111111011111110111111101111101111111110011111101111111111111110111000111111111000111110011111101111111011111111111111111111111011111110111111101111111001111111101111101111110011111110011111101100001111111110111111101100111010111110111011100010111011111110000111101011111111111111110111101111111001111110111011101011010111111110111111111111111111111110111111101001111011101110111010100011111011111110111111110011111011111111111111101111001001111110111111101111111011111110111111100110111011111111111011101111111111111110100111101111111011111110111001101110011110111110111111101111111011100110111111111000000011111110111111101111110110000110111111100011110011111110111101101111111011101110011111101111111011111110001111100111111011101110001011111111111011101000011100100011110111111111110011111111111011111110111111101111111001111110111111101110011111100110111111101111111011101110011001101111111011111100111111100111111011111001111111101111111111011110111101111110111011111110110111111111010010111110111111101111101011111110111111100111111001111110111111101111111011001110111011111110111001111110111111111111111011110110000111100111111011111110111111111111111001111110111111101111111011111110111111111011001011001110011111101111111111111110111111000111111111011110111000101111110110111110011111001101101011111000111111100000110010011000011101100111100011101110111111111010111011111111111110001011111111111,,,124,161,512,25.6,1393,164,11,607,348,57
4,28,1,400,2000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,11011111010111111111111101011111011111111101111101011111011111111111111101011111011111111111111111011111011111111101111101111111011111111111111100000101110111110011111111011111011111111001111101111111110111110111111111111111010111110111111111011111011111110111111111111111010111111111111011011011001111111101111111111111000011011111111101111111111111110111111101011111111111110101111111111111001111111111111100111111110111110111111111110111011111111111111101111111111111110111111100111111111111001111111111111111010011110001111111111111011111111111111001111111111011110111111101111100111111110011111111011111011111110111111111111111010111110111111111011111011111111111111101011111111111110111111111111111011111111111111101011111111111110101111101111111111111110111111101011111111111111101111100011111110111110011111111111111010111110111111111001111011111110111111111111111001111111101111100111111110111110011111111111111001111111101111101111111010111111111111101111111010111111111111101111111010111111111111101111111010111111101111101111111111111110111111111011111010111110111111111111111010111110111111111011111011111111111111101011111011111111101111111111111011111110101111111111111011111111111111101011111111000110111111111111111011111110111111111111111001111111101111111111111111111110111111111011111011111111101111101111111010111111111111101011111011111111111111101111111111111110101111101111111111111110101111111011111001111111111111101011111111111110111111101111111110111110011111111111111010111111111111101011111111111110111111101111111111111101101111111111111011101110111011111111111011111110111111111110000000111110111111111111111011111110101111111111111010111110111111111001111011111110111111111111111011111011111111101111111011111111111111101011111111111110101111101111111110111110111111111011111011111110100111111111111011111111111111101111111011111111111111101011111011111110101111111111111010001111011111111111111110111101110011111011111011111111111110000111111110111110111111101111111,,,100,337,277,13.85,2000,277,13,0,0,-
6,55,6,400,2000,10101101011100100100010001000110100000010101000100111101001110100110101001101101111111001011100010010011000000110000111110001000000100000100100101000011011100000101110000100100100100111010101011111010000100110000000001001111110101110000101100010010000101000011000001001010101001000010001001000000000010000010010000001101000000101010000000001111010101010000011101111011000000011010101011010000111001001001001000001010101000000100000101110010000000010011011001001100110000100000111001010101000001010100101100101000010100011101001100000000010101000001011100110010111111001110001100010001100110101001001101101001010101110010000100100000111000011111100100010110000000100010011111101010001000100011101110010011001001000100000010110001101100000001001000101010001010010100000100000100001110110101100001001000101000101110010000101000011111000010011000000000100001001000001010110010101001100000011101000101000000010000000011011110110111011100111110000001000100110001111101100000111100000000000100000010100111000101100000010010111110010110000100001000000011001100100001010101011001000111110000100100011001011111000101010010000000000010010111100111000000101111000000010111001000001111000101000111100110000000111000001000010000010001010111010111000001100100100011100010111001101011100101000000100000110100000000001000000100100010001100010101000110110101000001000100100010010000001000110010110000100100101000100110100001001000000111100100101010111111000001001100010000001010001100110001101011010100000110111010101011110101001001000101001110111001000010100001110000100010101011001000010101000000111000001010010000100011001111101111000101001110011110001000001100001010001100000000000011010001101001011011010100111110100001111000101100110000000001010010000010000000011110000000000011100001000000001100000000110100110101111011110010101000100010010000001010000010000100000000000010100000100001001001101000011000100010000000010110110011000010001110011000001101010000010010100010010000010100000110111000011010100000100011,11111111111100111111111111011111111110111111111101111111111111101111111011101111111111001011111110010111100001110110111110001100000101000100111111000111111100000101110000100101101100011010111011111010000101010100010011111101110111011101111111010110000101011111011111001110101001011111111011000000010111011110111111011111100001111010011110111111111101111110010101111001000001011110110011011110111001011111010110001010101001011111111111111111110001111111010011011110110101101100111111111101100001111101111101111111010101111101011110000000010101000101011100111111111111011110000100010101111111011101000101101101110101110110000100110101111001111111111111010110000001111010111111101110111111111111101110010111111111011100111110110111101101100001000000111111101011111100000100000101001111010101111011011101101101011110011000101101111111011111111111101101111011111000001111111111111001111111010111110111100011111100111111111111110111111100111110000111011101010101111111101101111101000000000100000111100111001101110000010101111110011110010111101111111111001100110001010111111001000111111011101101011001011111010111111111111100000010010111101101100000101111010101110111101000011111011111000111110110010000111100011101010000010001011111110101111001100111111111100100111001011111111111110101111111111101100110001111110101001110011100010111100111110101010011010101110110001000010001110110110000000100101011101111100011001100011111100101101110011111110011011111011000001010010101110101111111110100011111111111101010000101011011001111011110111001110010100111110000000111110011001101011101000000110000001000010001000011011111101001000101001110010110001000001101001010011100000000000011010001110001011001010101111110111001111110101101110000010001010010000011000000110110000000000011001001011000001100110000010100111101111101110010101000110010010101011010000110011100001101100010100101110111011111111000011000110111000000010111010011010110001110111001111101010000010110100011110000011101000100111001111110100100101111,,,6,47,551,27.55,760,47,6,1240,504,40
8,68,22,400,2000,00110011110100111101010000010111100011100010111001110000000001101100101100011101111001000110000001101010011111100001000011100001111010100001011001000011000000110100110110001001101101101110111010011001011011001110110000001010011111100101001001011111010011010111100100111111010000111011111110001111100111101100001111110000110011110100110110100000111011000000001100011100110001010000111100100110101011011110000101100000001010000100111000101110000110111010110111100000110010010100011100111100000011011111101111111001010001010111100111100101010010101000001001011011011001110000000100101101001010001101000111011011011100110000110010000011111001100111110000010111000001111101001011100000001101001001101101001111001110010101101000101111001011101010011110010000001100011010100001110001001010111000111010001010011111110101000000000000110000011100110101001101010001110001000100110010110001001011101111000010100001100101110001110001011000011000110001011101011100001001011101100000000110100011011110100000111010011110000011111111101111110110100011010101111000101000111010100001011001111011010110111110100011110100011110101110111111011011110100110001101000011001100010101110000111111001000001100100101110010010110011100001111110011101101010101101101001110011010001110010111100000100010101010110011001001010010001100011100011001001111110011010101001111010001100010011010001100000011111001111001000110110111110100001101010000100010010000010100010000110011110111100110000001110010111110001001011010100101011000011111001111001110001110101111010110011000110111011111110011000011100001000111010000010001111100001101011001100011010011100111101011010100010100001110000011110101000100110100001001000110011110000000101111100001011000011001000001111001000100000010011011001101000101011011101100110010110010100011111000010110001001001101111010100010010101110100100001110010011010101101011011100001111111010100110100110001111111100001011000000010000101000010100011000110010010000011010100110101000111100000110011100010100010100,11111111111111111101011000111011100011100000101001111000000001101100111100011001111001000000111001101110110111100001101010000011111010100001101000000011100011110000100110001001101110101000111010011011010110001110110010001110111111100001011001011011000011111111111100111011000000111011111110001111100110111100111111110000110010110100110110001010111010100000011100011000100010010000111110101110100011011110101101001000000010000110101000001010000110111000100111100000100010110100101100111100000010111111111110011001110010110101101111100101010011111000101011011011011010111000000100101001000010001101000111101111011100110001100010001111111001100111100000011011100011111101011011001010001101001001111111011011001110010111111100001111001011101010101110010000111111111100111101110001010011111100101010011010011110110101110000000101111110111111100101011111110010110111101101111110110010001011111111000111100011110111100001110001001011111000100001011101011110101001111100000000000111100001101110100000111011111101101101111111100110110111100110011111111001101000111010100001011010111011010110011110100111110100101110111010111111011001110100111001100001111001101010001010000111111001101001001100111111010010100011101011110110111101111110101011101001110011100011111110100100000100110100011010011001001000100001100011101010011001111110011110100010111010001100011111110011100000011111001011001000110000101110101011111011000100100010001110100010000100101110111100100111001110111111010101001010010000111011010011111011111011100001110101100011110000101110111111111111111100111100011000111011000010111111001011101111001100101110011000100101111010101110101011110001011111111000101010100001001000100011011110000101111100101010000011001010001111111000000000010010011001111000001011111111100000101110110110010010001110100001001001111110110100100010101110100110001110110011010111101010011000111111111110100111100110111111111100000010000010100000001000000110111000100010110100111011101110111000011100000110011100111100010100,,,39,118,402,20.1,977,143,14,1023,259,25
9,72,20,400,2000,00000010000111110010000000100001000100000001001000001000001001000101010000110101000000000000000000000100101010000101000010001000010000000000000010010100000000000000001110010000000000000000010001011000100000000000000000000100000001000000000010000000000000000000000000001010100000000001010010000000101001000001100001000000000000000001010000000000111001000010000000000000001100000000000100000100000000010000000101000000000000010010000000000110000001001000000000000001001100100001000000000010000110101100010000000010100010000100110000010000101000000000100000000111000000000011000000001010000000000000110000000001000000001100110001001100100010100000100001001000000110000000001010000000000110001000000000000000001001000000000010000001001000001000000000100000100000000100001000000000001000000000000000100000000000001100110011000000000101100010010000100000100000010000000000100010100000000001000010000000000000100010000001000001000010000100000000000000001000000000000001000001011100010000001000000100001000000010100010000000100000000110100001000000110000000000100000000000001000010001010001100101000010000000010001000100000001010000000000100000000100000000010000000000000110001010000000010010000010000100000010100000010010000110000000000100100000000010000011010000000110100010000000100000000000100100000101000010010000100010001101000000000100000011010100001100001000000000001000000000000000000000000000010000010001100000000000001010000110000010000000100110000000010000000000000000000010000001000000000001010011001001001100001001000000100000010000001100000100010000000110000000000000000001001001001001000001000000000010001010000010100000011000110100010000000000110100000100010011100000001000000000001001000010001010000001001001000000000000000000100000000001100100110001000011000011100100010000000001000000010100000000000000000000010000100110000000001000000000000010110000000100101110000010001000000000100000000010000000010000000011000100001010100000100000000000010000000000000000110000000000010001100000000100,10110101101111111111111111111101111111100001110100111111001101110111111111111111100001010001111110101100111111011111111011001101111011011110111011011100000001010000000110011000000001000000010101111100110001010000010110000101000011111111010111110001000011011011010111111100110001101001110011001000101111100001110101111000000001011011110110000000111101011011000100000000101111110001111110001100000001011000010111100111010011111011011110010100000001011110010000010001101111100001110000000000100111111110110111111000100011011110110000011010111101000000110010000100100001000011111100001100000001000000110100000001000001111110111101101100100011110000110101101100000111100000010010000000000111011000010101010110001111000101111111000000001101011110110011111100100001010110110100000000001101011100111000110100000001011110110111110001000111010011011100110000110001011111110111111010110001011001110111011101101111111011010001110001000111010110010110101101011101001000111101100001111111011001011110000100001101010011111111000000100001111111111001101001111001110000110100101000101101011011111111110111000011000010011111100100000001011000100000110101101111011100111000000101000111011111000000011101110011010110010110110000011011010111011110010110100001010011010111111000000111110011001000110101110001010110000111110101111011101011000011100101000111000111111111101110011110111101101000000110000100100000010110011000111001000000010110001100100111001011001110110110000001011000010110100010000011010001110000000011110011011101101110001101100001110001011100001101000110111000010111010111000000000001111111101101111101110000001110001110001011011110111111111110011001010000111110101111111111000010010000100110001101010011001010001101111101100000011000000110101000100001111110111000100011100011110000011000000001011000011110000110000101010001011110111101101101011101001100000110111001001111111111001101001101100000111000000101101000111001110011100110001111000010110111000010111101010000011100111000000001011001110110001110,,,9,52,721,36.05,366,30,8,1634,691,42
10,54,33,400,2000,10011111000111001110101111111101101011111111011111111100111100111011111110111110101111110101111111111111111001111111111100111110010111101111011111011101111110111101101111011111100000111100111111011011100111111111110111111101111001111110111111111111011110101011111110111110111111101011011110111111111110111111111110111101110111111110010111011111111011111110100001011111111101111110101011111011111010111101100111011111111110001111111111111111011110111111111110101100110110011111111111011101111110010111101111111101111111111111111011111111111001010111111110111011111111110110111110011101011111111101101110101111111011111101111101011111111111111111110011111011111111010111101100011011111111111110101111101011111110111111111111111101111111011011010111011110111101110111111110110111111111111110101010111101110111111111011011110001011100111111111111111111011111111110011111111110010111111110111111111101111110111111110101101111111101111111110111001001111110111111010111111101111111110111101010101111101110111011110011111111011111111111010111110011111110110111111011111011101101111111111111011111100100011111101111101110111001111101101111001111110111110111111111111001101111101111100111101110111111111111111111111111111010011111110111111011111111011111110111101111111111111101100111011110110111111001111111111111011111111111101110010111101111011111011100011111011100011111111011111011011011101111101111111111111101110101111111011110011101111111111111111101011111111110111011111011110110011111101111111111101010111110111111111101111111000100110111110111111011110111111111110110011101110011111111101111001011110011101101111110101111011010011101011110111101111010111011011111111111111111110101110111111001111111100111011011101111111111111011111111111110111001110101101111111111011111111101111111111111111111111001011101000111111111011111101101100111110101111101000111001110110111110110111001101111111101111110111110111011111110011111111100010111110111111111010111111111111111100111111111110111111111111110110111,11111111111111101111101111111111111111111111011101111110111110111111111111111111111111111001111111111111111111110111111111111111111111111011111101011111111110110111101111111111110000111111111111011011100111110111110111111101111101110110111111111111111110101111111111111111111111111111111111111111011110111111111111111101011111111110010111011111111111110110100011111110011101110111101011111111111110111111100110011111011110001111111101111111011111111111111110111100110110011011111101111111011111011011101101111111111111110111111010111111111101111111111101111011101111110110111110011111111111111101101111111111101011110111111111111111011111110111110011111011011111111111111111111111111111111111101111111111011110111011111111010101011111111111010110011111111101110111111110110111011111111000101100111101010111111111111001110001011100111011111101111111111111110110011101111110111111111110111101111101011110111111110111101111111111111111110101101001111110111111010101111101011111111011101000101111101111111111110001111111111111111111010111110011011110110111111001111011111101111011111101011111000100011111101101101110111001111111101110001111010111111111111101111101001111100111100111101110111111110111111111111111011010011111110111111011111111011111111101101111111111110101100101011110110111110111111111111111011111110111101101010111101111011111011100011111101110010111111001111011111011100111111011111111111101111111111101011110111101110111111111111101011111111110111001111111111110111111101111111110111010110111111111111111111111001111110111110111111011111111111101110110111111110111111111101111001011111011101100111101111111010010011110011110011101110110111011111111011111111111111111110111111111110111100111011011101111110111111011111111011110111111110101111111111111011111111111111111011111111111111101011101100111111111111101111101000111111111111111011111001110111111110100111001111111111111111111111110111111110111011101111100100111111111111111010111111111111000111101111111110111110111111100110111,,,29,178,262,13.1,1603,108,6,397,154,38
11,16,11,400,2000,01111011111110001111100000010110110011110010011111101110110011010001111101000011011011011110011000011011011110011110010001001101101110111111110011111111111111011110011101011101010111001100111100101010101011100111101111000111111111101011101110110001100111000111111110101000111111111011011001111110101011101010111101010100100011101000010011011101110101010001111010111100111001111111010110001011010111011110110011110101100101000101101101011011110101101011010100000000110111101001001100110110100100111110111011111011100010000100110010001100010011100101101111001010010101101000111110001010111011011011011111101110100100101000110011100011101011001110111010011110010111010011011101110111101011001110011010110111111100111010100101110110110101100110111010011111110000011011001011111011111101100100100011111111100110111010100010111100011011001000011011011010000110100101001101000101100101010001001110110111011011010011010110000011011010101011011010000111110111101101111011010111000111111111001111110101001010010011000011111111011011001101100101010011001000101111011101011101000011001101110111011111011101111110011101111111111000101111010101000100110011100110000110111111101101010011101010011110101010101101011000100001100111001101111011111010110110100100000010110111000011011010011111111111100011111100110101000111001010110110011111011011110100110110011010011000110111000011000100100101100111101110110101011110001100011001110111101010111110110100101010100111111110101011011001111111011100011111101111000100111100111011111100100010110111000111100011011111001001011011110101001000000111111001111011111011111011101111001111100001100101110011000011101110101101010111011010001111111010011101111010010101010111001101111001110110101111111111011101110011100110110101011100011111001101000011010000001100101110100111111101000010111101101101111110011101100111101010100111101011011110101100100101100101111010110011101111111001011000111011101100010101100100001000011000110001010100001001111010111111000001110010101111100011,11111011110110110111110101110111110111110111111101101111111111010111111101010011010011010110011000111011001110010110010001001101001110111111111101111111011111011100011101011101011111010101111100001011001011100111101111000111011111110111101110010001001111010011111110111001011111110011011001011111011011110110111111110100010011110000010011011111000101010011111100111101001001111101110100001011011111011110110101110101100101010111101101111011110101110011010101100100110111110011001101110110111100110110111011011011000010010000110010001101000011100101101101001111000101101000111100001011000011011111011100101111000100001000110100100011001111001100111100011111011111011111011100110111001011001100011100110111010100111011100101110111001101100110111101111111001110011011001101111011000101100111100101111111000110111000100100111101001111011010111100011011001110100111101101110101000101010001001100110111011011010101010100000011000010101011011100000111000111101101111100010111010111110111001111110101000010010111000011011111011011011111101100111111011000101111111100011101001011011111110101011111011101111110011100111111110010110111010101000101000111110110100110111111000101010111101010011111001111110011111101100001001111010011111011111011010110110000000010110111000011010010011111111111000011111100110100000111001010110110011101011111110100110110011010011001010111010001000101100101000111110010110101111111001100011001110101101011001110110101101101100111000110101011011101111111111100110011101111000101001100110011111111100011001111010111100011011111011001010011110101001001001111110001111011111011011011110011001111100011001110001111000100101110100101010111011100001111110010010111111010010101001111010101111001010111001111110011011101110011000110110001011100011111001101010111010001001101001110110111111101000011011101101101111100111101011111111110100100111011001110101100100101110101111010110011101100111001011000110011101100010101101100010000011101110001010100010011111100111111000001110010101100100011,,,161,159,361,18.05,1192,171,14,808,190,23
12,75,32,400,2000,11111111011111100101101111111111110111111111110111111111111100001001111111110011111101111111010010111001111111100111110011011111111011010101011101111111011011101010111101111011001111101101011101110010100101000111111110010101101101111101101101111110111111011111011111111110111110110101001111101011101111101111110110010110100101111110010111100111101010011010100011010011100111111010011111001001101100111110011111111111011011001111000111110101111101111010110011111110010101010101101110101101111011111010111101111001000110011100001000011111110100110101101111101111001111001010111111110100111111101111101000010101111101100111001111101011110110011011100111111011110000111111111110001110100101011101011111111010110100001011110010111111101001111111101111010111100101101111111011111101101011111111111010011111011101110111110011111110101111010100111111010110111111011110111011001011110111110111110101010111111111011011111110011011110101111001100111101010011110011011110110011111101001011111010111000011111111101011010111000111111111110111111011111101101001101111011011101100111011111111011101111111101101110101011101111011111001011101010000111111001001111111110001101110110010110110101010111111101110101101111111001101011111011010011011101100110100111111001101011110110101111110110010110011011110111111011011111001101001100111110110110111011111111111111110000111101100101010101111101011110101111101001111001111111111110101011001101101101011110111101111111110111100011110101111111100001011010011111111111101111010010110011111101111101011101111110101110111111011011111101111110111010011111111011111001110100111110111010111110111111110111111100011111101011000110101111001101011101111010110101111111111011111111101011111011010011111111010011011011100011111110111111110111101011111111110011001011111111000100111111101110111110111111011101101011111100111110011100111010011111011110111111111110011110111110110111000111101001001110111110101101100111101101011111111101111101111110000110111001111100101001111111111011011,11111111110111000101101111011101110111100000001111111101110100111001111111110011111101011101010010111111111111111101110011011111110011110101010101111111011011001100111101111111000111101101011101100011100001000111110110010101100101011101101101011111111111111101010111111110110111110101001111101101100111101111110110010100100101111111010111000111111010111110110111010111111111111000011111001111100101111110011111011111010011001111011111110111110101111100110111111110010101110101110110011101111111011000111101111011010111011100011101111111110101010111101111001111001111001010110111110100110111001111101000000111111101100111000111101011110110011011111111111011110001011111111110001111100101111101010111111010110101011011110010111111111001111101101111010111100111101101110011111111101011111101111010011101011101111101111111111110100011110100110111110111111111111110111011001111111111111111111111111111110111111011111110011111110111111001111111001110011110111001111110011111100001111111010111000111110000101011011111000111111111010111111011111111100001001111011011001100111011011111011101011101101101110101011101111011110001111101010000111111000001111111110001001111110111010101101010111111100110101101111111001101011111011010011011001101110100111111110101111111110101111110110011000101011110111111010111111001100001000111111110100101011111111111111110000111100101111001111111101111111111111101001111001101110111110101011001111111101011110111111111111100111100111100111111111100000011010111111111111111110110110110011111001111101111101101111111111101110011011111110111111111010011111101011111001110100111110101010111110101111110111101100011111111010100110101111001011011100011110110110111111111010111111111010111011010011111011000011011011110111111110101110110111111011111111100011001011111111001000100111101110101010111111011111111011111100111110011100111010101111011110111110111000011110111110110111000011101001001010101110101101100110101101011111111101111100111110000110111001111100101001111110111011011,,,54,190,269,13.45,1420,137,9,580,132,22
13,23,14,400,2000,10000011010101100111101001011001001010110101000011101101010111010110010100010011110001100011100000001000101100101000100100000101110110100001101101110110101011010000010101011101111101011101100111101011111010001010110010100011111011110011000001011001001001000100010000010011111110010001100111110000001110011001011110001100000000111000011010111010011011001001110110101101111010100000000110111001001011000100110000101100011010100001000100110110001111001100010001000010111101011100100100000111011111100111100011100000101010111100000100100011100111000100110001110001001111111100001011101011101000110100010001011100110011110011000001000101010101110110111100001111011101011101011001010010011110010111110000001111011110110111011010101110111000010001101111010111110111100100111111101110011011010101101110001100111000101001001001110001101000111111010110111001010011100101110010011010100000111010000111111010000100010010011110011011000101000111011010101111010100010000010000001111110101101110111000001001001001101111100001111011011100001011101000010011110010111001010111010000011111000001000101110111111101110011000011111000111010100010000011010111000000000001011100101110011000110110011011110101101010000110101001000111001110101011101100110011101100111010001000110010111111110000111000100000001001110111000011001100010010010001110101101010110111010101001011100011100001111110000010011000010011000011000111000010110000010001000111110000100111010100100110111101100101100101001111111100000110000110000010001100011110000001000111110001101110011110010011001011011011101010000111110000000100001100010010100110011100100000110000110111001001001001010011010100111111011001110110111001100010011001110011010101111111001001010010101010111100001010111101001100110001111110100000110010100010001110000011001011001000000001110001110111010001111110100000011001110000111010110100100110010010011111100100111001000001100101101010010000010110101111101110101010101010001011111011101011001101011101101101010101111010101101001111111001,11110110111111101111111111111110111111111111101011111110010111011110011011111010111101111111111010001111111111101111100101011110111111101001111111111110111011011000011011111110111111111111111011111110111011001111111010100011111111101111100011111010111111101100010010010010111111100011110111110011111111101111111000001110100001101111111110111110011111101001111010111111111111101100001011111111101011101100111110111110111010101011110110001110101111101111011011000010111101101100110110000110111111111111111011111110101011110110001000110111101111101100111011111001001111101111111011111011011001101110011011111110111011101011000001000110110101100110111110001110111111011111011011110010011111101111111011011111111111101111011011101111111101101111111011111111111111101100111011101111111111100111111011001101111100101011101011111111101000111111011011111010010011111111111010011110111101111010001011111111100110101011011010011111100111101111111110111110110111011001011010001110111101111111111001001110001001101011100011111111011100101011111110000000111010101001111101111010011111001111101011110110111111111111111011111110111111111010001011111111111011101011111010101110011000101110011011111111101011100110111011000111111111101111111100111010101101101011111111111010111111101111111010110010101101110111101011111110111111011101111011111110111111111111101011110011100001101111001011011100010011101011010111100010111100101001100111111010100111011111111011110010100110111111101011111110110111001110001000001110011111100001111001110110101110011000011011001111101011101110000111111110100110101110011111100110111110101110111100111110011101101001011011110110101111011001111100111110011011010001111011110111111111101111011000111110111100101011111111101110111011101111110010111010100011101110000001101110101100000001111011110110011001111110100000011010111000111010111000100110111111111111101000111110000001101011111011011000111111101111111000111011001010101111111111111110001111011101111001010110111110101001001101111010,,,162,146,601,30.05,1002,102,10,998,499,50
