Mean,Median,50tile,80tile,90tile
9733.25,9325.5,9325.5,9369.4,11241.7
9650.0,9414.0,9414.0,9509.2,9526.4
9785.166666666666,9340.0,9340.0,9496.4,11294.400000000001
9468.833333333334,9421.5,9421.5,9598.4,9662.400000000001
9495.538461538461,9397,9397.0,9443.6,9944.4
9419.0,9327.0,9327.0,9380.6,9439.4
9473.923076923076,9488,9488.0,9579.8,9597.8
9526.923076923076,9348,9348.0,9849.6,9967.2
9337.166666666666,9342.5,9342.5,9347.2,9348.900000000001
9383.153846153846,9368,9368.0,9450.2,9465.8
9329.846153846154,9331,9331.0,9354.6,9373.0
9408.23076923077,9335,9335.0,9366.2,9411.0
10312.636363636364,9410,9410.0,11340.0,12342.0
