Id,Lambda,Phase,Bit,Base Size,Base Mean,Base Std,Size,Mean,Std,Pvalue,Mean Diff
1677,254,0,0,1935,6293,3677,1988,14285,64522,1.193208790436022,7992
2296,352,0,7,1945,6681,5045,1998,14690,74456,1.172694933803308,8009
1837,277,0,1,2000,6735,21876,2000,14762,44976,1.315087138114886,8027
2271,348,0,1,1890,6446,4518,1952,14506,52181,1.176462919244041,8060
1774,267,0,7,1973,6852,6466,2000,14921,90758,1.117120463752123,8069
2899,472,0,0,2000,6772,4898,1969,14842,92774,1.063456641804369,8070
2841,459,0,2,1942,11712,229414,1985,19784,279969,1.002241459215325,8072
1430,206,0,0,1951,6547,4213,1952,14628,87295,1.057921499413321,8081
3013,500,0,3,1920,6345,3922,1983,14426,79278,1.112344893775607,8081
1548,227,0,8,2000,6668,4666,1971,14751,58973,1.177509365760275,8083
1858,280,0,6,1963,6894,5121,1964,14993,174636,1.016222320242438,8099
1750,264,0,5,2000,6741,10823,1923,14845,121157,1.021426477445527,8104
1162,165,0,3,2000,7139,10189,1983,15271,135974,1.035683510327736,8132
341,45,0,7,2000,6905,4921,2000,15052,84166,1.142748567547244,8147
1450,209,0,2,1986,6626,4529,1990,14778,81297,1.1236676876408,8152
521,70,0,2,1869,6470,4758,1942,14631,75754,1.07081089242314,8161
2080,315,0,6,2000,6722,5083,1891,14885,72605,1.048249771834786,8163
2793,450,0,2,1919,6420,3439,1955,14631,56608,1.160877519965505,8211
2795,450,0,4,1919,6420,3439,1998,14632,77196,1.169825097593625,8212
1490,216,0,5,1930,7661,46778,1997,15882,130616,1.035967593897973,8221
2009,304,0,0,1987,6597,4574,1974,14827,84557,1.087077698198103,8230
2633,416,0,1,1948,6637,7462,1969,14877,82946,1.082926853637017,8240
755,105,0,2,2000,11808,233291,2000,20049,325235,1.003158329724072,8241
1395,200,0,4,1969,6716,4942,1922,14994,76085,1.058852375990746,8278
1007,144,0,0,2000,6373,3907,2000,14658,94160,1.115750456897354,8285
2326,357,0,4,1981,7110,8604,2000,15401,101378,1.096677124235614,8291
1083,154,0,2,2000,6619,5041,1886,14915,45045,1.131979961052704,8296
2524,396,0,3,2000,6541,4083,2000,14864,43054,1.960961341444253,8323
1169,166,0,4,1899,6719,5456,1995,15045,85434,1.128514417163527,8326
1081,154,0,0,2000,6619,5041,1975,14949,76264,1.113500811926279,8330
339,45,0,4,2000,6905,4921,1898,15248,152789,1.011709901243194,8343
1370,196,0,3,2000,6901,5439,1970,15264,83479,1.086834819708095,8363
2465,387,0,3,1888,12251,231903,2000,20617,331093,1.002645242824537,8366
162,20,0,5,1986,6578,4122,1997,14950,81505,1.15257896461939,8372
1628,244,0,3,1981,6713,4868,1918,15110,93956,1.037734962004938,8397
1056,151,0,0,1996,6562,4550,2000,14962,102642,1.098514140324446,8400
1596,237,0,4,1994,6524,9315,1971,14926,272497,1.007804160763847,8402
2618,413,0,4,1948,6785,6809,1959,15215,136445,1.027197343610372,8430
