GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
10-06-23-03-884,1,884,e65f7c1e-a698-4514-9f18-11efe461b9ba,2020-10-07 06:05:09,ed1266d6-91a4-475f-a362-be493350af30,2020-10-07 06:03:23,3,902,902,902,out/10-06-23-03/log,out/10-06-23-03/base_samples884,,out/10-06-23-03/bit1_samples884,out/10-06-23-03/bit0_samples884,5.71983719239077,,0.237699580533679,0A:48:32:17:F1:7A,No
10-06-23-03-155,1,155,61dbb0ab-c8af-4313-b4e4-8cd72726fa76,2020-10-07 06:05:09,5a253d8a-5713-4845-9d07-3ee98be7fe92,2020-10-07 06:03:10,3,787,787,787,out/10-06-23-03/log,out/10-06-23-03/base_samples155,,out/10-06-23-03/bit1_samples155,out/10-06-23-03/bit0_samples155,8.67975140153616,,0.310693784460207,12:07:09:04:19:F1,No
10-06-23-03-932,1,932,fbebe9dd-3118-4022-a853-35d5424c1940,2020-10-07 06:05:09,69aa3367-7f48-45c4-94c1-3a9cc6acd75a,2020-10-07 06:03:18,3,932,932,932,out/10-06-23-03/log,out/10-06-23-03/base_samples932,,out/10-06-23-03/bit1_samples932,out/10-06-23-03/bit0_samples932,0,,0.342035616196762,DA:C2:92:A8:02:AE,No
10-06-23-03-456,1,456,02d31b95-cb0f-4676-b1f6-66d881ce6eae,2020-10-07 06:05:09,7c96075b-3b2e-4d16-9f96-d810d23c2e68,2020-10-07 06:03:18,3,800,800,800,out/10-06-23-03/log,out/10-06-23-03/base_samples456,,out/10-06-23-03/bit1_samples456,out/10-06-23-03/bit0_samples456,8.88977436078,,0.111836025104139,8E:6C:1D:79:23:3A,No
10-06-23-03-109,1,109,f9dbcbc0-4db5-443a-920d-5464b341f313,2020-10-07 06:05:09,faaad2da-424e-4934-9ed0-9b47f71f8783,2020-10-07 06:03:10,3,953,953,953,out/10-06-23-03/log,out/10-06-23-03/base_samples109,,out/10-06-23-03/bit1_samples109,out/10-06-23-03/bit0_samples109,7.72946432653705,,0.690983775373745,02:E0:9E:25:3E:CD,No
10-06-23-03-34,1,34,df840b3e-c1ab-48d2-8306-168c3022c14a,2020-10-07 06:05:09,728c1f0f-b868-4499-be75-4ab5088eea80,2020-10-07 06:03:36,3,34,34,34,out/10-06-23-03/log,out/10-06-23-03/base_samples34,,out/10-06-23-03/bit1_samples34,out/10-06-23-03/bit0_samples34,0,,0.720108523334581,A2:C6:C7:76:84:EB,No
10-06-23-03-816,1,816,fd8506f5-e806-47f3-8c17-8630dfbc9d9f,2020-10-07 06:05:09,895e12bc-4399-4945-aeed-600ab1a4620d,2020-10-07 06:03:15,3,816,816,816,out/10-06-23-03/log,out/10-06-23-03/base_samples816,,out/10-06-23-03/bit1_samples816,out/10-06-23-03/bit0_samples816,0,,0.864324887903101,82:D0:2B:62:E3:92,No
10-06-23-03-302,1,302,923b5e20-c3f6-4640-962e-b8c9c6cb5de2,2020-10-07 06:05:09,5b14a1ad-b606-4d9c-ae1c-ede6916b2582,2020-10-07 06:03:11,3,805,805,805,out/10-06-23-03/log,out/10-06-23-03/base_samples302,,out/10-06-23-03/bit1_samples302,out/10-06-23-03/bit0_samples302,7.78913688657772,,0.118768750624901,4A:98:B5:7A:97:7F,No
10-06-23-03-7,1,7,c87d27c0-88ed-415f-915f-25de529bf4a5,2020-10-07 06:05:09,1335061a-f63d-4129-9b14-2163f91e6788,2020-10-07 06:03:10,3,911,911,911,out/10-06-23-03/log,out/10-06-23-03/base_samples7,,out/10-06-23-03/bit1_samples7,out/10-06-23-03/bit0_samples7,7.1901273093883,,0.910048863094787,B2:88:70:9E:CB:1D,No
10-06-23-03-262,1,262,481a80c5-3bf5-4f38-b2cc-f8d861d7a156,2020-10-07 06:05:09,709c90bd-e8a5-4b4a-9a3f-86987bdff363,2020-10-07 06:03:15,3,892,892,892,out/10-06-23-03/log,out/10-06-23-03/base_samples262,,out/10-06-23-03/bit1_samples262,out/10-06-23-03/bit0_samples262,8.2404465607532,,0.215407570875494,E6:7E:80:42:DA:EB,No
10-06-23-03-73,1,73,fef1a397-d3cb-41a3-adc8-17c191e9eace,2020-10-07 06:05:09,1ede4e91-74e0-41f3-8092-a60390cfa641,2020-10-07 06:03:10,3,934,934,934,out/10-06-23-03/log,out/10-06-23-03/base_samples73,,out/10-06-23-03/bit1_samples73,out/10-06-23-03/bit0_samples73,6.66832203764114,,0.124901104043831,66:F7:97:FF:FA:02,No
10-06-23-03-395,1,395,eceab6ff-d327-44aa-bb17-13b8d595593c,2020-10-07 06:05:09,c7064a2b-eafe-4051-863c-df34ae8c67fc,2020-10-07 06:03:26,3,856,856,856,out/10-06-23-03/log,out/10-06-23-03/base_samples395,,out/10-06-23-03/bit1_samples395,out/10-06-23-03/bit0_samples395,7.94541702785359,,0.630479750472998,12:25:3A:7D:D1:C8,No
