Mean,Median,50tile,80tile,90tile
9374.862745098038,9343,9343.0,9387.0,9421.0
9612.52,9346.5,9346.5,9437.2,9644.7
9366.5,9343.0,9343.0,9376.6,9399.6
9387.09677419355,9338,9338.0,9363.0,9816.0
9439.736842105263,9351,9351.0,9455.800000000001,9517.4
9767.222222222223,9559,9559.0,9798.8,10285.8
9360.196078431372,9342,9342.0,9345.0,9367.0
9972.375,9370.0,9370.0,9828.6,11746.400000000005
9337.35294117647,9343,9343.0,9350.0,9379.0
9339.788461538461,9339.0,9339.0,9362.8,9370.0
11229.51282051282,9341,9341.0,11590.6,12522.200000000003
9514.66,9430.5,9430.5,9542.0,9676.5
9729.285714285714,9355,9355.0,9524.800000000001,11439.0
9984.520833333334,9334.5,9334.5,11224.4,12247.7
