Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-12-23-59/log,09-12-23-59-232,,14f3ed35-5165-4ced-9154-314dfb1d5709,16:1F:38:9C:2C:48,232,1,2020-09-13 06:59:33,2020-09-13 07:00:41,232,07576393-01ab-41a2-867b-74cfb0a13b6f,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-333,,b6f70fab-45b3-488f-acf3-376ab8d97515,82:40:8C:3E:3D:A3,333,1,2020-09-13 06:59:33,2020-09-13 07:00:41,333,6375bea9-eadd-46e5-bd66-7a425f7a5f4a,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-153,,c4ddc784-7a98-43c8-a4d0-1770d3326a5d,C2:80:B6:53:DD:41,153,1,2020-09-13 06:59:33,2020-09-13 07:00:41,153,b7eecc44-f1d5-4e73-9805-6c3dac2b43a6,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-52,,6a387667-764a-4f3c-9723-6b079f01981f,2A:A6:7F:EA:BD:AF,52,1,2020-09-13 06:59:33,2020-09-13 07:00:41,52,f0beeedd-1b49-43e3-b705-965c96e1d661,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-161,,6e003a08-f276-4cec-8a13-6be1aca140d5,7E:9A:01:2A:D3:AE,161,1,2020-09-13 06:59:33,2020-09-13 07:00:41,161,4987f3d8-bf00-4e50-a023-86714a899e00,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-349,,09625b86-4258-4725-b330-d13f73aab062,2E:64:E7:7C:96:E5,349,1,2020-09-13 06:59:33,2020-09-13 07:00:41,349,941c26af-6516-4644-b6ed-350f07bf9aa7,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-194,,5993a3da-f2c5-47db-9adb-ff32b9aa6453,FE:ED:AE:99:FC:E3,194,1,2020-09-13 06:59:33,2020-09-13 07:00:41,194,93754b1b-3876-4484-8725-78bf05e265b6,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-332,,a8c0cee3-28bd-43c9-aafb-f4a1b4775f02,5A:D5:30:AA:50:A6,332,1,2020-09-13 06:59:33,2020-09-13 07:00:41,332,183965fe-a215-4d4a-b225-b49465241f1d,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-393,,ddc38b5e-e5bc-4780-a0dc-e3eaf4f835ea,AA:31:E6:C4:40:06,393,1,2020-09-13 06:59:33,2020-09-13 07:00:41,393,38f9cb4b-fb64-42aa-ab8d-5e5c1e9e2395,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-104,,70145e31-5a3d-44eb-8fe7-553406a90c6b,2E:F8:AD:56:56:30,104,1,2020-09-13 06:59:33,2020-09-13 07:00:41,104,d15fe7f1-8282-427f-9ada-bcd0ba738bf6,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-366,,2a159d28-c2e7-4bdc-a3fe-dd13de13f8a4,62:02:51:98:E7:0A,366,1,2020-09-13 06:59:33,2020-09-13 07:00:41,366,c00a748b-4dc8-40a9-9c72-7a81fc5b1612,1,,-,-,-,No
out/09-12-23-59/log,09-12-23-59-190,,a99b2ce6-d774-46a0-9c1b-932d7d679deb,3E:3A:30:8C:D7:4C,190,1,2020-09-13 06:59:33,2020-09-13 07:00:41,190,ec1283b6-bee1-436d-bbaf-826329de4c9e,1,,-,-,-,No
