GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start
09-22-01-09-397,1,397,87043bb9-b7de-4f8f-8a7f-429003018f9a,2020-09-22 08:11:22,4f159704-d776-4234-9a32-058eeae6a715,2020-09-22 08:09:24,3,768,768,768,out/09-22-01-09/log,out/09-22-01-09/base_samples397,,out/09-22-01-09/bit1_samples397,out/09-22-01-09/bit0_samples397,6.21840193941982,,0.204371576930086,72:D8:58:FD:C2:19,No
09-22-01-09-433,1,433,92b37516-2d95-4275-9e0f-8e6ce8ac7ae1,2020-09-22 08:11:22,27d888dc-118f-46bd-b2b3-6be3094fa72c,2020-09-22 08:09:24,3,808,873,800,out/09-22-01-09/log,out/09-22-01-09/base_samples433,,out/09-22-01-09/bit1_samples433,out/09-22-01-09/bit0_samples433,7.71123974031164,,2.84225498255831,8A:28:F1:4C:2B:F5,No
09-22-01-09-355,1,355,01bfc0c3-164c-49b1-939e-c79c366d363c,2020-09-22 08:11:22,b2008fca-8b31-408e-af81-f691b762a63b,2020-09-22 08:09:39,3,795,795,795,out/09-22-01-09/log,out/09-22-01-09/base_samples355,,out/09-22-01-09/bit1_samples355,out/09-22-01-09/bit0_samples355,4.84578711188267,,1.21324335273145,4A:CA:49:28:89:32,No
09-22-01-09-968,1,968,e77b89ca-bf95-4804-9980-72478f0f6fbd,2020-09-22 08:11:22,bbf0d30c-b65d-4f61-92a0-4cc5f0874654,2020-09-22 08:09:30,3,994,994,994,out/09-22-01-09/log,out/09-22-01-09/base_samples968,,out/09-22-01-09/bit1_samples968,out/09-22-01-09/bit0_samples968,5.68241462798271,,0.442577047474475,7A:87:1F:F1:C3:19,No
09-22-01-09-262,1,262,5e3009e7-71a6-41c8-931f-444f2f37680c,2020-09-22 08:11:22,1795c0eb-0845-483d-b8e1-58dcb2048817,2020-09-22 08:09:24,3,978,978,978,out/09-22-01-09/log,out/09-22-01-09/base_samples262,,out/09-22-01-09/bit1_samples262,out/09-22-01-09/bit0_samples262,7.04186934579482,,0.638705531963549,BE:D3:6A:07:62:24,No
09-22-01-09-671,1,671,007aab2d-09cc-4405-b445-7ee0de0a0d6c,2020-09-22 08:11:22,b451e7ff-cc9f-4a4a-9704-bf6e07444b25,2020-09-22 08:09:24,3,671,671,671,out/09-22-01-09/log,out/09-22-01-09/base_samples671,,out/09-22-01-09/bit1_samples671,out/09-22-01-09/bit0_samples671,0,,0.502665383561524,C6:76:C9:A4:B5:03,No
09-22-01-09-569,1,569,f5d73d09-cfce-46a7-be68-5b76cf0ff744,2020-09-22 08:11:22,d66bddb2-7735-4476-86c7-160bac5d2322,2020-09-22 08:09:24,3,728,728,728,out/09-22-01-09/log,out/09-22-01-09/base_samples569,,out/09-22-01-09/bit1_samples569,out/09-22-01-09/bit0_samples569,3.71169187133674,,0.831924775546153,A2:36:88:59:0F:18,No
09-22-01-09-584,1,584,09b71ab3-d921-4f0c-9398-874f2aa5dc43,2020-09-22 08:11:22,7efebaaa-8032-40c6-acaa-cd305462ebaf,2020-09-22 08:09:33,3,960,960,896,out/09-22-01-09/log,out/09-22-01-09/base_samples584,,out/09-22-01-09/bit1_samples584,out/09-22-01-09/bit0_samples584,3.41017766412213,,2.78257845800659,76:D9:B5:CB:22:FD,No
09-22-01-09-618,1,618,630004ac-8877-4be5-bf11-70db9b979ff7,2020-09-22 08:11:22,693b9c72-9154-4ea6-8814-64368c2421af,2020-09-22 08:09:27,3,894,894,894,out/09-22-01-09/log,out/09-22-01-09/base_samples618,,out/09-22-01-09/bit1_samples618,out/09-22-01-09/bit0_samples618,4.71958524221813,,1.17395938401856,4A:D6:B7:99:AB:61,No
09-22-01-09-750,1,750,da0c160c-2684-4bf4-b633-c699546883f8,2020-09-22 08:11:22,b8b0d4c1-8a25-46f2-92b5-1ae6f4dc422a,2020-09-22 08:09:42,3,864,1001,1000,out/09-22-01-09/log,out/09-22-01-09/base_samples750,,out/09-22-01-09/bit1_samples750,out/09-22-01-09/bit0_samples750,7.15556554076278,,2.75311194878171,FE:9D:78:79:84:F8,No
