Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-22-22-40/log,09-22-22-40-93,09-22-22-34-29,91f2e79b-5141-45de-bd05-c5bb3525bbf9,CE:92:17:00:C4:D0,93,93,93,3,2020-09-23 05:41:11,2020-09-23 05:42:04,93,fea2da96-ed70-4223-bd86-931d51b68b65,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-58,09-22-22-34-52,4d59a389-d579-4af2-929e-d01ebf245516,BA:55:A1:AC:A7:30,75,75,75,3,2020-09-23 05:40:46,2020-09-23 05:42:04,58,f178a640-ad1e-4d9e-b2c3-36bc54d0baea,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-61,09-22-22-34-28,d04d4d1d-3e70-407b-8357-d819bd220feb,B2:86:5A:C9:E8:4D,61,61,61,3,2020-09-23 05:40:48,2020-09-23 05:42:04,61,f4ebe3c9-67e7-4ce5-a659-5a1f5ad7c2ec,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-2,09-22-22-34-59,4c400183-1317-41e5-a0eb-a453d36a44f9,EE:A9:37:C9:F7:7C,15,15,15,3,2020-09-23 05:40:06,2020-09-23 05:42:04,2,98967fa4-4b33-401f-aec3-92e9563aaa2c,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-34,09-22-22-34-21,e88581bf-0f7e-4862-844c-816a789e3b69,96:2B:A1:CD:DD:BF,34,34,34,3,2020-09-23 05:40:29,2020-09-23 05:42:04,34,41cecbed-a10a-4688-ad40-cf7a2c27a2e4,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-98,09-22-22-34-24,5d77f697-4be9-42b0-b404-8905551661b8,3E:AD:46:5C:ED:AA,98,98,98,3,2020-09-23 05:41:15,2020-09-23 05:42:04,98,68b586fc-cce9-48df-8c79-4f1f32f03ea6,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-16,09-22-22-34-39,c15e903d-4d6b-4de0-8db4-de287e321673,A2:D6:98:29:6B:6F,56,56,56,3,2020-09-23 05:40:16,2020-09-23 05:42:04,16,853fb442-258b-4dec-88a0-d9f733fc708a,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-19,09-22-22-34-51,843b99a7-8c36-4b15-9db2-276fbd5d5cbb,1E:CB:7D:B7:41:77,19,19,19,3,2020-09-23 05:40:18,2020-09-23 05:42:04,19,d45c08a3-3cc2-4316-9828-f850b497246c,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-28,09-22-22-34-73,ca3a0bf2-7da3-41d5-ba99-3a7158a2ad1c,92:07:08:D0:4D:75,28,28,28,3,2020-09-23 05:40:24,2020-09-23 05:42:04,28,c37c641b-c84c-401b-9223-45361edc7161,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-21,09-22-22-34-36,d6c3f7a5-17c9-4f78-828e-6f56d4f2629d,1E:24:8E:7C:FE:12,33,33,33,3,2020-09-23 05:40:19,2020-09-23 05:42:04,21,f41a704e-7b85-4d59-89b1-a0912c5ca3e2,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-6,09-22-22-34-32,4e74a752-a279-44d1-a731-530103f4841a,0A:9D:78:74:9C:9D,10,10,10,3,2020-09-23 05:40:08,2020-09-23 05:42:04,6,44e0da17-90f5-499a-b698-f217ec75eb0e,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-83,09-22-22-34-17,f749d2ba-af8d-4f47-84f9-01ca1f47751f,36:25:31:58:F5:29,83,83,83,3,2020-09-23 05:41:04,2020-09-23 05:42:04,83,a4478aea-00a9-463c-bfed-04865b144abd,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-78,09-22-22-34-61,45294348-16a1-4e2b-b594-607049912a3a,D2:6B:DB:74:7C:2D,78,78,78,3,2020-09-23 05:41:00,2020-09-23 05:42:04,78,4e0b1ab6-06aa-48a9-b38d-dce8ae2649bb,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-7,09-22-22-34-14,89b9c86e-cb05-49c3-b386-cab92153272d,9A:20:12:62:0A:DC,54,54,54,3,2020-09-23 05:40:09,2020-09-23 05:42:04,7,ed26ee53-c2ab-428b-8a18-5ff2b4692507,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-12,09-22-22-34-9,a1f04012-d453-45f4-83ea-db43eae74b6d,86:A5:13:37:18:EE,27,27,27,3,2020-09-23 05:40:13,2020-09-23 05:42:04,12,5264eb49-3bcc-4519-a7f6-e86cde2ce381,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-56,09-22-22-34-63,f19b20cb-f070-4bf0-9cea-8b408dfa6cbe,86:F4:E8:94:BA:F6,56,56,56,3,2020-09-23 05:40:44,2020-09-23 05:42:04,56,67fcf3a5-7230-4840-8c51-6dce886a7eaf,1,,-,-,-,Yes
out/09-22-22-40/log,09-22-22-40-27,09-22-22-34-11,38969883-3ec8-43a2-89df-648c213b2fe7,2E:D8:5B:4E:8C:9E,27,27,27,3,2020-09-23 05:40:24,2020-09-23 05:42:04,27,338fcf80-1fae-4a8d-8222-7253aac34b00,1,,-,-,-,Yes
