Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/10-02-23-44/log,10-02-23-44-10,,c68e9644-0750-4c10-ba85-0b76417b507b,0E:AA:78:00:2E:85,10,10,10,3,2020-10-03 06:44:50,2020-10-03 06:45:49,10,86b929ba-2910-4d2d-8f77-969cd2151673,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-6,,3b90a452-3617-4fe9-b994-5a856b49cbe9,82:AE:C0:01:34:41,6,6,6,3,2020-10-03 06:44:50,2020-10-03 06:45:49,6,5b60908b-f0f8-4b8c-af4e-ee10c7556faf,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-1,,3c7aeff8-9994-4c72-a47d-bc18e729ef28,42:8E:E1:9F:23:CA,1,1,1,3,2020-10-03 06:44:50,2020-10-03 06:45:49,1,6893ca96-9d20-4e45-b7da-95038e1b8480,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-7,,dc6300dc-7832-4c30-93ae-0dd5c8702b4d,1A:07:D9:0F:51:DA,7,7,7,3,2020-10-03 06:44:50,2020-10-03 06:45:49,7,388ba0e1-15d6-4fcb-8e92-f3652e0dbde8,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-2,,d587cad3-0dc0-4f68-82ed-42d6d01605d9,FA:F7:A8:4A:32:82,7,7,7,3,2020-10-03 06:44:50,2020-10-03 06:45:49,2,61e2bfb8-d394-4162-9b4e-746c98a56290,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-3,,dd777f08-9c40-4763-9456-370844f7d934,1A:E9:E6:8E:17:10,3,3,3,3,2020-10-03 06:44:51,2020-10-03 06:45:49,3,c44d67ce-224e-4afd-9acb-6cf58b576cd0,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-9,,63973753-639a-4568-a265-b4a217b9ec9e,BA:4C:2B:81:5A:D7,9,9,9,3,2020-10-03 06:44:50,2020-10-03 06:45:49,9,981c0930-8140-4baf-a694-1e40f8447f2d,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-8,,508ee0db-d409-4b43-a71a-be8087de6b25,0A:30:D1:F7:44:67,8,8,8,3,2020-10-03 06:44:50,2020-10-03 06:45:49,8,54aae08f-5cb1-4a81-a108-cb292eb55af0,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-4,,10995e95-2a67-491f-99cf-6e0198b48856,5A:98:F4:AE:5C:D7,4,4,4,3,2020-10-03 06:44:50,2020-10-03 06:45:49,4,60f06ab4-5f23-427d-9392-c54374b0c2fe,1,,-,-,-,No
out/10-02-23-44/log,10-02-23-44-5,,919eb957-2dc9-45b9-9378-fffb52757819,42:56:FF:4F:B9:BB,5,5,5,3,2020-10-03 06:44:51,2020-10-03 06:45:49,5,2427ace5-2ba6-4f2e-b89f-e42c9c0697f8,1,,-,-,-,No
