Mean,Median,50tile,80tile,90tile
34004.89189189189,19079.5,19079.5,19155.800000000003,19207.4
10652.472826086956,9397.0,9397.0,9536.2,9680.1
29138.58510638298,19159.0,19159.0,19365.399999999998,19452.8
18075.083333333332,19090.5,19090.5,19112.4,19175.0
16369.677852348994,9341,9341.0,9378.4,9912.6
9769.155102040817,9342,9342.0,9720.800000000001,11299.2
9654.582329317269,9342,9342.0,9376.4,9460.2
18376.112781954886,19084,19084.0,19119.4,19206.6
9696.549295774648,9429,9429.0,9561.4,9662.800000000001
16815.627586206898,19137,19137.0,19352.0,19526.199999999997
22342.17213114754,12001.0,12001.0,19136.0,19689.300000000003
9584.512,9339.0,9339.0,9367.4,9449.4
9690.275720164609,9340,9340.0,9396.2,9481.0
9613.903614457831,9460,9460.0,9565.599999999999,9648.2
14793.0,9378.0,9378.0,9479.0,9549.4
9647.810483870968,9339.0,9339.0,9373.0,9457.9
9724.739837398374,9497.0,9497.0,9615.0,9680.0
18131.193333333333,9347.0,9347.0,18991.600000000002,19095.0
9423.811023622047,9331.0,9331.0,9379.0,9452.0
9434.106299212599,9360.5,9360.5,9463.400000000001,9526.9
23288.50806451613,18965.5,18965.5,19096.0,19107.4
9609.570281124497,9448,9448.0,9594.0,9696.0
9587.404,9340.0,9340.0,9380.2,9426.0
9551.970464135022,9338,9338.0,9364.0,9424.400000000001
9561.768292682927,9407.5,9407.5,9502.0,9592.0
23845.26213592233,9352,9352.0,19091.4,19118.4
23205.537735849055,19150.0,19150.0,19318.0,19655.0
