Mean,Median,50tile,80tile,90tile
12883.598214285714,9496.5,9496.5,19080.600000000002,19119.0
14588.815286624204,18382,18382.0,19221.0,19339.2
13133.315476190477,9410.0,9410.0,19081.0,19112.0
17312.61788617886,19069,19069.0,19118.6,19149.8
13863.528571428571,9442.5,9442.5,19093.0,19105.0
11897.337837837838,9446.5,9446.5,19026.6,19089.3
11726.658536585366,9572,9572.0,17115.0,19121.0
15939.9,19064.5,19064.5,19213.6,19281.2
12367.960396039603,9416,9416.0,19074.0,19087.0
12214.823529411764,9355,9355.0,19072.8,19120.2
18347.21782178218,19183,19183.0,19333.0,19430.0
