Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 5,Phase 1,Phases,Start Time,Phase 4,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/08-13-15-20/log,e21d3529-b736-461a-9de9-889ff6766d18,7A:35:D0:DA:2E:49,80,112,74,88,5,2020-08-13 22:19:47,74,2020-08-13 22:20:30,74,6d2455d4-da11-44e6-be89-8f1254012eb9,1,,-,-
out/08-13-15-20/log,023430f0-8e90-4164-bb2c-cfedaa4b4669,9E:FB:8E:0F:B2:66,50,50,50,50,5,2020-08-13 22:19:47,50,2020-08-13 22:20:29,50,12d25929-dc44-4ef9-a040-b5d7b79b9907,1,,-,-
out/08-13-15-20/log,28c7a87c-2b08-4962-9f1d-d6263f38f14a,9E:29:DF:44:22:D0,49,49,49,49,5,2020-08-13 22:19:46,64,2020-08-13 22:20:30,49,25f09825-4747-4bd5-b008-2a85e5fdc62d,1,,-,-
out/08-13-15-20/log,a5627656-e473-4999-9e5e-9490bb4615eb,62:16:35:C8:C5:9A,96,96,96,96,5,2020-08-13 22:19:47,96,2020-08-13 22:20:29,96,3728cf58-0f0b-4d2e-8d54-5093007611cc,1,,-,-
out/08-13-15-20/log,e82452d5-5af2-4a44-8da7-a0a6638e2b98,9E:62:96:4D:D7:F4,12,38,12,46,5,2020-08-13 22:19:47,34,2020-08-13 22:20:29,12,5d022eb8-eea0-4208-96f5-467e1957d995,1,,-,-
out/08-13-15-20/log,75c95cde-2b7b-4520-a9a2-54d134adfcfd,DA:01:C5:E1:93:A4,253,153,51,51,5,2020-08-13 22:19:47,52,2020-08-13 22:20:30,51,fef49379-9efe-4626-a227-bc12df8f95f7,1,,-,-
out/08-13-15-20/log,ab1df705-524b-4d2f-b662-0b009e309427,4A:7D:9F:6F:9B:C6,41,41,41,41,5,2020-08-13 22:19:47,41,2020-08-13 22:20:30,41,96c48b1a-91fa-4003-af39-b3493c953b16,1,,-,-
out/08-13-15-20/log,2e54d978-9a91-4492-8a64-73ab8dfeb48c,8A:C8:00:03:8C:CB,97,68,80,65,5,2020-08-13 22:19:47,132,2020-08-13 22:20:30,65,4edeb313-c2ae-48ce-b267-02ab957d4db0,1,,-,-
out/08-13-15-20/log,813d2fb2-d4f3-4e79-96d9-6cdd1b353ab7,F2:B1:70:ED:E2:6A,82,82,82,88,5,2020-08-13 22:19:47,82,2020-08-13 22:20:29,82,e34a6d38-ba0b-4bd1-a061-a677af3e60b9,1,,-,-
out/08-13-15-20/log,02903662-2d7c-4870-98ee-2af5287242f2,8A:9C:E4:0D:A6:76,90,95,91,90,5,2020-08-13 22:19:47,91,2020-08-13 22:20:30,90,d9dcf707-af89-4c6e-8f43-bda248c1dbd8,1,,-,-
out/08-13-15-20/log,038c7936-7441-4fbf-bc50-d1cf49f9801b,A6:62:9C:CF:E8:91,61,61,61,61,5,2020-08-13 22:19:47,61,2020-08-13 22:20:30,61,619d26b3-5667-4122-ba9d-fd75723798fe,1,,-,-
out/08-13-15-20/log,5f24f37b-fe84-4634-a0d7-0d827cb80a0b,4E:E9:F5:38:8F:82,25,25,128,25,5,2020-08-13 22:19:47,25,2020-08-13 22:20:30,25,0039dfe6-6ec2-4239-a4e7-787a184ca508,1,,-,-
out/08-13-15-20/log,9619d290-c0af-46a5-a619-1faa65033a35,0A:98:D0:4D:EB:72,35,35,35,35,5,2020-08-13 22:19:47,35,2020-08-13 22:20:30,35,9843e425-5283-4faf-846d-64cc00c788f7,1,,-,-
out/08-13-15-20/log,7ec42136-1ac7-4d19-bdc9-7095f15a01a5,E6:AF:5A:65:82:87,73,73,73,73,5,2020-08-13 22:19:47,73,2020-08-13 22:20:30,73,419d30ea-6d99-4c42-ad3a-be10e688f776,1,,-,-
out/08-13-15-20/log,eb3b3ccf-1433-4d8b-bf24-7e8a4b033f45,A2:57:02:05:17:72,77,77,72,59,5,2020-08-13 22:19:47,59,2020-08-13 22:20:30,59,d9af9a3b-f999-4763-ba2f-083f2b0df820,1,,-,-
out/08-13-15-20/log,0f70478b-3ef0-4b6a-990b-3b5ef89a09d1,7A:D3:2F:2D:76:0E,116,189,255,63,5,2020-08-13 22:19:47,63,2020-08-13 22:20:30,52,435fd2c5-abaf-44b1-91ed-d268e3bedeab,1,,-,-
out/08-13-15-20/log,7901985e-1b1d-4792-bd2c-a13c2b9ea888,4E:DE:73:B2:5A:D3,86,86,86,86,5,2020-08-13 22:19:47,86,2020-08-13 22:20:30,86,a36cd32d-02f2-47ba-a275-1ca228d5b43e,1,,-,-
