Logs,GUID,Error,IP Address,Success,Id,CPU CPI,MAC Address,Request ID,Start Time,Protocol Time,Phases,Phase 1,Phase 2,Phase 3,End Time,Boot ID,Predecessors,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Tag,Channel,Bit-0 Pvalue,Bit-1 Pvalue
out/02-03-19-46/log,02-03-19-46-1,,169.254.76.1,1,1,7.932666,C6:FF:3B:2E:AB:84,0ae5227a-9283-4a21-9b66-9cf7c3eb37b2,2021-02-04 03:46:06,30,3,74,48,1,2021-02-04 03:46:49,7b03bd06-cc15-43b0-b2f0-2d6352f73b89,"02-03-19-33-31,02-03-19-34-65,02-03-19-35-94,02-03-19-39-4,02-03-19-42-89",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-2,,169.254.76.1,1,2,7.954431,1A:AA:97:A0:51:9B,bb433198-f0db-4f0a-ae38-857e739ade90,2021-02-04 03:46:06,30,3,40,22,8,2021-02-04 03:46:49,e4d07b34-d5d0-439a-9c09-a49f19307a24,"02-03-19-33-67,02-03-19-34-29,02-03-19-35-90,02-03-19-39-59,02-03-19-42-48",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-12,,169.254.76.1,1,12,7.775029,B2:4B:80:56:09:89,b72dbc9e-5583-4cda-9819-b6a2a168597f,2021-02-04 03:46:06,20,1,12,-1,-1,2021-02-04 03:46:39,6a6dc525-6143-4c2b-a491-a2fdf6524238,"02-03-19-33-100,02-03-19-34-74,02-03-19-35-52,02-03-19-39-80,02-03-19-42-71",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-90,,169.254.76.1,1,90,7.891753,2A:02:CE:C7:F3:9B,755836d8-7876-46a5-9c7a-0fa2c84acd9a,2021-02-04 03:46:06,20,1,90,-1,-1,2021-02-04 03:46:39,05ccf018-4079-4b45-bd2e-96454bf81af4,"02-03-19-33-85,02-03-19-34-89,02-03-19-35-48,02-03-19-39-93,02-03-19-42-83",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-4,,169.254.76.1,1,4,7.848030,F2:C5:99:5D:B5:9F,7594c610-d7a9-4c2c-aeca-6ea2229b34b7,2021-02-04 03:46:06,30,3,55,10,9,2021-02-04 03:46:49,31594964-dae4-4c4f-88bc-e59c3f7f6fa1,"02-03-19-33-94,02-03-19-34-17,02-03-19-35-40,02-03-19-39-53,02-03-19-42-90",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-26,,169.254.76.1,1,26,7.778397,8A:BE:13:0A:26:7E,7bdd69b8-d33e-402d-8cf7-72e4b913fe7e,2021-02-04 03:46:06,20,1,26,-1,-1,2021-02-04 03:46:39,603de966-9fcf-48d9-a88b-457955f9ddf2,"02-03-19-33-46,02-03-19-34-99,02-03-19-35-47,02-03-19-39-94,02-03-19-42-62",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-82,,169.254.76.1,1,82,7.778149,06:A6:F4:60:48:82,ddf4548f-b3d2-4c04-9873-de7d5b6cbf45,2021-02-04 03:46:06,30,3,83,82,51,2021-02-04 03:46:58,3dd04e3c-0b46-4e24-89f6-db53ae46c065,"02-03-19-33-78,02-03-19-34-54,02-03-19-35-91,02-03-19-39-1,02-03-19-42-50",-,out/02-03-19-46/bit1_samples82,-,Yes,DEFAULT,1,-,-
out/02-03-19-46/log,02-03-19-46-41,,169.254.76.1,1,41,7.836898,6A:89:8C:24:11:C3,9c850e3a-2d91-478a-b168-53f743f00c8e,2021-02-04 03:46:06,30,3,89,86,72,2021-02-04 03:46:49,7feb311a-0499-4194-93cb-96cd5470d482,"02-03-19-33-83,02-03-19-34-22,02-03-19-35-9,02-03-19-39-75,02-03-19-42-33",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-24,,169.254.76.1,1,24,8.072114,9A:A2:7D:7C:52:1F,bf67d5d5-9369-4335-8f2d-7f88b9e51520,2021-02-04 03:46:06,20,1,24,-1,-1,2021-02-04 03:46:39,e95e1d12-1a3c-4965-a2bc-6f4f2770217d,"02-03-19-33-44,02-03-19-34-77,02-03-19-35-86,02-03-19-39-60,02-03-19-42-63",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-61,,169.254.76.1,1,61,7.867935,FE:FC:F1:F3:99:11,9ac205e5-0775-4115-9173-1509e2e490d9,2021-02-04 03:46:06,20,1,61,-1,-1,2021-02-04 03:46:39,56c9f35f-eab5-4f07-bab4-354f3a3aea65,"02-03-19-33-64,02-03-19-34-100,02-03-19-35-8,02-03-19-39-88,02-03-19-42-95",-,-,-,Yes,DEFAULT,-,-,-
out/02-03-19-46/log,02-03-19-46-64,,169.254.76.1,1,64,7.709824,5A:75:45:A5:4B:73,db5810ef-b902-427b-a08f-5ac1cd0da609,2021-02-04 03:46:06,20,1,64,-1,-1,2021-02-04 03:46:39,e3c89d8a-b7f8-4a2d-a2f9-4f4dfc66572f,"02-03-19-33-47,02-03-19-34-3,02-03-19-35-19,02-03-19-39-11,02-03-19-42-32",-,-,-,Yes,DEFAULT,-,-,-
