GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-09-12-00-589,1,589,c2b7c86f-ffee-4b1d-a098-b6173015fb97,2020-10-09 19:02:31,adbf5b3e-891f-4bc1-8d4d-fc999d547e60,2020-10-09 19:00:43,3,589,589,589,out/10-09-12-00/log,out/10-09-12-00/base_samples589,,out/10-09-12-00/bit1_samples589,out/10-09-12-00/bit0_samples589,0,,0.244717515786344,F2:67:EA:07:02:F6,No,017371402075
10-09-12-00-689,1,689,3c1f0029-da40-4b51-a615-eda52b57ea95,2020-10-09 19:02:31,87850795-cf1e-48f7-85c2-df1cdd325b12,2020-10-09 19:00:48,3,689,689,689,out/10-09-12-00/log,out/10-09-12-00/base_samples689,,out/10-09-12-00/bit1_samples689,out/10-09-12-00/bit0_samples689,0,,0.296671702348346,7E:A5:02:CF:C6:3E,No,017371402075
10-09-12-00-957,1,957,78f46cc5-03c8-4ac8-8401-d829aa160cda,2020-10-09 19:02:31,7591c4d7-30d9-4c67-8caa-28afd60943c2,2020-10-09 19:00:59,3,959,959,959,out/10-09-12-00/log,out/10-09-12-00/base_samples957,,out/10-09-12-00/bit1_samples957,out/10-09-12-00/bit0_samples957,4.1046799606172,,0.477801982000448,CA:5C:FE:49:F1:31,No,017371402075
10-09-12-00-793,1,793,4342ebf2-bfd1-4f64-b969-8e8d1497e729,2020-10-09 19:02:31,4b576261-d566-4c32-8e72-2c4c8404157e,2020-10-09 19:00:52,3,966,966,966,out/10-09-12-00/log,out/10-09-12-00/base_samples793,,out/10-09-12-00/bit1_samples793,out/10-09-12-00/bit0_samples793,4.81424858946959,,0.163500009176792,DA:60:E6:C0:9E:6F,No,017371402075
10-09-12-00-741,1,741,7e53dfac-1ecf-4c46-97c5-9a0595055b65,2020-10-09 19:02:31,68339c4c-3b21-45d3-9bb4-b92011a654c5,2020-10-09 19:00:50,3,741,741,741,out/10-09-12-00/log,out/10-09-12-00/base_samples741,,out/10-09-12-00/bit1_samples741,out/10-09-12-00/bit0_samples741,0,,0.390035596265172,52:34:3D:43:C6:DE,No,017371402075
10-09-12-00-277,1,277,773ab37a-9ec4-4c16-93fd-40c23272b2fe,2020-10-09 19:02:31,e38c7043-8065-4f36-81b3-905aaee7202c,2020-10-09 19:00:42,3,994,994,994,out/10-09-12-00/log,out/10-09-12-00/base_samples277,,out/10-09-12-00/bit1_samples277,out/10-09-12-00/bit0_samples277,6.16842830307081,,0.930367460905552,0A:3B:DF:85:90:34,No,017371402075
10-09-12-00-321,1,321,76b646b1-5b8d-4747-a2ea-9389416d98a6,2020-10-09 19:02:31,a4109dff-2e83-4db7-9ff4-630baedafcdd,2020-10-09 19:00:32,3,536,536,536,out/10-09-12-00/log,out/10-09-12-00/base_samples321,,out/10-09-12-00/bit1_samples321,out/10-09-12-00/bit0_samples321,6.0161297131233,,0.361344708867384,52:AF:C4:BE:11:E7,No,017371402075
10-09-12-00-307,1,307,03d9defa-4ad7-4d5d-a0e4-38cead62d7e9,2020-10-09 19:02:31,80282063-aff2-4464-92ae-906aa9cf2ad3,2020-10-09 19:00:33,3,740,740,740,out/10-09-12-00/log,out/10-09-12-00/base_samples307,,out/10-09-12-00/bit1_samples307,out/10-09-12-00/bit0_samples307,8.11556422638104,,0.304046786049387,16:1B:5F:4C:31:09,No,017371402075
10-09-12-00-988,1,988,0b4efb66-eb92-4c28-bff9-8b1031d20c88,2020-10-09 19:02:31,ac9bb6ec-07c3-48b3-acc2-8f4bff7f7f79,2020-10-09 19:01:02,3,988,988,988,out/10-09-12-00/log,out/10-09-12-00/base_samples988,,out/10-09-12-00/bit1_samples988,out/10-09-12-00/bit0_samples988,0,,0.145903514678748,8A:61:91:3C:E6:E9,No,017371402075
10-09-12-00-1,1,1,18168600-e27c-414f-a005-3e66b9102052,2020-10-09 19:02:31,f0c972f8-ade0-4eef-a9b0-4c9e6ed12342,2020-10-09 19:00:32,3,437,437,437,out/10-09-12-00/log,out/10-09-12-00/base_samples1,,out/10-09-12-00/bit1_samples1,out/10-09-12-00/bit0_samples1,8.5919080794697,,0.0846920441698941,26:41:AF:31:68:FD,No,017371402075
