Logs,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start
out/09-12-01-16/log,,6ef9f049-0131-4d69-9bf6-eb1b1b5e75ff,26:6B:F0:35:61:A8,461,1,2020-09-12 08:16:46,2020-09-12 08:17:51,461,eef970c9-f9b6-40db-b234-bf91f52b6484,1,,-,-,-,No
out/09-12-01-16/log,,96838cec-aab3-461b-b289-e9b04ff2c91d,FE:0B:B7:D5:D3:37,316,1,2020-09-12 08:16:42,2020-09-12 08:17:51,316,bd3de580-fffe-4ea3-84e0-3b5df74f91f0,1,,-,-,-,No
out/09-12-01-16/log,,af913461-d58a-40e5-bf6a-029145b62779,6A:38:5A:70:45:59,403,1,2020-09-12 08:16:52,2020-09-12 08:17:51,403,68c879c4-4220-45ba-9002-bbe446d59f8f,1,,-,-,-,No
out/09-12-01-16/log,,f3b520d5-7242-456b-b6fe-f9d955d2c1c4,1A:72:BD:CC:95:B0,643,1,2020-09-12 08:16:44,2020-09-12 08:17:51,643,0c762b21-54cd-408d-afc5-c1479ab5428f,1,,-,-,-,No
out/09-12-01-16/log,,139fb037-b592-4584-8438-66b7e175b59a,B2:A7:C6:4E:13:7E,409,1,2020-09-12 08:16:58,2020-09-12 08:17:51,409,b43c4628-4703-4533-87fb-6ce244025cc4,1,,-,-,-,No
out/09-12-01-16/log,,8bd629f1-2306-4ae4-be4f-4c5ef7499f5f,06:DE:FD:7E:9F:AA,426,1,2020-09-12 08:16:49,2020-09-12 08:17:51,426,b7e1589c-f5e4-47da-88e8-bd7513fef6d0,1,,-,-,-,No
out/09-12-01-16/log,,ddcd3e06-cf39-4e5c-8b42-7fdc6f5a53ff,AA:E0:35:CF:C6:F1,584,1,2020-09-12 08:16:51,2020-09-12 08:17:51,584,c3d79160-0216-4302-ad91-18b00a729fa9,1,,-,-,-,No
out/09-12-01-16/log,,a02ed6fa-0edd-4be4-92bb-d5463348f32a,FA:BB:93:A6:9D:C3,773,1,2020-09-12 08:16:57,2020-09-12 08:17:51,773,eb0b5ea4-c16d-4f81-8300-3f87441a68c8,1,,-,-,-,No
out/09-12-01-16/log,,d26c52b7-6cce-4218-984b-9946e07e9312,42:3A:12:73:DA:FD,829,1,2020-09-12 08:16:58,2020-09-12 08:17:51,829,4a028821-60e4-432f-8a1a-cf89a8d9dc8d,1,,-,-,-,No
out/09-12-01-16/log,,4baa861f-23f3-4164-8e7b-43326e630144,62:95:1D:72:2B:E7,837,1,2020-09-12 08:17:10,2020-09-12 08:17:51,837,9e522083-9e14-48b1-887e-3e7a0aaed08d,1,,-,-,-,No
out/09-12-01-16/log,,19ee95c0-3fa2-4880-b0c6-e1d9c4278957,3E:CD:75:92:FE:AF,944,1,2020-09-12 08:16:59,2020-09-12 08:17:51,944,88354fc0-635a-4cd8-b48b-aae552877a74,1,,-,-,-,No
out/09-12-01-16/log,,2bb52977-2efa-4938-a92e-b078485a89f5,C2:2E:F9:3F:EF:03,926,1,2020-09-12 08:17:04,2020-09-12 08:17:51,926,2c329bfb-6bcf-4e2f-b72f-d37f0415f333,1,,-,-,-,No
out/09-12-01-16/log,,b7ef7a62-a45d-44e6-bed2-c3c4766945df,4A:FD:0C:18:7F:02,745,1,2020-09-12 08:16:52,2020-09-12 08:17:51,745,ceaaa59e-aa09-468d-a9f5-c35608cb212f,1,,-,-,-,No
out/09-12-01-16/log,,81865084-c409-4194-a733-b5f9371b6e3e,D2:75:5D:A7:D5:52,111,1,2020-09-12 08:16:42,2020-09-12 08:17:51,111,5f484799-207d-4aea-9d3c-5c0e113ca7ca,1,,-,-,-,No
out/09-12-01-16/log,,349d186f-228c-4c13-bcee-e9bf9e275868,CA:89:47:3D:A5:98,456,1,2020-09-12 08:16:43,2020-09-12 08:17:51,456,cc4fd4c0-cbad-428e-949b-c901c5121251,1,,-,-,-,No
out/09-12-01-16/log,,2919b6db-b3e7-4c42-ac5b-1ff9924ad8f4,2E:D4:53:FE:FF:72,406,1,2020-09-12 08:16:48,2020-09-12 08:17:51,406,ae2fcf27-ebc2-456b-9258-dbce962cf8a5,1,,-,-,-,No
out/09-12-01-16/log,,88e49790-f1f0-4a14-9ab8-bd060b850709,6A:20:0D:2B:F7:CD,863,1,2020-09-12 08:16:58,2020-09-12 08:17:51,863,88aaea02-b7d6-41ae-874e-40b1e0c6c0d0,1,,-,-,-,No
out/09-12-01-16/log,,3eebd8d9-1d4a-40b0-89f0-7a38cadc924f,7A:7F:1D:A3:EE:A9,474,1,2020-09-12 08:17:14,2020-09-12 08:17:51,474,9b38b7e6-4546-4cf1-b220-bd06080a6897,1,,-,-,-,No
out/09-12-01-16/log,,318ebd16-f4c6-41ba-8546-e9e387711d23,EE:CD:AA:83:BE:DF,659,1,2020-09-12 08:16:50,2020-09-12 08:17:51,659,db6500fc-23e1-462e-a563-a2d669372a72,1,,-,-,-,No
out/09-12-01-16/log,,e5620b7f-1a7c-412f-b8aa-db54521054d5,A6:5E:D0:C2:54:6E,236,1,2020-09-12 08:16:42,2020-09-12 08:17:51,236,5a634d35-64e4-42b4-94be-932d47bebbca,1,,-,-,-,No
out/09-12-01-16/log,,9ae5e88b-b150-447a-af28-825c9b487baf,92:C7:6E:7B:46:61,494,1,2020-09-12 08:16:45,2020-09-12 08:17:51,494,15d71335-a866-4053-aadf-7df1bb4eefaf,1,,-,-,-,No
out/09-12-01-16/log,"09-12-01-05-6,09-12-01-09-8",a1712101-8173-4138-b202-03d2c2660e32,62:D4:0B:21:54:6A,9,1,2020-09-12 08:16:42,2020-09-12 08:17:51,9,979f1b75-0bfd-4ca4-9521-334e8bb1fa47,1,,-,-,-,Yes
out/09-12-01-16/log,,797b45b4-dfc5-42af-9899-25d61be3f020,C6:0E:D9:C0:19:D3,563,1,2020-09-12 08:17:07,2020-09-12 08:17:51,563,8c678ccf-344c-4b4d-b66c-ca3b4c6f6153,1,,-,-,-,No
out/09-12-01-16/log,,cb032d5b-760c-41a0-9d79-cad66822bb04,AE:2B:D0:8C:C0:4F,585,1,2020-09-12 08:16:55,2020-09-12 08:17:51,585,b0eb37ff-c39d-423d-a64d-15ceb03dcb81,1,,-,-,-,No
