textPayload,insertId,resource.type,resource.labels.function_name,resource.labels.region,resource.labels.project_id,timestamp,severity,labels.execution_id,logName,trace,receiveTimestamp
Total average cycles spent:  31,000000-7565b02c-ba23-4426-9631-69001b1fe349,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:14.058Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Address:  0xc0001024f6,000001-172f2b39-6cc9-4513-889d-dab901e70609,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:14.058Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Total average cycles spent:  45,000000-edff1e30-afff-4d87-88a9-885d15fd0c29,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:15.742Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Address:  0xc0001024f7,000000-2ba02a5c-6ae8-47d4-b8c9-92ea8efc9675,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:15.743Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Total average cycles spent:  29,000000-5b41a072-8f06-484b-9145-16957d50a2a7,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:17.413Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Address:  0xc0001024f8,000001-7435ee11-aaf2-4939-aeaf-3371fb36d97c,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:17.413Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Total average cycles spent:  76,000000-dc60d3cc-da07-42e1-81a4-d752ffb0739a,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:19.078Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Address:  0xc0001024f9,000001-86e8a587-09c3-4e05-afe9-11ee6684705e,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:19.078Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Total average cycles spent:  3805,000000-5dca673e-976c-48ee-a962-daf0dbd258bb,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:20.793Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Address:  0xc0001024fa,000001-d6e199c2-6529-4dcb-90d0-c79569d7704e,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:20.793Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Total average cycles spent:  3749,000000-911df683-8654-4730-b873-b13faf698023,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:22.471Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Address:  0xc0001024fb,000001-eafcd62c-8c73-4980-9463-cf332b2cc9c3,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:22.471Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:24.625343544Z
Total average cycles spent:  3696,000000-d7f080e3-daed-4701-93a3-26228203b9f6,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:24.137Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Address:  0xc0001024fc,000001-97cd51e1-4b35-430c-bf09-d2a0d11f8dd4,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:24.137Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
Total average cycles spent:  3661,000000-49826d92-aa23-4f02-91aa-403c1fb0fd07,cloud_function,gol,us-central1,zinc-wares-258309,2020-10-10T13:46:25.830Z,,3tzeins1f4ve,projects/zinc-wares-258309/logs/cloudfunctions.googleapis.com%2Fcloud-functions,projects/zinc-wares-258309/traces/a4830bfef23d769eaf7ee28e215e6fd0,2020-10-10T13:46:34.818304113Z
