GUID,Success,Id,Boot ID,End Time,Request ID,Start Time,Phases,Phase 1,Phase 2,Phase 3,Logs,Base Sample,Predecessors,Bit-1 Sample,Bit-0 Sample,Bit-1 Pvalue,Error,Bit-0 Pvalue,MAC Address,Warm Start,Account
10-12-12-00-495,1,495,01334d63-071b-4d5c-a7a0-ffaa2de8662c,2020-10-12 19:02:29,aab9d4e7-792c-48cd-89b7-2401abc1380c,2020-10-12 19:00:36,3,495,495,495,out/10-12-12-00/log,out/10-12-12-00/base_samples495,,out/10-12-12-00/bit1_samples495,out/10-12-12-00/bit0_samples495,0,,0.215730788547963,FA:B5:C5:6B:D9:41,No,017371402075
10-12-12-00-921,1,921,3e8ef58f-3f72-43fa-8db8-23ca3aebfd61,2020-10-12 19:02:29,59419ba9-de2a-4928-b9a3-812a164b4020,2020-10-12 19:00:40,3,995,995,995,out/10-12-12-00/log,out/10-12-12-00/base_samples921,,out/10-12-12-00/bit1_samples921,out/10-12-12-00/bit0_samples921,5.48265531518989,,0.693318389992111,82:50:93:A9:70:65,No,017371402075
10-12-12-00-699,1,699,8384ed38-784a-4f76-a72c-ebd53e6508fb,2020-10-12 19:02:29,4bbec284-27bc-4ea0-ad49-4bec4244cc66,2020-10-12 19:00:39,3,699,699,699,out/10-12-12-00/log,out/10-12-12-00/base_samples699,,out/10-12-12-00/bit1_samples699,out/10-12-12-00/bit0_samples699,0,,0.202014154506283,26:45:C3:8B:BE:BE,No,017371402075
10-12-12-00-695,1,695,376cc584-f92c-4883-ba73-57f67269ea21,2020-10-12 19:02:29,7909ad2c-931b-4761-914a-dd98177e46ae,2020-10-12 19:00:39,3,867,867,867,out/10-12-12-00/log,out/10-12-12-00/base_samples695,,out/10-12-12-00/bit1_samples695,out/10-12-12-00/bit0_samples695,6.79007567717935,,0.752687333523903,82:95:33:6B:EB:69,No,017371402075
10-12-12-00-989,1,989,a43c9314-6ee5-4d6e-a8b5-944f19b921ce,2020-10-12 19:02:29,aa744b8d-0121-4d9f-9806-36f1f8635eaf,2020-10-12 19:00:42,3,989,989,989,out/10-12-12-00/log,out/10-12-12-00/base_samples989,,out/10-12-12-00/bit1_samples989,out/10-12-12-00/bit0_samples989,0,,0.337172887882275,8A:12:F1:C3:AD:9D,No,017371402075
10-12-12-00-239,1,239,8b104643-6a46-4b5b-9e54-08ed28a03705,2020-10-12 19:02:29,639bbdfd-76f5-4c9a-87fa-96e4b7558a59,2020-10-12 19:00:30,3,870,870,870,out/10-12-12-00/log,out/10-12-12-00/base_samples239,,out/10-12-12-00/bit1_samples239,out/10-12-12-00/bit0_samples239,7.59369973019368,,0.177407394246695,8A:CF:C9:E0:DA:FA,No,017371402075
10-12-12-00-443,1,443,d2a16e82-cefe-4dc0-98c8-1b577f499d9a,2020-10-12 19:02:29,db4d5259-08fa-41f4-a0d7-bbfbe10b17a1,2020-10-12 19:00:35,3,612,612,612,out/10-12-12-00/log,out/10-12-12-00/base_samples443,,out/10-12-12-00/bit1_samples443,out/10-12-12-00/bit0_samples443,5.41158994603126,,0.106671849544128,1E:F7:B2:49:BC:0B,No,017371402075
10-12-12-00-570,1,570,7c436f26-adb7-4134-b808-bc18b05fb77a,2020-10-12 19:02:29,b0f69ca9-54e2-4ca8-8a1d-70e75eb189c9,2020-10-12 19:00:38,3,799,799,799,out/10-12-12-00/log,out/10-12-12-00/base_samples570,,out/10-12-12-00/bit1_samples570,out/10-12-12-00/bit0_samples570,6.50146297306791,,0.536196012570916,AE:20:6E:56:AF:F1,No,017371402075
10-12-12-00-768,1,768,c620f9b0-4b77-4600-8c17-752ce3394cce,2020-10-12 19:02:29,d1b9a255-b15b-4498-bcb5-cab3c8453b07,2020-10-12 19:00:39,3,905,905,905,out/10-12-12-00/log,out/10-12-12-00/base_samples768,,out/10-12-12-00/bit1_samples768,out/10-12-12-00/bit0_samples768,5.85312035756356,,0.18189294962972,8A:FD:2D:E2:DA:D2,No,017371402075
10-12-12-00-247,1,247,6de054ce-7562-4d36-a907-be15bf944d67,2020-10-12 19:02:29,131f59f1-c756-480e-b798-60d5dc92de5f,2020-10-12 19:00:30,3,393,393,393,out/10-12-12-00/log,out/10-12-12-00/base_samples247,,out/10-12-12-00/bit1_samples247,out/10-12-12-00/bit0_samples247,6.11202348833837,,0.122900893962751,26:BF:F3:C8:78:4D,No,017371402075
10-12-12-00-871,1,871,f886eaed-0f96-478c-abe6-8b5423b0ced3,2020-10-12 19:02:29,a873b662-03c0-45c2-8b55-9b515b56f199,2020-10-12 19:00:40,3,871,871,871,out/10-12-12-00/log,out/10-12-12-00/base_samples871,,out/10-12-12-00/bit1_samples871,out/10-12-12-00/bit0_samples871,0,,0.139926919574863,2A:CB:A4:19:33:08,No,017371402075
10-12-12-00-632,1,632,274a34ac-78f1-48f2-852d-5efa43c6685e,2020-10-12 19:02:29,6769dec5-6fce-4379-bb3f-ab8ce675351f,2020-10-12 19:00:37,3,905,905,905,out/10-12-12-00/log,out/10-12-12-00/base_samples632,,out/10-12-12-00/bit1_samples632,out/10-12-12-00/bit0_samples632,6.67183428684533,,0.352740211163889,D2:44:49:98:59:A5,No,017371402075
10-12-12-00-554,1,554,95c81d8b-1633-4ad0-9699-3a7a87b7d6ba,2020-10-12 19:02:29,3902d64f-104b-407e-a28a-e1c18eb53792,2020-10-12 19:00:37,3,554,554,554,out/10-12-12-00/log,out/10-12-12-00/base_samples554,,out/10-12-12-00/bit1_samples554,out/10-12-12-00/bit0_samples554,0,,0.296846723032141,52:42:59:99:C6:AB,No,017371402075
