Id,RefDist,ClusterDist
994,0.0,0.0
602,0.0,0.0
902,0.0,0.0
218,6.0,4.0
998,0.0,0.0
611,4.0,2.0
540,3.0,3.33
270,3.33,4.67
707,1.0,2.0
444,3.0,3.33
873,3.33,4.0
194,4.0,3.33
944,4.33,2.0
489,5.33,5.33
309,5.67,5.33
299,6.33,3.33
856,0.0,0.0
671,3.0,3.33
637,3.67,4.0
796,1.0,2.0
896,0.0,0.0
719,2.33,4.67
874,3.0,4.0
809,3.67,4.67
886,2.0,3.33
653,2.67,2.67
597,3.33,3.33
824,2.67,4.67
369,0.0,0.0
890,5.0,1.33
531,1.33,2.67
21,5.33,4.67
460,3.67,3.33
663,3.33,4.67
908,0.0,0.0
363,6.0,1.33
774,4.67,3.33
94,7.67,2.0
644,4.67,4.67
133,5.67,6.0
969,0.0,0.0
746,4.33,4.0
910,2.33,2.67
301,3.0,3.33
169,4.67,4.0
549,4.0,2.67
863,0.0,0.0
694,0.0,0.0
729,5.33,2.67
903,3.67,3.33
560,5.33,4.0
258,5.67,5.33
272,5.0,2.67
555,5.33,4.0
924,3.0,4.67
514,4.0,1.33
91,5.67,3.33
915,4.67,0.67
872,2.67,3.33
366,5.33,4.0
291,2.33,2.67
949,2.33,2.67
871,0.0,0.0
359,4.33,3.33
763,5.67,4.0
861,4.33,4.0
51,0.0,0.0
62,7.33,2.0
352,5.33,2.0
537,3.33,2.67
97,2.0,3.33
548,4.0,2.67
973,1.33,2.67
804,4.0,4.0
266,2.67,4.0
396,5.0,4.67
909,1.33,2.67
477,3.0,4.0
743,0.0,0.0
803,1.67,3.33
212,4.33,5.33
314,5.33,5.33
233,6.67,2.67
865,1.0,2.0
698,0.0,0.0
24,5.33,3.33
911,0.0,0.0
60,6.0,2.0
888,0.0,0.0
521,4.33,4.67
36,3.33,4.0
70,2.0,2.67
937,2.67,4.0
728,1.0,2.0
344,7.33,4.67
702,2.33,4.67
417,5.0,4.0
977,2.33,3.33
485,0.0,0.0
298,8.0,4.0
917,3.33,2.67
892,0.0,0.0
848,0.33,0.67
956,0.67,1.33
567,4.33,5.33
182,4.33,4.0
543,3.33,4.67
143,7.67,2.0
230,3.0,2.0
479,0.0,0.0
504,0.33,0.67
703,1.67,3.33
953,3.67,3.33
378,4.0,5.33
496,0.67,1.33
462,4.67,4.67
667,0.0,0.0
745,2.33,3.33
530,4.33,3.33
214,2.0,4.0
480,4.33,5.33
176,3.0,2.67
323,4.0,4.0
38,4.33,2.0
564,1.67,2.0
491,0.0,0.0
708,1.33,2.67
178,5.33,2.0
758,4.0,4.67
879,3.67,4.67
628,1.33,2.67
395,1.67,3.33
577,5.67,2.0
569,3.33,4.67
310,2.67,2.67
894,0.0,0.0
975,2.33,3.33
951,5.33,0.67
508,2.67,5.33
991,0.0,0.0
829,0.0,0.0
122,4.0,3.33
799,4.0,4.67
819,2.0,2.0
150,3.33,4.0
442,4.0,3.33
