Logs,GUID,Predecessors,Boot ID,MAC Address,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit-1 Sample,Bit-0 Sample,Warm Start,Account
out/10-08-00-57/log,10-08-00-57-3,,feb9cc3e-28f4-4831-96ff-716a26eb683f,9A:7B:AE:E1:13:A1,3,1,2020-10-08 07:57:52,2020-10-08 07:58:11,3,af0c589c-0582-4d26-8a7b-ee1c61d5bb59,1,,-,-,-,No,017371402075
out/10-08-00-57/log,10-08-00-57-1,,30109b17-dae9-4034-81f7-21b5580e59ca,96:B5:E1:4D:38:56,8,1,2020-10-08 07:57:52,2020-10-08 07:58:11,1,fceaee0a-94ca-4efa-b66f-216eb4bd277d,1,,-,-,-,No,017371402075
out/10-08-00-57/log,10-08-00-57-5,,a20d1920-ee08-4472-baa3-432878e5f550,EA:6B:70:50:2F:D6,5,1,2020-10-08 07:57:52,2020-10-08 07:58:11,5,71cff264-9049-4bc3-9d69-0b924b7020c6,1,,-,-,-,No,017371402075
out/10-08-00-57/log,10-08-00-57-7,,46a5118e-435b-4cd6-b710-b4dd9083c8c8,3A:AD:67:8C:87:DF,7,1,2020-10-08 07:57:52,2020-10-08 07:58:11,7,3522558b-70ea-4a29-95a9-998062d923be,1,,-,-,-,No,017371402075
out/10-08-00-57/log,10-08-00-57-9,,c85f6500-923a-4da9-bed3-4df70af4b2e4,76:1E:03:80:FB:82,9,1,2020-10-08 07:57:52,2020-10-08 07:58:11,9,d1d7d5c8-99bb-432b-903c-ccbfe037bc4a,1,,-,-,-,No,017371402075
