Logs,Boot ID,MAC Address,Phase 3,Phase 2,Phase 1,Phases,Start Time,End Time,Id,Request ID,Success,Error,Base Sample,Bit Sample
out/05-21-14-10/log,0e0bec60-4e61-4639-b468-531ca1e89602,66:47:CE:A9:CF:04,10,10,10,3,2020-05-21 21:10:21,2020-05-21 21:10:48,10,6bbae37b-f509-4260-b990-30b33238465f,1,,-,-
out/05-21-14-10/log,2137d47e-193d-491e-a7ff-d2d25c42fbdf,E6:27:61:15:2E:48,7,7,7,3,2020-05-21 21:10:21,2020-05-21 21:10:48,2,15339bc5-9bba-4c41-b17c-d56e5bcc3d87,1,,-,-
out/05-21-14-10/log,0a8d0890-9e39-40dc-a486-3c6b2e428766,1A:43:29:F1:61:9F,6,6,6,3,2020-05-21 21:10:21,2020-05-21 21:10:48,4,53ad23cb-2ef1-49e4-885d-6c086372d11e,1,,-,-
out/05-21-14-10/log,6d9e6468-cb04-4fb3-a048-3333c7921971,5E:03:08:A5:48:2B,8,8,8,3,2020-05-21 21:10:21,2020-05-21 21:10:48,8,315c42c2-c5b5-45d0-9e6f-45a7557acd52,1,,-,-
out/05-21-14-10/log,0288936c-ecd1-4cf4-93b0-fdc9d09931d4,EE:7D:98:91:19:87,6,6,6,3,2020-05-21 21:10:21,2020-05-21 21:10:48,6,a1dff08b-141b-429c-b146-c0558765f3f3,1,,-,-
out/05-21-14-10/log,b72258fe-f2b3-4ea6-9421-b15fd628393b,F6:F4:43:33:B0:19,3,3,3,3,2020-05-21 21:10:21,2020-05-21 21:10:49,3,7aa4e38f-d29f-4319-a494-86f38007d60c,1,,-,-
out/05-21-14-10/log,4c0604d2-9eef-4911-a704-d9f8d9110740,BA:F0:41:96:1E:2A,5,5,5,3,2020-05-21 21:10:21,2020-05-21 21:10:49,5,dd198e56-a6e9-4a3e-a64b-59db744549ec,1,,-,-
out/05-21-14-10/log,0d3771e2-dc23-4f1f-bbe3-fd7f4571bd99,06:D3:2A:19:22:6F,1,1,1,3,2020-05-21 21:10:21,2020-05-21 21:10:49,1,8b916ea0-955b-4f1b-a475-02cf220354e4,1,,-,-
out/05-21-14-10/log,2d500a3a-ba75-4d34-93e6-2acb4e9e87b6,FE:8D:7A:7C:38:0B,7,7,7,3,2020-05-21 21:10:21,2020-05-21 21:10:49,7,8e3d5953-670c-46eb-bb71-3fcc46a68074,1,,-,-
out/05-21-14-10/log,c6736051-f770-4153-921a-2c120f7fc091,42:0C:6C:91:CE:10,9,9,9,3,2020-05-21 21:10:21,2020-05-21 21:10:49,9,2e195ac9-62f0-4add-9692-11bafe138db3,1,,-,-
